abstract-quality;['व्यक्तित्व', 'व्यक्तित्त्व'];व्यवहार के समस्त गुणों का नाम ही व्यक्तित्व है-वुडवर्ड
activity;['मैथुन', 'संभोग', 'सहवास', 'सम्भोग', 'योनि मैथुन', 'संभोग सेक्स', 'सम्भोग्', 'यौन संबंध', 'कामुक ज्ञान', 'मानव यौन व्यवहार', 'शयन', 'सेक्स अधिनियम', 'दया सेक्स', 'मानव यौन गतिविधि', 'योनि संभोग', 'योनि सेक्स', 'यौन कांग्रेस', 'यौन कृत्यों', 'यौन गतिविधियों', 'यौन मुठभेड़', 'रतिक्रिया', 'समागम'];सैक्स, शारीरिक संबंध, आदि।
activity;['नेपोलियन के युद्ध', 'नेपोलियाई युद्ध', 'नेपोलियाई युद्धों', 'नैपोलियन के युद्ध', 'नपालियान युद्धों'];नेपोलियन बोनापार्ट द्वारा लड़े गए युद्ध
activity;['तख़्ता पलट', 'तख्ता पलट', 'तख्तापलट', 'राज्यविप्लव', 'तख़्तापलट', "तख्तापलट d'etat", 'coups', "d'état coups", 'उथल - पुथल', 'महल तख्तापलट', 'सैन्य तख्तापलट', 'सैन्य तख्तापलट आए'];किसी सरकार को असंवैधानिक तरीके से हटाकर नयी सरकार बनाने की प्रक्रिया।
activity;['भूचुम्बकीय झंझा', 'भुचंबकीय तूफान', 'चुंबकीय तूफान', 'भूचुम्बकीय तूफान', 'geomagnetic तूफान'];पृथ्वी के चुंबकमंडल की अस्थायी अशंति जो इंटरप्लैनेट्री माध्यम में गड़बड़ी के कारण होती है
activity;['netball', 'नेटबॉल'];Netball
activity;['जल संवर्धन', 'hydroponics', 'जल-कृषि', 'हाइड्रोपोनिक्स', 'हीड्रोपोनिक्स', 'hydroponic', 'जलचरपालन', 'टैंक खेती'];Hydroponics
activity;['द्वितीय विश्वयुद्ध', 'द्वितीय विश्व युद्ध', 'द्वितीय महायुद्ध', 'नाजी कब्जे', 'विश्व युद्ध 2'];बहुविकल्पी पृष्ठ
activity;['उपवास', 'रोज़ा', 'व्रत', 'तेज', 'व्रत रखती है'];उपवास व्रत
activity;['शिक्षा', 'शिक्षण', 'उपदेश', 'तालीम', 'शिक्षण के स्तर', 'पाठनयुक्ति', 'अनुदेश', 'शिक्षकों', 'शिक्षा प्रणाली', 'शिक्षाविद्', 'शिक्षाशास्री', 'शिक्षित', 'शैक्षिक', 'शैक्षिक गतिविधि'];ज्ञान के ग्रहण का प्रक्रिया डॉ लवी गौतम प्रदेश संयोजक उत्तर प्रदेश DARYS की कलम से
activity;['त्रैनिङ्', 'प्रशिक्षण'];शिक्क्षण् के एक परिणाम् के रूप मे ज्ञान्, कौशल, और दक्शतओन के अधिग्रहन्
activity;['मनोरंजन', 'entertainment', 'मनोरंजक', 'मनोरंजन है'];विकिमीडिया श्रेणी
activity;['बार्शिक परिक्शा', 'अंतिम परीक्षा', 'अंतिम परीक्षा के'];बार्शिक परिक्शा
activity;['वर्ग संघर्ष', 'वर्गसंघर्ष', 'कार्ल मार्क्स के वर्ग संघर्ष कि सिद्धांत', 'कार्ल मार्क्स के वर्ग संघर्ष के सिद्धांत', 'माक्र्सवादी वर्ग सिद्धान्त', 'शोषक वर्ग', 'वर्ग युद्ध'];कार्ल मार्क्स के वर्ग संघर्ष की व्याख्या
activity;['मुद्रीकरण'];बहुविकल्पी पृष्ठ
activity;['विद्युत मृत्यु', 'electrocution', 'बिजली'];विद्युत आघात से जानबूझकर की गई मृत्यु या दुर्घटनावश हुई मृत्यु
activity;['पूछताछ', 'interrogatories', 'पूछताछ की', 'प्रश्नकर्ता', 'प्रश्नमाला'];बहुविकल्पी पृष्ठ
activity;['संगरोध', 'क्वारंटीन', 'क्वारंटाइन', 'निगरानी'];लोगों और सामानों की आवाजाही पर प्रतिबंध का महामारी संबंधी हस्तक्षेप, जिसका उद्देश्य संक्रामक रोगों और कीटों के प्रसार को रोकना है।
activity;['लागत लेखांकन', 'आय - व्यय लेखा विधि', 'लागत प्रबंधन'];वित्त संबंधी पारिभाषिक शब्द
activity;['शारीरिक श्रम'];आरामतलब जीवनशैली अपनाने से आज अनेक बीमारियों ने हमें घेर रखा है।
activity;['foxfighting', 'लोमड़ी के शिकार', 'foxhunt', 'foxhunting', 'लोमड़ी शिकार'];Foxfighting
activity;['मृदा संरक्षण', 'भूमि संरक्षण', 'भूसंक्षण', 'भूमि - संरक्षण'];मृदा अपरदन की रोकथाम
activity;['न्यायिक पुनरावलोकन', 'न्यायिक समीक्षा', 'न्यायिक पुनर्विलोकन', 'न्यायिक निरीक्षण'];न्यायपालिका की शक्ति जो विधायिका की शक्ति पर नियंत्रण रखती है
activity;['वाटर स्कीइंग', 'वातर स्कीइङ्', 'waterski', 'waterskiing', 'जल स्की', 'पानी खिलाड़ी', 'वॉटर - स्कीइंग'];सतह जल खेल्
activity;['सामाजिक सुरक्षा'];Social security schems in india
activity;['गुलाबों का युद्ध', 'वॉर्ज़ ओफ रोज़ेज़', 'रोज़िज़ का युद्ध', '15 वीं शताब्दी ई. का गृहयुद्ध जिसमें यॉर्किस्टों का युद्ध प्रतीक सफेद और लैन्कास्ट्रियनों का लाल गुलाब था', 'गुलाब के युद्ध'];वंशवादी युद्धों की श्रिंखला
activity;['प्रणोदन', 'प्रवृत्ति', 'नोदन', 'प्रवर्तन'];आंदोलन के लिए अग्रणी बल बनाने के साधन
activity;['राशन'];प्रत्येक व्यक्ति को केवल एक वस्तु की एक निश्चित राशि रखने की इजाज़त देना।
activity;['छायाचित्र', 'फोटोग्राफी', 'फ़ोटोग्राफ़ी', 'फोटो', 'फोटोग्राफ', 'तस्वीर लेने', 'फ़ोटो'];कला, विज्ञान और प्रकाश या अन्य विद्युत चुम्बकीय विकिरण को रिकॉर्ड करके टिकाऊ छवियां बनाने का अभ्यास
activity;['बचाव'];बहुविकल्पी पृष्ठ
activity;['इंग्लैण्ड पर नॉर्मन विजय', 'नॉर्मनों की इंग्लैण्ड पर विजय', 'नारमन विजय', 'नार्मन विजय', '1066 ई. में नार्मनों की इंग्लैंड पर विजय', 'इंग्लैंड के नॉर्मन आक्रमण'];इंग्लैंड की नॉर्मन विजय 11 वीं शताब्दी का आक्रमण था और नॉर्मन्स, ब्रेटन, फ्लेमिश और अन्य फ्रांसीसी प्रांतों के लोगों से बनी सेना द्वारा इंग्लैंड पर कब्जा कर लिया गया था, जो सभी नॉरमैंडी के ड्यूक द्वारा बाद में विलियम द कोंकुरर के रूप जाने गए।
activity;['तापमान माप', 'ताप मापन', 'तापमापन', 'thermometry'];तापमान की माप की प्रक्रिया
activity;['शिक्षा', 'शिक्षण', 'उपदेश', 'तालीम', 'शिक्षण के स्तर', 'पाठनयुक्ति', 'अनुदेश', 'शिक्षकों', 'शिक्षा प्रणाली', 'शिक्षाविद्', 'शिक्षाशास्री', 'शिक्षित', 'शैक्षिक', 'शैक्षिक गतिविधि'];ज्ञान के ग्रहण का प्रक्रिया डॉ लवी गौतम प्रदेश संयोजक उत्तर प्रदेश DARYS की कलम से
activity;['गौरवशाली क्रांति', 'गौरवपूर्ण क्रांति', 'रक्तहीन क्रांति', 'वैभवपूर्ण क्रांति', 'अंग्रेजी क्रांति', 'शानदार क्रांति'];रक्तहीन क्रांति
activity;['फ़्रान्सीसी क्रान्ति', 'फ़्रांसिसी क्रांति', 'फ़्रांसीसी क्रांति', 'फ़्रांसीसी क्रान्ति', 'फांसीसी क्रान्ति', 'फ्रांस की क्रांति', 'फ्रांस की क्रान्ति', 'फ्रांस की राज्यक्रांति', 'फ्रांसीसी क्रांति', 'फ्रांसीसी क्रान्ति', 'फ्रान्स की क्रान्ति', 'फ्रान्सीसी क्रान्ति', 'फ्रेंच क्रांति', 'फ्रांस की राज्यक्रांति, 1789 ई. में फ्रांस से राजतंत्र का उन्मूलन'];विश्व को लोकतंत्र देन
activity;['जैविक युद्ध', 'बीड्ब्ब्ल्यू', 'रोगाणु युद्ध', 'bw', 'bioattack', 'biowarfare', 'bioweapons', 'जीवविज्ञान का दौरा पड़ने', 'जैविक हमले'];युद्ध के एक अधिनियम के रूप में मारने के इरादे से जैविक विषों या संक्रामक एजेंटों का उपयोग करें
activity;['ऍलोपैथी', 'एलोपैथी', 'ऐलोपैथिक औषधि', 'ऐलोपैथी', 'एलोपैथिक'];आयुर्वेद
activity;['प्लासी का पहला युद्ध', 'पलासी का युद्ध', 'प्लासी का युद्ध', 'प्लासी', 'प्लासी की लड़ाई'];1757 प्लासी का पहला युद्ध
activity;['सेवा'];लेनदेन जिसमें विक्रेता से खरीदार को कोई भौतिक वस्तु हस्तांतरित नहीं की जाती है
agentive-figure;['लिमिटेड', 'ld.', 'प्राइवेट लिमिटेड कंपनी', 'लिमिटेड कंपनी', 'सीमित कंपनियों'];बहुविकल्पी पृष्ठ
agentive-figure;['सेंटूर', 'centaurs'];अश्वनर यूनानी पौराणिक कथाओं का एक काल्पनिक जीव है, जिसका सिर, हाथ तथा धड़ इंसान का होता है किन्तु निचला शरीर अश्व का होता है।
agentive-figure;['ईदिपस', 'ईडिपस', 'ईडिपस rex', 'राजा ईडिपस'];यूनानी शहर थेबेस के एक कल्पित राजा
agentive-figure;['सैक्लोप्स', 'cyclops'];ग्रीक पौराणिक कथाओं और बाद में रोमन पौराणिक कथाओं में दिग्गजों की प्राथमिक जाति के सदस्य
agentive-figure;['कोलख़ोज़', 'कॉलख़ोज़', 'कोल्होज़', 'kolhoz', 'kolkhozes'];सोवियत संघ में एक प्रकार की सामूहिक कृषि प्रणाली के खेतों को कोलख़ोज़ कहा जाता था।
agentive-figure;['गाना बजानेवालों', 'गाना बजानेवालों स्टाल', 'गाना बजानेवालों स्टालों', 'गायकगण'];बहुविकल्पी पृष्ठ
agentive-figure;['अझ़दहा', 'अजगर', 'अज़दहा', 'अझ़दहे', 'अश़दहा', 'ड्रैगन', 'firedrake', 'ड्रेगन'];काल्पनिक जीव
agentive-figure;['विधि फर्म', 'विधिक फर्म', 'कानून फर्म', 'कानून कार्यालय', 'कानून फर्मों'];एक या एक से अधिक वकीलों से मिलकर बनी एक व्यापारिक वस्तु
agentive-figure;['कलीसिया', 'चर्च', 'ईसाई चर्च'];मसीही विश्वासियों का एक सम्प्रदाय या संगठन
agentive-figure;['संगुटिका', 'conglomerate'];दो या दो से अधिक निगम जो एक कॉर्पोरेट समूह के अंतर्गत आते हैं
agentive-figure;['संगठन', 'व्यवस्था', 'संस्था', 'संगठनों', 'स्थापना'];सामुदायिक संगठन
agentive-figure;['टर्मिनेटर डार्क फेट', 'टर्मिनेटर 6', 'टर्मिनेटर ६'];2019 की विज्ञान कथा एक्शन फिल्म
agentive-figure;['इलेक्ट्रॉनिक्स उद्योग', 'उपभोक्ता इलेक्ट्रॉनिक्स उद्योग', 'electronics industry'];इलेक्ट्रॉनिक्स विनिर्माण में केंद्रित उद्योग
agentive-figure;['संयुक्त राष्ट्र न्यास परिषद', 'न्यासिता परिषद'];ट्रस्ट प्रदेशों के प्रशासन के लिए संयुक्त राष्ट्र का प्रमुख अंग
agentive-figure;['राष्ट्र', 'राज्य', 'सम्प्रभु राज्य', 'सार्वभौमिक राष्ट्र', 'क़ौम', 'मिल्लत', 'समाज', 'स्टेट', 'संप्रभु राज्य', 'सर्वसत्ताक राज्य', 'list of sovereign states', 'संप्रभु राज्यों की सूची', 'देश', 'res publica', 'राजनीति शरीर', 'राजनीतिक समाज', 'राष्ट्रीय', 'संप्रभु राज्यों', 'सरकारी'];शक्ति की एकिकृत प्रणाली
agentive-figure;['परमशक्ति', 'महाशक्ति', 'प्रमुख शक्ति', 'महान शक्ति', 'hyperpower', 'महान शक्तियों', 'विश्वशक्ति', 'वैश्विक शक्ति', 'वैश्विक शक्ति है', 'शक्ति', 'शक्तिशाली देश'];ऐसे प्रभुत्व देश जिनका विश्व की राजनितिक, आर्थिक और सामाजिक स्थिति पे महत्वपूर्ण प्रभाव हो
agentive-figure;['गैट', 'general agreement on tariffs and trade', 'gatt', 'टैरिफ और व्यापार सबंधी सामान्य करार'];A multilateral agreement regulating international trade
agentive-figure;['विश्व बैंक', 'आईबीआरडी', 'अंतर्राष्ट्रीय पुनर्निर्माण और विकास बैंक'];विश्व बैंक
agentive-figure;['प्रीवी काउन्सिल', 'प्रिवी कौंसिल'];बहुविकल्पी पृष्ठ
agentive-figure;['अंतर्राष्ट्रीय विकास संस्था', 'इंटरनेशनल डेवलपमेंट एजेंसी', 'अंतरराष्ट्रीय विकास संघ', 'आईडीए'];ससलव।
agentive-figure;['नासा', 'nasa', 'नेशनल एयरोनॉटिक्स एंड स्पेस एडमिनिस्ट्रेशन'];अमेरिकी अंतरिक्ष एवं वैमानिकी विभाग
agentive-figure;['पेट्रोलियम उद्योग', 'तेल उद्योग', 'तेल व गैस उद्योग', 'petroleum industry', 'उद्योग को परिष्कृत', 'तेल कारोबार', 'पेट्रोलियम कंपनी'];तेल और गैस उत्पादों को संभालने से जुड़ी गतिविधियाँ
agentive-figure;['संयुक्त राष्ट्र', 'un', 'यूऍनओ', 'संयुक्त राष्ट्र संघ', 'संयुक्त राष्ट्रसंघ', 'संयुक्तराष्ट्र', 'सयुंक्त राष्ट्र', 'u.n', 'संयुक्त राष्ट्र संगठन'];अंतरराष्‍ट्रीय संगठन
agentive-figure;['पूर्वी ऑर्थोडॉक्स चर्च', 'पूर्वी रूढ़िवादी कलीसिया', 'ऑर्थोडॉक्स', 'पूर्वी रूढ़िवादी चर्च', 'रूढ़िवादी चर्च', 'पूर्वी रूढ़िवादी', 'पूर्वी कट्टरपंथियों', 'पूर्वी चर्च', 'पूर्वी रूढ़िवादी ईसाइयों', 'पूर्वी रूढ़िवादी ईसाई', 'पूर्वी रूढ़िवादी ईसाई धर्म', 'बीजान्टिन चर्च', 'रूढ़िवादी ईसाइयों', 'रूढ़िवादी ईसाई चर्च', 'रूढ़िवादी कैथोलिक चर्च'];एक ईसाई चर्च
agentive-figure;['ग्रीक ऑर्थोडॉक्स चर्च', 'ग्रीक ऑर्थोडॉक्स', 'ग्रीक कट्टरपंथियों', 'ग्रीक रूढ़िवादी', 'यूनानी चर्च'];बहुविकल्पी पृष्ठ
agentive-figure;['हिन्दू धर्म', 'सनातन धर्म', 'हिंदू धर्म', 'भ्रामरी, नासिक शक्तिपीठ', 'सिहुंता', 'हिंदु', 'हिंदु धर्म', 'हिंदुओं', 'हिंदू', 'हिन्दु', 'हिन्दु धर्म', 'हिन्दु परम्परा', 'हिन्दुओं', 'हिन्दू धरम', 'हिन्दू धर्मी', 'हिन्दू संस्कृति', 'िहन्दू धर्म', 'हिंदू संस्कृति'];धार्मिक धर्म
agentive-figure;['मानव संसाधन', 'पुरुषों', 'कार्यबल', 'बल काम', 'श्रमशक्ति'];कोई भी व्यक्ति और उसकी विशेष क्षमताओं और कौशल जो संगठन के लिए सबसे बड़ा और सबसे लंबा स्थाई लाभ बनाता है| इसीलिए इसे सबसे महत्वपूर्ण संस्था माना जाता है|
agentive-figure;['तिब्बती बौद्ध धर्म', 'तिब्बती बौद्ध', 'लामावादी', 'तिब्बती भिक्षु'];बौद्ध धर्म की महायान शाखा की एक उपशाखा
agentive-figure;['सीता', 'sitâ', 'जानकी'];श्री राम की पत्नी
agentive-physical-object;['संरक्षक कुत्ता', 'रखवाला कुत्ता', 'गार्ड कुत्ते'];बहुविकल्पी पृष्ठ
agentive-physical-object;['आंगवांतीबो', 'आण्ग्ग्व्वाण्टीब्बॉ', 'आऋक्क्टॉक्कॅब्बूश्', 'angwantibo', 'arctocebus calabarensis', 'सुनहरा पोटो'];स्तनधारियों की जीनस
agentive-physical-object;['वनस्पति', 'पादप', 'वनस्पतिजात', 'वनस्पतियां', 'पौधों', 'पौधा', 'पौधे', 'वनस्पति जगत', 'floras', 'प्रजातियों के पौधे', 'संयंत्र', 'संयंत्र जीवन'];सभी पेड़-पौधों सम्मिलित रूप
agentive-physical-object;['कपास जिन', 'ओटाई', 'कपास ओटाई'];रूई को बीज से अलग करनेवाला मशीन
agentive-physical-object;['पनचक्की', 'पनचक्\u200dकी', 'पनचक्कियों', 'पानी मिल', 'पानी मिलों'];एक संरचना जो जल चक्री या टर्बाइन की यांत्रिक प्रक्रिया को चलाने में सहायता लेता है
agentive-physical-object;['नींबू', 'नीबू', 'निम्बू', 'नीम्बू', 'खट्टे limon', 'नीबू का वृक्ष'];एक प्रकार का फल
agentive-physical-object;['रजनीगन्धा', 'agave polianthes', 'रजनीगंधा'];सुगंधित पुष्प
agentive-physical-object;['टर्बोफैन', 'टर्बो जेट', 'टर्बोजेट', 'टर्बोफैन इंजन', 'टर्बो फैन', 'टर्बोजेट इंजन', 'fanjet इंजन', 'turbofans', 'turbojets'];टर्बोफैन एक प्रकार का जेट इंजन है जो कि आंतरिक दहन इंजन होता है। जो मुख्य रुप से एक हल्का गैस टर्बाइन होता है
agentive-physical-object;['लता', 'लताओं', 'बेल', 'चढ़ाई संयंत्र'];अनुगामी या स्कैंडेंट की वृद्धि की आदत के साथ संयंत्र (यानी चढ़ाई) उपजी या धावक
agentive-physical-object;['मोथा', 'cyperus rotundus', 'nutgrass', 'nutsedge', 'अखरोट हगला', 'नागरमोथा'];पौधे की प्रजाति
agentive-physical-object;['हरित शैवाल', 'हरा शैवाल', 'chlorophyte', 'हरी शैवाल', 'हरी alga'];Spirogyra is an example of green algae
agentive-physical-object;['भ्रूण', 'निषेचित अंडे', 'conceptus', 'गर्भावस्था के दूसरे सप्ताह से 8 वे का बढ़ता हुआ भ्रूण'];मानवीय बीज
agentive-physical-object;['स्पिंनिंग जेनि', 'spinning jenny', 'कताई jenny'];Spinning Jenny ka aavishkar 17 65 mein Rohan Saini Bharal ne kiya tha
agentive-physical-object;['शिकार', 'खेल', 'gamebird', 'खेल जानवर', 'खेल पक्षियों', 'खेल मांस', 'छोटे खेल', 'जंगली खेल'];भोजन केलिए या आनद केलिए पकडे गए प्राणी।
agentive-physical-object;['sonchus oleraceus'];बहुविकल्पी पृष्ठ
agentive-physical-object;['सत्यानाशी', 'घमोई', 'भड़भाड़', 'argemone मेक्सिकाना', 'मैक्सिकन अफीम'];एक अमेरिकी वनस्पति है
agentive-physical-object;['शिकार', 'खेल', 'gamebird', 'खेल जानवर', 'खेल पक्षियों', 'खेल मांस', 'छोटे खेल', 'जंगली खेल'];भोजन केलिए या आनद केलिए पकडे गए प्राणी।
agentive-physical-object;['रोगजनक', 'रोगज़नक़', 'रोगज़नक़ों', 'संक्रामक एजेंटों'];रोगों के जन्म के कारण होते हैं, उन्हें रोगजनक कहते हैं।
agentive-physical-object;['मनुष्य', 'होमो', 'homo sapiens', 'मानव', 'आदमी', 'औरत', 'मनुष्यता', 'मानस', 'व्यक्ति', 'इंसान', 'मनुष्यों', 'मानव प्रजाति'];होमो-सैपीयंज़ स्तनपायी जो दो पैर पर चलता है
agentive-physical-object;['सरसों', 'सरसों संयंत्र'];सरसों उत्पाद केलिए पौधे
agentive-physical-object;['स्\u200dलॉथ', 'स्लोथ्', 'स्लोथ', 'folivora', 'पेड़ सुस्ती', 'सुस्ती', 'स्लोथ्स'];स्स्थ्न प्राणि
agentive-physical-object;['गौरैया', 'गौरैयों', 'सच गौरैया'];पक्शी प्रजाति
agentive-physical-object;['नारंगी', 'सैत्रस *टाईण्ज्जीऱीणा', 'शाईट्ऱाश टॅण्ज्जॅऱेऍण क्कॅऍणॉऑ डॅण्टॅण्टॅऱीणाऱऍऍण्', 'tangerines', 'कीनू'];प्पाऊडॅ , क्कीणॉऑ की प्प्ऱाज्जाआटीञाआण्
agentive-physical-object;['कुकुरमुत्ता', 'मशरूम', 'कुकुरमुत्तों', 'खुम्ब', 'छत्रक'];एक प्रकार का कवक।
agentive-physical-object;['काराकारा', 'कारा कैरा', 'काराकारीनाए', 'पोलीबोरिनाए', 'caracara'];पक्षियों के उपनाम
agentive-physical-object;['केतकी', 'पेंच पाइन', 'pandanus', 'screwpine'];Gajar
agentive-physical-object;['ढैंचा', 'sesbania'];पौधों की प्रजाति
agentive-physical-object;['वालाबी', 'वल्लाबी', 'आस्ट्रेलियन', 'ब्रश कंगारू'];ऑस्ट्रेलिया ओर न्यू गिनी मे पाए जाने वाले चोटे या मध्य्म आकर के मैक्रोप्रोड का सामान्य नाम
agentive-physical-object;['सूक्ष्मजीव', 'सूक्ष्मजीवों', 'सूक्ष्मजीवी', 'सूक्ष्म जीव', 'माइक्रोबियल', 'रोगाणुओं', 'सूक्ष्म जीवों'];What are the uses of soil in our life
agentive-physical-object;['नरवानर गण', 'गैर मानव प्राइमेट', 'रहनुमा'];स्तनधारियों का क्रम
agentive-physical-object;['गांजा', 'गाँजा', 'मारिजुआना', 'stoner', 'भंग', 'भांग'];गाँजा एक नशीला पदार्थ है ।
agentive-physical-object;['शूलपर्णी', 'होली'];मैं वास्तव में प्रधान के लिए बात करने की जरूरत है. नाम क्या है? होली टेलर।
agentive-physical-object;['मोनाल', 'lophophorus', 'मोनल', 'monaul'];नेपाल का राष्ट्रीय पक्षी एवं उत्तराखंड का राज्य पक्षी
agentive-physical-object;['प्याज', 'प्याज़', 'प्\u200dयाज', 'प्याज संयंत्र'];प्याज का गजेँपन मे फायदे
agentive-physical-object;['काला हिरन', 'कृष्णमृग', 'कृष्ण मृग', 'काला हिरण', 'antilope cervicapra', 'काले हिरण'];बहुसिंगा प्रजाति की इकलौती जीवित जाति
agentive-physical-object;['जंगल जलेबी', 'पिथोस्बॉबियम डूलस', 'गंगा इमली', 'जंग जलेबी', 'camachile', 'huamachil', 'pithecellobium दुल्चे', 'इमली मनिला'];पौधे की प्रजातियां
agentive-physical-object;['बथुआ', 'chenopodium एलबम', "lamb's तिमाहियों"];बथुआ हमारे शरीर की रोग-प्रतिरोध क्षमता बढाने मे उपयोगी हैं । बथुआ की पत्तियों में सर्वाधिक मात्रा में विटामिन ए पाया जाता है ।उतरी भारत के राजस्थान, पंजाब, हरियाणा आदि राज्य के लोग इसे चाव से खाते है ।
agentive-physical-object;['आर्किया', 'प्राच्य', 'आर्कीया', 'पूर्वजीवाणु', 'archaebacteria', 'archaea', 'archaeal', 'archaebacterium', 'archaeobacteria', 'archaeon', 'archea', 'archeobacteria'];प्रोकैरोटिक सूक्ष्मजीवों का डोमेन
agentive-physical-object;['ग्वार', 'cyamopsis psoraloides', 'cyamopsis tetragonolobus', 'क्लस्टर सेम'];पौधे की प्रजाती
agentive-physical-object;['फर जवानों', 'फर मुहरों', 'सील'];बहुविकल्पी पृष्ठ
agentive-physical-object;['विजयसार', 'पेटरोकार्पस मार्सूपियम', 'pterocarpus marsupium', 'महासर्ज', 'kino'];पौधा का जाति
agentive-physical-object;['दुधेरी', 'आम dandelion', 'टराक्सेकम ruderalia'];बहुविकल्पी पृष्ठ
agentive-physical-object;['लतरी', 'खेसारी', 'lathyrus sativus', 'khesari', 'घास मटर', 'भारतीय मटर'];खेसारी एक दलहन है और दलहन भारत में रबी खरीफ और जायद की फसल है जिसमें खेसारी रबी की फसल है यह पूर्बी उत्तर प्रदेश और बिहार में होती है ।
agentive-physical-object;['मनी प्लांट', 'epipremnum aureum', 'scindapsus aureus', 'आइवी लता अरवी', 'सुनहरा pothos'];पौधों की प्रजाति
agentive-physical-object;['बिल्ली', 'felis silvestris catus', 'बिल्लियाँ', 'घरेलू बिल्ली', 'housecat', 'घर बिल्ली', 'बिल्लियों', 'सच बिल्ली'];बिल्ली के बारे में
agentive-physical-object;['capros कोल'];बहुविकल्पी पृष्ठ
agentive-physical-object;['हाथी', 'हस्ती', 'करि', 'हाथियों'];सस्तन प्राणी
