activity;['go', 'baduk', 'go-spelare', 'gote', 'hane', 'sten', 'wei-chi', 'weiqi', '⚆', '⚇', '⚈', '⚉', 'go spel'];Ett brädspel som ursprungligen kom från Kina.
activity;['utbildning', 'didaktik', 'undervisning', 'bildning', 'upplärande', 'utbildningssystem', 'instruktion', 'skolväsen', 'bildningsideal', 'metalärande', 'obildad', 'utbildad', 'utbildare', 'utbildningsverksamhet', 'pedagog', 'utbilda', 'utbildningssystemet', 'lärare', 'pedagogisk verksamhet', 'utbildade'];Den handling eller process genom vilken kunskap och färdigheter förmedlas eller erhålls.
activity;['berättelse', 'berättarperspektiv', 'historia', 'berättarröst', 'berättarstil', 'berättelser', 'berättarkonst', 'berättande', 'point of view', 'pov', 'allvetande berättare', 'berättad', 'berättelsen', 'sjukdom berättelse', 'tredje person berättande', 'tredje persons perspektiv'];Ett återberättande av verkliga eller fiktiva skeenden.
activity;['motåtgärd', 'motmedel', 'motmedelssystem', 'radarmotmedel', 'motåtgärder'];En handling som utförs för att motverka en annan handling.
activity;['lågtryck', 'cyklon', 'lågtryckssystem', 'lågt lufttryck', 'lågt tryck', 'lågtrycksområde', 'område med lågt tryck', 'vädersystem'];Ett område med lägre lufttryck som vanligen medför fuktig väderlek.
activity;['kvalitetskontroll', 'kvalitetsstyrning', 'qc'];Inspektion, analys och andra relevanta handlingar som utförs för att ge kontroll över vad som görs, tillverkas eller förfärdigas, så att en önskvärd kvalitetsnivå uppnås och upprätthålls.
activity;['snö', 'snöfall', 'snön', 'diamantstoft', 'isnål', 'isnålar', 'kornsnö', 'lappmögel', 'slaskar', 'snöby', 'snödriva', 'snöflinga', 'snöoväder', 'snöslask', 'snöstjärna', '❄', '❅', '❆', 'snötäcke'];Den vanligaste formen av frusen nederbörd, vanligen i form av flingor eller stjärnlika kristaller, sammanklumpade isnålar, eller kombinationer av dessa och ofta täckta av rimfrost.
activity;['hagel', 'ishagel', 'iskorn', 'småhagel', 'hagelstormar'];Nederbörd i form av kulor eller oregelbundna klumpar av is, vilka alltid produceras av konvektiva moln, nästan alltid cumulonimbus.
activity;['forskning', 'forska', 'research', 'vetenskapsmän', 'akademisk forskning', 'egen forskning', 'forskare', 'forskningsmetoder'];Vetenskaplig undersökning med syftet att upptäcka och tillämpa nya fakta, tekniker och naturlagar.
activity;['dans', 'dansare', 'danser'];En serie rytmiska steg eller rörelser som utförs till musik, för nöjes skull eller som en form av social interaktion.
activity;['rivalitet', 'tävling', 'konkurrens'];En kamp i att göra bättre än andra i syfte att vinna ett pris eller en belöning.
activity;['avsked', 'hej då'];En avskedshälsning som används när en eller flera personer i en situation, ett samtal eller på en plats går iväg medan andra stannar kvar.
activity;['spya', 'kräkning', 'kräk', 'kräkningar', 'emes', 'spy', 'kräkas', 'kräkreflex', 'kräkreflexer', 'uppkastning', 'vomera', 'vomering', 'lägga en pizza', 'disgorgement', 'kräks', 'uppstötningar'];Materia uppstött från magen genom munnen.
activity;['flykt', 'fly', 'college brottning'];Handlingen att lämna en farlig eller otrevlig situation.
activity;['perforering', 'perforerad', 'perforera', 'perforeringar'];En serie hål skapade för att underlätta åtskiljandet av två eller flera delar.
activity;['lyfta'];Att få ett föremål att inta ett högre läge än tidigare.
activity;['fiske', 'djuphavsfiske', 'sportfiske'];Försök att fånga fisk eller andra vattenlevande djur med en krok eller med nät, fällor och så vidare.
activity;['turism', 'turister', 'besöksnäring', 'turismen', 'turist', 'turistmål', 'turistnäringen', 'internationella resor', 'massturismen', 'resebranschen', 'sevärdheter', 'sightseeing', 'touristry'];Tillfällig omlokalisering av människor till orter där dessa normalt sett inte bor eller arbetar, de aktiviteter som utförs under vistelsen på dessa orter samt de serviceinrättningar som skapas för dessa människors behov.
activity;['lagring'];En serie handlingar som genomförs för att förvara gods, material eller avfall på någon fysisk plats, som på en anläggning, en behållare, en tank eller en tipp.
activity;['konst', 'konstnärliga', 'definition av konstbegreppet', 'konstart', 'konstarterna', 'konstbegrepp', 'konstbegreppet', 'konsten', 'konstföremål', 'konstnärlig', 'skön konst', 'konst design', 'konstnärlig produktion', 'konstnärliga uttryck', 'konstnärligt skapande'];Skapandet av verk som är vackra eller har annan särskild betydelse.
activity;['nederbörd', 'nederbörden', 'hydrometeor'];Utkristalliseringen av vatten från moln i form av regn, hagel, snö med mera.
activity;['skörd', 'årgång', 'skörda', 'skördning', 'skördar', 'skördas', 'skördefest'];Den mängd eller mått av en gröda som insamlas under en säsong.
activity;['jobb', 'anställning', 'sysselsättning', 'yrke', 'arbete'];Produktiv aktivitet, service, handel eller hantverk för vilket man betalas på en reguljär basis.
activity;['jobb', 'anställning', 'sysselsättning', 'yrke', 'arbete'];Det arbete för vilket en person kontrakterats.
activity;['jobb', 'sysselsättning', 'arbete', 'yrke', 'affärsverksamhet', 'anställning', 'bransch', 'tjänst', 'full syselsättning', 'sysselsatt', 'sitt jobb', 'typ av arbete', 'vakans'];Produktiv aktivitet, service, handel eller hantverk för vilket man betalas på en reguljär basis.
activity;['utbildning', 'didaktik', 'undervisning', 'bildning', 'upplärande', 'utbildningssystem', 'instruktion', 'skolväsen', 'bildningsideal', 'metalärande', 'obildad', 'utbildad', 'utbildare', 'utbildningsverksamhet', 'pedagog', 'utbilda', 'utbildningssystemet', 'lärare', 'pedagogisk verksamhet', 'utbildade'];Konsten eller vetenskapen om undervisning.
activity;['utbildning', 'didaktik', 'undervisning', 'bildning', 'upplärande', 'utbildningssystem', 'instruktion', 'skolväsen', 'bildningsideal', 'metalärande', 'obildad', 'utbildad', 'utbildare', 'utbildningsverksamhet', 'pedagog', 'utbilda', 'utbildningssystemet', 'lärare', 'pedagogisk verksamhet', 'utbildade'];Den handling eller process genom vilken kunskap och färdigheter förmedlas eller erhålls.
activity;['jakt', 'jägare', 'fritidsjakt', 'jaga', 'jaktstycke', 'pilbågsjakt', 'overhunting', 'vaktel jakt'];Förföljandet och dödandet eller tillfångatagandet av vilda djur.
activity;['fonation', 'röst', 'mänskliga rösten', 'vokalisering', 'vox'];Förmågan att producera ljud och toner med hjälp av stämbanden.
activity;['regn', 'regnvatten', 'duggregn', 'hällregn', 'regndroppe', 'regnskur', 'regnskurar', 'ösregn', '⛆', 'regn storm', 'regnet', 'regnstorm'];Vatten som faller som regn från moln.
activity;['regn', 'regnvatten', 'duggregn', 'hällregn', 'regndroppe', 'regnskur', 'regnskurar', 'ösregn', '⛆', 'regn storm', 'regnet', 'regnstorm'];Nederbörd i form av flytande vattendroppar med en diameter på över 0,5 mm.
agent-driven-role;['grupp', 'styrka'];En grupp människor som är organiserade för att arbeta på ett gemensamt projekt, som en arbetsgrupp eller en arbetsstyrka.
agentive-figure;['land', 'stat', 'suverän stat', 'nation', 'rike', 'staten', 'eget land', 'montevideokonventionen', 'oavhängig stat', 'oberoende politisk enhet', 'självständig stat', 'självständigt land', 'statlig', 'statligt', 'statsmakt', 'statsmakten', 'statsmakterna', 'vad är suveräna stater', 'deklarativa teorin om självständig stat', 'deklarativa teorin om statsbildning', 'nationellt', 'nationen', 'nationer', 'politiska samhället', 'res publica', 'statliga', 'statskroppen', 'suveräna stater'];En politisk enhet som hävdar absolut bestämmanderätt över ett större geografiskt område.
agentive-figure;['styrka', 'militär enhet', 'militär organisation', 'bekämpa enhet', 'enhet', 'militär formation', 'militär styrka', 'militära enheter', 'militära gruppen', 'militärstyrka'];En organiserad grupp av människor som utövar makt för att bibehålla eller ta kontroll över andra människor. som en militär styrka eller en polisstyrka.
agentive-figure;['kontor', 'myndighet', 'förvaltning', 'statlig myndighet', 'central förvaltningsmyndighet', 'förvaltningsmyndighet', 'myndigheter', 'myndigheterna', 'auktoritativ', 'federal myndighet', 'klass a kontorslokaler', 'kontorsbyggnader', 'kontorskomplex', 'statliga myndigheter'];Rum, uppsättning rum eller byggnad som används för administrering av statlig verksamhet, företagsaffärer eller andra arbetsrelaterade verksamheter.
agentive-figure;['tunnelbana', 't-bana', 'tunnelbanesystem'];En elektrifierad järnväg för passagerartrafik som körs i tunnlar under marken.
agentive-figure;['marsian', 'marsmänniska', 'martian'];En invånare på planeten Mars.
agentive-figure;['militär', 'krigsmakt', 'styrka', 'krigsmaskineri', 'militära', 'militärer', 'härväsen', 'krigsväsen', 'militära försvaret', 'militären', 'militärväsen', 'sjömilitär', 'väpnade styrkorna', 'försvaret', 'krigsmaskin', 'militär gren', 'militära maskin', 'militära styrkor', 'väpnade styrkor', 'väpnat motstånd'];En organiserad grupp av människor som utövar makt för att bibehålla eller ta kontroll över andra människor. som en militär styrka eller en polisstyrka.
agentive-physical-object;['ek', 'eksläktet', 'eke', 'ekträ', 'ekvirke', 'ekar', 'quercus', 'eksläkte', 'ekollon', 'amerikansk ek'];Varje träd av släktet Quercus i ordningen Fagales, kännetecknat av enkla vanligen flikiga löv, fjälliga vinterknoppar, stjärnformad kärnved och frukten, ekollonet, som är en nöt. Veden är tålig, hård och hållbar, och har i allmänhet ett distinkt mönster.
agentive-physical-object;['bonsai', 'bonsaiträd'];Ett miniatyrträd som växer i en kruka.
agentive-physical-object;['kalle anka', 'donald duck', 'anka, kalle', 'donald fauntleroy duck', 'ankapetus', 'duckipedia', 'kalle anka-röst', 'kalle ankas', 'kalleanka', 'karl anka', 'karl magnus anka'];En påhittad anka med hetsigt temperament, skapad av Walt Disney.
agentive-physical-object;['jaguar', 'panter', 'panthera onca', 'jaguarer', 'felis onca', 'onca'];Ett stort köttätande fläckigt kattdjur inhemskt i Syd- och Centralamerika.
agentive-physical-object;['djur', 'fauna', 'best', 'djurens reproduktion', 'djurvärld', 'animalia', 'animalisk', 'animaliska', 'djurart', 'djurliv', 'djurrike', 'djurriket', 'djurvärlden', 'flercelliga djur', 'metazoa', 'animera vara', 'epifauna', 'epifaunal', 'infauna', 'makrofauna', 'metazoans', 'varelse'];En levande organism som kännetecknas av viljestyrda rörelser, att den har celler med cellväggar utan cellulosa, specialiserade sinnesorgan som möjliggör snabb respons på stimuli samt intagande av komplexa organiska substanser, såsom växter eller andra djur.
agentive-physical-object;['växt', 'flora', 'växtarter', 'växtliv', 'vegetation', 'plantae', 'växter', 'archaeplastida', 'floran', 'floristisk', 'när uppträdde växter', 'sveriges flora', 'växten', 'växtriket', 'växtvärlden', 'floror'];De växter som återfinns inom ett givet område eller inom en given miljö.
agentive-physical-object;['växt', 'flora', 'växtarter', 'växtliv', 'vegetation', 'plantae', 'växter', 'archaeplastida', 'floran', 'floristisk', 'när uppträdde växter', 'sveriges flora', 'växten', 'växtriket', 'växtvärlden', 'floror'];En levande organism som typiskt syntetiserar sin föda från oorganiska ämnen, som har cellväggar av cellulosa, som reagerar långsamt och ofta oåterkalleligt på stimulus, som saknar specialiserade sinnesorgan och nervsystem, och som saknar rörelseförmåga
agentive-physical-object;['växt', 'flora', 'växtarter', 'växtliv', 'vegetation', 'plantae', 'växter', 'archaeplastida', 'floran', 'floristisk', 'när uppträdde växter', 'sveriges flora', 'växten', 'växtriket', 'växtvärlden', 'floror'];Den växtlighet som kännetecknar en given geografisk region eller omgivning.
agentive-physical-object;['hund', 'canis lupus familiaris', 'jycke', 'tamhund', 'canis familiaris', 'hundar', 'voffsing', 'canis lupus domesticus', 'hundavel', 'hundens historia', 'hundhistoria', 'hundvalp', 'hundvalpar', 'hynda', 'människans bästa vän', 'tamhundar', 'tamhunden', 'tik', 'vovve', 'inhemska hund', 'familiaris'];Ett vanligt fyrbent djur, vanligen hållet som sällskapsdjur eller för att jaga eller hålla vakt.
agentive-physical-object;['lövträd', 'lövskog', 'decidious', 'lövfällande växt', 'lövskogar'];Träd som fäller sina löv på hösten och får nya på våren.
agentive-physical-object;['ört', 'örtkrydda', 'örter', 'herba', 'örtartad', 'örtväxterna', 'oförvedad', 'örtartade växter', 'kulinarisk ört', 'örtartade'];Envar grön bladväxt eller delar av densamma som används för att krydda och ge smak till mat.
agentive-physical-object;['mikrodator', 'persondator', 'pc', 'persondatorer', 'personal computer', 'bordsdator', 'persondatorn', 'mikrodatorer'];En liten dator byggd runt en mikroprocessor avsedd att användas av en person åt gången.
agentive-physical-object;['tupp', 'cockerel'];En hane av höns (Gallus gallus domesticus), en domesticerad fågel.
agentive-physical-object;['griskulting', 'kulting', 'spädgris', 'piggy', 'shoat', 'shote', 'tamsvin'];En ung gris.
agentive-physical-object;['tupp'];En hane av höns (Gallus gallus domesticus), en domesticerad fågel.
agentive-physical-object;['sugga', 'so', 'tamsvin'];En vuxen hona av gris.
agentive-physical-object;['parasit'];Organism som lever och får föda på bekostnad av en annan organism, värden.
agentive-physical-object;['slaktkropp', 'as'];Kroppen av ett dött djur, på vilket andra djur har börjat äta.
agentive-physical-object;['hona', 'kvinna', 'hondjur', 'honor', 'kvinnliga', 'kvinnor'];En vuxen människa av det kön som producerar ägg och föder barn.
agentive-physical-object;['pudel', 'pudlar', 'storpudel', 'angorapudel', 'cirkuspudel', 'dvärgpudel', 'kungspudel', 'mellanpudel', 'silkespudel', 'silverpudel', 'snörpudel', 'stor pudel', 'toypudel', 'ullpudel', 'att göra en pudel', 'att göra en hel pudel', 'göra en hel pudel', 'göra en pudel', 'hel pudel', 'klok som en pudel', 'luspudel', 'pudelns kärna', 'pudel hund'];Fransk hundras med lockig päls.
agentive-physical-object;['vilt', 'viltkött', 'villebråd', 'byte', 'småvilt', 'spel', 'fågelvilt', 'gamebird'];Vilda djur, inklusive fåglar och fiskar, som jagas för sport, mat eller vinst.
agentive-physical-object;['vallmo', 'poppy'];Alla växter av släktet Papaver, med skrynkliga ofta röda kronblad och en mjölklik sav.
agentive-physical-object;['rovdjur'];Ett djur som dödar och äter andra djur.
agentive-physical-object;['björk', 'björkar', 'björksläktet', 'betula', 'björkbark', 'björklöv', 'björkpollen', 'björkskog'];Ett träd av släktet Betula, med små blad och en stam som är vit med mörkare fläckar.
agentive-physical-object;['vilt', 'viltkött', 'villebråd', 'byte', 'småvilt', 'spel', 'fågelvilt', 'gamebird'];Vilda djur, inklusive fåglar och fiskar, som jagas för sport, mat eller vinst.
agentive-physical-object;['apelsin', 'apelsin frukt', 'apelsinträd'];Apelsinträdets syrliga frukt, vanligen orange till färgen alltigenom, med tjockt skal och kärnor.
agentive-physical-object;['barrträd', 'barrväxt', 'pinopsida'];En ordning av kottbärande plantor som inkluderar nästan all nu förekommande gömfröiga växter (Gymnospermae). De flesta är höga vintergröna träd med nållika (som t ex tallar), linjeformade (som t ex granar) eller fjälliknande (som t ex cedrar) löv, så kallade barr. De förekommer typiskt i den tempererade zonen och är de vanligaste träden i de kallare regionernas skogar. Man erhåller timmer, harts, tjära, terpentin och pappersmassa från dem.
agentive-physical-object;['barrträd', 'barrväxt', 'pinopsida'];Ett träd som har kottar.
agentive-physical-object;['marinbiologi', 'marinekologi', 'marina djur', 'den marina biologiska mångfalden', 'havsdjur', 'marin ekologi', 'marin zoolog', 'marina organismer', 'marina varelse', 'marina zoologi', 'marinbiolog', 'marint liv', 'sea life', 'sealife', 'sjövarelse'];En gren av biologin som behandlar de levande organismer som finns i havet.
agentive-physical-object;['basilika', 'ocimum basilicum', 'sweet basil'];En ettårig växt som tillhör familjen Lamiaceae (eller Labiate) som odlas som kryddväxt och används som smaksättning i matlagning.
agentive-physical-object;['sparvfinkar', 'sparv', 'sparvar', 'passeridae', 'sant sparv'];En liten sångfågel i familjen Passeridae.
agentive-physical-object;['sockermelon', 'melon', 'matmelon', 'cucumis melo', 'cantaloupe', 'melonen', 'meloner', 'pepinomelon', 'peppino melon', 'muskmelon', 'söt melon vinstockar'];En växt (Cucumis melo) i familjen gurkväxter som kännetecknas av relativt stora ätbara frukter med hårt skal och mjukt saftigt fruktkött.
agentive-physical-object;['kål', 'vitkål', 'brassica oleracea', 'brassica oleracea var. alba', 'broccolo', 'romanesco', 'rödkål', 'vildkål', 'odlade kål'];En ätbar växt (Brassica oleracea) som finns i många olika varianter.
agentive-physical-object;['kål', 'vitkål', 'brassica oleracea', 'brassica oleracea var. alba', 'broccolo', 'romanesco', 'rödkål', 'vildkål', 'odlade kål'];Form av kål (Brassica oleracea var. capitata f. alba) som bildar stora, hårt slutna huvuden med ljusa blad.
agentive-physical-object;['ohyra', 'skadedjur', 'skadedjursbekämpning'];Små djur och insekter som kan vara skadliga och som är svåra att kontrollera när de uppträder i stora antal.
agentive-physical-object;['spetshund', 'spets', 'spitz'];En hund tillhörande någon av ett antal arter, med ursprung i arktiska trakter, som kännetecknas av mycket tjock, ofta vit päls, spetsiga nosar och öron och en svans som rullar sig tillbaka över ryggen. och som ofta används som jakt-, vall- eller draghundar.
agentive-physical-object;['tobak', 'nicotiana', 'råtobak', 'tobaken', 'tobakens historia', 'tobaksspinneri', 'tobaksvaror', 'tobaksplanta', 'tobaksplantan'];Ett släkte av växter med korta blad (Nicotiana spp. L.) som tillhör familjen potatisväxter och som växter vilt i Nord- och Sydamerika.
agentive-physical-object;['björnbär', 'rubus fruticosus', 'rubus loehrii', 'rubus rubus', 'björnbär buske'];Den sammansatta frukten från en björnbärsbuske, som vanligen är röd som omogen, men som blir svart när den mognar.
agentive-physical-object;['kyckling', 'höns', 'gallus gallus domesticus'];En typ av domesticerad fågel av ordningen Galliformes som ofta hålls som en sorts fjäderfä (Gallus gallus domesticus).
agentive-physical-object;['schäfer', 'schäferhund', 'tysk schäferhund', 'deutscher schäfer', 'schäfern', 'shäfer', 'tysk schäfer', 'deutscher schäferhund', 'deutscher schäferhund, schäfer', 'schäfer hund', 'tyska polishund', 'tyska shepherds'];En hundras.
agentive-physical-object;['ulv', 'varg', 'gray wolf', 'canis lupus', 'grey wolf', 'grå varg', 'grå vargar', 'lupus', 'timber wolf', 'vargar', 'wolve'];Ett stort vilt hunddjur (Canidae), nära besläktat med hunden.
agentive-physical-object;['hjortron', 'hjortronplanta', 'rubus chamaemorus', 'mylt', 'blötbär', 'multebär', 'myrbera', 'mölta', 'mörberä', 'snatterbär', 'snåtterblomma', 'snåtterbär', 'snåttren', 'solbär', 'bakad-äpple bär', 'bakeapple', 'dvärg mullbär'];En lågväxande ört (Rubus chamaemorus) som bär ätliga gula sammansatta frukter.
agentive-physical-object;['gris', 'svin', 'svindjur', 'sus scrofa domestica', 'grisar', 'sus', 'tamsvin', 'grisen', 'grisning', 'grisuppfödare', 'kulting', 'slaktsvin', 'spädgris', 'sus domestica', 'svinavel', 'svinskötsel', 'svinuppfödning', 'tamgris', 'tamgrisar', 'hog'];Ett vanligt fyrbent djur (Sus scrofa) som har klövar, borst och en nos anpassad för grävande och som hålls av människor som köttdjur.
agentive-physical-object;['te', 'camellia sinensis'];De torkade bladen eller knopparna av teplantan, Camellia sinensis.
agentive-physical-object;['katt', 'kisse', 'felis catus', 'katter', 'tamkatt', 'felis silvestris catus', 'fip', 'katten', 'kattungar', 'kattunge', 'kattöra', 'kissekatt', 'kissemiss', 'källing', 'semesterkatt', 'sommarkatt', 'kattras', 'kattraser', 'katterna', 'domestic cat', 'huskatt', 'sann katt'];Ett vanligt fyrbent djur (Felis silvestris) som ofta hålls som sällskapsdjur.
agentive-physical-object;['tacka'];Ett får av honkön.
agentive-physical-object;['elefant', 'elefanter'];Ett däggdjur av ordningen Proboscidea som har snabel och två stora elfenbensbetar som sticker ut från överkäken. Elefanter är de största nu levande landdjuren.
agentive-physical-object;['black', 'dun', 'dun-genen'];En hästfärg kännetecknad av ljus färg och mörka färgtecken längs ansikte, man, rygg och svans
agentive-physical-object;['kalkon', 'meleagris gallopavo'];Någon av de två arterna fåglar i famijen Meleagrididae med solfjäderformade stjärtfjädrar och hudveck på halsarna.
agentive-physical-object;['björn', 'björnar', 'ursidae', 'ursine'];Ett stort köttätande däggdjur av familjen Ursidae, besläktat med hund och tvättbjörn, med tjock päls, en mycket liten svans och platta fötter.
agentive-physical-object;['tjur'];Hanne av nötkreatur.
agentive-physical-object;['lövsåg', 'kontursåg', 'sticksåg', 'bläddra såg', 'fretsaw'];En såg med tunt sågblad som kan användas för att skära ut kurvor med snäva radier.
agentive-physical-object;['lövsåg', 'kontursåg', 'sticksåg', 'bläddra såg', 'fretsaw'];En elektrisk såg som används för att skära ut kurvor och former på fri hand.
agentive-physical-object;['uggla', 'uv', 'ugglor', 'ugglefåglar', 'strigiformes', 'ugglan', 'uvar', 'fågel av minerva', 'fågel natten'];En ensamlevande huvudsakligen nattaktiv rovfågel av ordningen Strigiformes som har stora framåtriktade ögon och öron samt en höklik näbb och som kan vända sitt huvud rakt bakåt.
agentive-physical-object;['fladdermus', 'fladdermöss', 'läderlapp', 'chiroptera', 'flädermöss', 'läppskaka', 'bat', 'chiropteran'];Ett litet nattaktivt flygande däggdjur av ordningen Chiroptera, som navigerar med hjälp av radareko. Det ser ut som en mus med membranlika vingar som går från frambenen till bakbenen eller svansen.
agentive-physical-object;['nordamerikansk tvättbjörn', 'tvättbjörn', 'gemensam racoon', 'gemensam tvättbjörn', 'gemensamma tvättbjörn', 'lotor', 'procyon lotor'];(Procyon lotor) Ett allätande nattaktivt däggdjur som förekommer naturligt i Nord- och Centralamerika.
agentive-physical-object;['murgröna', 'hedera helix', 'gotlands landskapsblomma', 'vildmurgröna', 'hederae helicis', 'engelska murgröna', 'gemensam murgröna', 'hedera'];Ett släkte som omfattar cirka tio arter av städsegröna kläng- eller krypväxter i familjen Araliaceae.
agentive-physical-object;['tvättbjörn', 'nordamerikansk tvättbjörn', 'procyon lotor', 'gemensamma raccoon', 'racoon'];(Procyon lotor) Ett allätande nattaktivt däggdjur som förekommer naturligt i Nord- och Centralamerika.
agentive-physical-object;['kålrabbi', 'brassica oleracea', 'brassica oleracea var. gongylodes', 'brassica oleracea gongylodes'];Kultivar av kål (Brassica oleracea var. Gongylodes) som odlas för sin uppsvullna, ätbara stam snarare än sina blad.
agentive-physical-object;['iris', 'irissläktet', 'irisar', 'leopardblomssläktet'];Ett blomma av någon art som ingår i släktet Iris. blommorna förekommer i många olika färger, har långsmala spetsiga blad och antingen rotknöl eller rhizom.
agentive-physical-object;['svampdjur', 'svamp', 'porifera', 'havssvampdjuren', 'spongiaria', 'asconoid', 'havet svamp', 'havssvamp', 'marina svampen', 'parazoan', 'poriferan', 'svampar'];En individ av någon av de in stammen Porifera ingående arterna. De är havslevande, porösa djur.
agentive-physical-object;['lager', 'laurus nobilis', 'lagerblad', 'lagrar', 'lagerträd', 'lagerträdet', 'bay tree', 'rhododendron maximum', 'sant laurel'];(Laurus nobilis) En buske av familjen Lauraceae.
agentive-physical-object;['häst', 'equus caballus', 'fåle', 'havremoped', 'hest', 'hästarna', 'hästavel', 'nutida hästen', 'pålle', 'tamhäst', 'undan', 'hästar', 'caballus'];Ett stort djur med fyra ben som man kan rida på eller använda för att bära saker eller dra vagnar.
agentive-physical-object;['majs', 'zea mays', 'majsen', 'majskolv', 'majskolvar', 'minimajs'];En sorts säd av arten Zea mays.
agentive-physical-object;['vass'];Någon av de olika höga styva gräsliknande växter som växer i ruggar nära vatten.
agentive-physical-object;['rödräv', 'räv', 'vulpes vulpes', 'den röde', 'långrumpa', 'mickel', 'räbba', 'rävesa', 'rävika', 'rävtäva', 'skogshund', 'röda rävar', 'vulpes'];(''Vulpes vulpes''). ett relativt sett litet köttätande hunddjur.
agentive-physical-object;['lammgam', 'skäggam', 'gypaetus barbatus', 'gamörn', 'gypaetus', 'lammergeier', 'lammergeyer'];En av gamla världens gamar, den enda medlemmen i släktet Gypaetus.
agentive-physical-object;['fluga', 'tvåvingar', 'tvåvinge', 'diptera', 'tvåvingade', 'dipterans', 'flugor', 'sanna flugor'];En vanlig insekt. vilken art som helst av ordningen Diptera.
agentive-physical-object;['papegoja', 'papegojfåglar', 'psittaciformes', 'papegojor', 'äkta papegojor', 'pappegoja'];Någon fågel ur ordningen papegojfåglar, av vilka många arter är färgstarka och har förmåga att härma mänskligt tal.
agentive-physical-object;['fågel', 'fåglar', 'aves', 'fågelarter', 'fåglars', 'kustfåglar', 'avafauna', 'fågelfaunan', 'roosting', 'övernattningsplatser'];Ett varmblodigt ryggradsdjur av klassen Aves.
agentive-physical-object;['jordnöt', 'arachis hypogaea', 'jordnötter', 'jordnöt vinstockar'];En nötliknande frukt från växten Arachis hypogaea, som växer på långa stänglar under markytan.
