abstract-region;['бисёръузва', 'бисёрузва', 'полином'];Бисёръузва́
activity;['гадоӣ', 'гадо'];Гадо, дарюза, талабанда — касеро гӯянд, ки аз роҳи дархости кумаки моддӣ аз мардум рӯзӣ ба даст оварда, бо барангехтани ҳисси раҳму шафқат аз одамон пул меситонад ва ин корро пешаи худ кардааст.
activity;['дзюдо', 'ҷуду'];Ҷуду — варзиш ва ҳунари размии жопунӣ, ки дар охири асри XIX дар асоси ҷиу-ҷитсу устои ҳунарҳои размӣ Дзигоро Кано |嘉納 治五郎|Кано: Дзигоро бунёд кард ва дастурҳое офарид, ки дар онҳо чӣ гуна машқ кардан ва чӣ тавр озмоиш гузаронидан гуфта шудааст.
activity;['афсона'];Афсонá — яке аз навъҳои эҷодиёти шифоҳи -и мардуми тоҷик ва халқҳои гуногуни дунё.
activity;['белканто', 'bel canto'];Белканто
activity;['рейд'];Рейд
activity;['ампутатсия'];Ампутатсия
activity;['балет'];Балет
activity;['вазелин'];Вазелин
activity;['дарс'];Дарс як навъ ва қисми муҳими таълиму тарбия мебошад, ки дар як вақти муаяни рӯх гузаронида мешавад.
activity;['водевил'];Водеви́л
activity;['ҷанги шаҳрвандӣ', 'чанги шахрванди'];Ҷанги шаҳрвандии Англия
activity;['ҷанги корея'];Ҷанги Корея - ҷангест миёни Ҷумҳурии Корея бо пуштибонии нерӯҳҳои Созмони Миллали Муттаҳид ба раҳбарии ИМА ва Ҷумҳурии Демократии Халқии Корея бо пуштибонии Чин ва кӯмаки низомии ИҶШС буд, ки 25 июни соли 1950 бо вуруди нерӯҳҳо таҳти фармони Ҳукумати Коммунистии Ким Ил Сунг ба бахши ҷанубӣ оғоз шуд ва дар 27 июли 1953 бо паймони оташбас ба ҳолати тарки мухосиба ба поён расид.
activity;['ҷанги дуюми ҷаҳон', 'ҷанги дуюми ҷаҳонӣ', 'ҷанги ҷаҳонии дувум'];Ҷанги дуюми ҷаҳон — ҷанги ду эътилофоти ҳарбӣ ва сиёсии ҷаҳон, ки ба ҷанги бузургтарини ҷаҳон дар таърихи инсоният табдил ёфтааст.
activity;['саргузашт', 'воқеа', 'моҷаро', 'ҳодиса'];Саргузашт, воқеа, ҳодиса ё моҷаро — ҳодисаи ҳаяҷоновар, рӯйдоди ғайричашмдошт ё саргузашти зиндагӣ, занҷири рӯйдодҳои ғайричашмдошт ва рӯйдодҳои ғайричашмдошт. воқеияти ғайричашмдошт, дастоварди олиҷаноб, саёҳати ҷолиб, озмоиши ҷолиб, табаддулоти ҷолиб ё саргузашти ишқ.
activity;['беяроқкунӣ', 'халъи силоҳ'];Беяроқкунӣ, халъи силоҳ — аз ҷониби давлатҳо ихтисор кардани воситаҳои пешбурди ҷанг.
activity;['маориф', 'омӯзишу парвариш'];Маориф
activity;['маориф', 'омӯзишу парвариш'];Маориф — раванди таълиму тарбия ба манфиати шахс, ҷамъият ва давлат, ки соҳиби дараҷаи муайяни таҳсилот гардидани таълимгирандагонро таъмин мекунад.
activity;['равобити байналмиллалӣ', 'муносибатҳои байналхалқи'];Равобити байналмилалӣ
activity;['ривоят', 'баён', 'достон', 'нақл', 'қисса', 'ҳикоя', 'ривоятхо', 'ривоятҳо'];Ривоят
activity;['амонат'];Амонат - маблағ ва сарвати дигари шахсони воқеӣ ва ҳуқуқӣ, ки ба ташкилоти қарзӣ барои нигаҳдорӣ супурда шудаанд.
activity;['варзиш', 'варзишкор', 'спорт'];Варзиш, спорт
activity;['кайфият'];Кайфият - холати умумии эмотсионалии шахс.
activity;['ария'];Ария
activity;['бартер'];БÁРТЕР, муомилоти бартерӣ, мубодилаи мол дар шакли табиӣ. ивази як мол ба моли дигар бидуни пардохти маблағ.
activity;['касб', 'ҳирфа'];Касб
activity;['ҷашнвора', 'фестивал', 'ид', 'ҷашн', 'festival'];Ҷашнвора, фестивал
activity;['вакханалия'];Вакханалия
activity;['билярд', 'билёрд'];Биля́рд, гоҳо биллиа́рд
activity;['ҳунарҳои размӣ'];Ҳунарҳои размӣ
activity;['асппарварӣ'];Асппарварӣ — яке аз соҳаҳои чорводорӣ.
activity;['мусиқии ҳарбӣ'];Мусиқии харбӣ, асари мусиқиест, ки ҳангоми тантанаи маросими ҳарбию ҷамъиятй ва омузондани амалиёти низомии қӯшун иҷро мешаванд.
activity;['барномасозӣ', 'барноманависӣ', 'барномарезӣ'];Барномасозӣ — раванди таҳияи барномаҳои компютерӣ.
activity;['нажодпарастӣ', 'расизм'];Нажодпарастӣ — равияи ноодамиёнаи зиддиилмӣ, ки иддао дорад башар аз азал ба ирқи болову паст тақсим аст ва гӯё ирқи боло лоиқи ҳукмронӣ мебошаду насибаи ирқи паст фақат итоату заҳмат.
activity;['таъбизи ҷинсиятӣ'];Табъизи ҷинсиятӣ, ҷинсиятзадагӣ ё сексизм
activity;['таҳсилоти олии касбӣ'];Таҳсилоти олии касбӣ - дараҷаи таҳсилотест, ки шахс дар муассисаи олии таълимӣ дар натиҷаи раванди пайдарпай, бонизом ва ҳадафманди фарогири мазмуни таълим, ки он ба таҳсилоти миёнаи ҳамагонӣ асос ёфта, бо дарёфти тахассуси муайян аз рӯи ҷамъбасти аттестатсияи давлатӣ ба анҷом мерасад, соҳиб мегардад.
activity;['вазнбардорӣ'];Вазнбардорӣ — намуди варзиш, мусобиқаи вазнбардорӣ.
activity;['бокс', 'муштзанӣ', 'боксёре', 'муштзан'];Бокс
activity;['абсентизм'];Абсентизм — ба нишонаи эътироз аз иштирок дар маъракаи интихобот ва овоздиҳӣ саркашӣ кардан.
activity;['ташхис', 'диагноз'];Ташхис, дардшиносӣ, диагноз, хулосаи мухтасари тиббӣ оид ба табиат -и беморӣ ва аҳволи бемор.
activity;['массаж', 'молиш'];Массаж
activity;['аускултатсия', 'aускултатсия'];Аускултатсия (лот.
activity;['антропометрия', 'инсонсанҷӣ', 'мардумсанҷӣ'];Инсонсанҷӣ,, антропометрия
activity;['мусиқии вокалӣ'];Мусиқии вокалӣ — жанри мусиқиест, ки барои сурудан эҷод мешавад.
activity;['барф'];БарФ (паҳл.
activity;['жола'];Жола - қатраҳои бороне, ки аз таъсири ҳавои сард ба ях мубаддал мегарданд, меноманд.
activity;['вазифаи хонагӣ'];Вазифаи хонагӣ - вазифаест, ки ба муаллим ба хонандагон барои мустаҳкам кардани дониши худ ва иҷро карбани машқҳо супорида мешавад.
activity;['ҷазои қатл'];Ҷазои қатл — ҳамчун намуди ҷазо дар банди «к» м.
activity;['ангиография'];Ангиогра́фия
activity;['гардолудшавӣ', 'гардолудшави'];Гардолудшавӣ — аз гарддон ба гардгирак ё ҳуҷайратухм рехтани гард.
activity;['ваксинатсия', 'воксиносиюн'];Ваксинатсия — ба андомгон фиристодани ҳар гуна ваксина, анатоксин, ғамма-глобулин ва зардобҳои масунӣ бо мақсади ҳосил кардани муқовимат бар зидди бемориҳои сироятӣ.
activity;['ассимилятсия'];АССИМИЛЯТСИЯ, анаболизм,дар биология қобилияти моддаҳои муҳити берунаро гирифта барои ҳаёт истифода кардани организм.
activity;['маблағгузорӣ'];Маблағгузорӣ - сарфи меҳнат, захираҳои моддию техникӣ ва воситаҳои пулӣ барои такрористеҳсоли фондҳои асосӣ.
activity;['ҷаҳиш'];Ҷаҳиш, як тағйири генетикӣ аст, ки сифоти зистии бархе аз афроди як гунаро тағйир медиҳад.
activity;['синамо', 'синемо'];Синамо — навъи санъати тасвирии муосир мебошад, ки дар асри XIX ихтироъ шуда дар айни замон машҳуртарин намуди санъат ба шумор меравад.
activity;['мудирият', 'менеҷмент'];Мудирият
activity;['сурудхонӣ', 'сараяндагӣ'];Сурудхонӣ — иҷрои мусиқӣ бо ёрии овози сурудхонӣ.
activity;['аксбардорӣ', 'акс'];Аксбардорӣ
activity;['боддиҳак'];Боддиҳак — мошинаест, ки донро аз ғаллаи кӯфта ҷудо мекунад.
activity;['иртибот', 'алоқа'];Иртибот — фароянди интиқоли паём аз фиристанда ба гиранда ба шарти ҳамсон бидуни маъони байни онҳост.
activity;['шифр'];Шифр
activity;['бизнес', 'ширкати тиҷорӣ'];Бизнес -
activity;['тадвини филм', 'монтажи мултимедиа'];Монтажи мултимедиавӣ – ин раванди эҷодӣ, техникӣ ва ба низом даровардани тасвиру наворҳо мебошад, ки асосан дар студияҳо, ширкатҳои синамогароӣ ва телевизион васеъ истифода бурда мешавад.
activity;['аккултуратсия'];Аккултуратсия — аз калимаи англисии акки ва калимаи лотинии адкикига - маориф, инкишоф баромадааст.
activity;['тенор', 'tenor'];Тенор
activity;['театр'];Теа́тр
activity;['матбаа'];Матбаа - чопхона, корхонаи саноати полиграфӣ, ки навъҳои гуногуни маҳсулоти чопӣ нашр менамоянд.
activity;['инқилоби октябр', 'революцияи кабири социалисти октябр'];Инқилоби Октябр ки Инқилоби Бузурги Сотсиалистии Октябр, Октябри Сурх, Қиёми Октябр ва Инқилоби Болшивикӣ низ хонда мешавад.
activity;['санъат'];Санъат – равиш ва натиҷаи маънои ифодаи ҳиссиёт дар образ.
activity;['боғдорӣ', 'рустанипарварӣ', 'боғпарварӣ'];Боғдорӣ, боғпарварӣ — як соҳаи кишоварзӣ, нигоҳубин ва парвариши боғ, мевапарварӣ.
activity;['боғдорӣ', 'рустанипарварӣ', 'боғпарварӣ'];Рустанипарварӣ — шуғлу пешаи растанипарвар. парвариш ва нигоҳубини рустаниҳо.
activity;['санъатисозӣ', 'санъатӣ шудан', 'саноатикунонӣ'];Санъатисозӣ
activity;['боришот'];Боришот — падидаи атмосферӣ, ки бо вуҷуд доштани об дар атмосфера алоқаманд аст.
activity;['премера', 'премьера'];Премера, нахустин намоиши пулакии спектакли нав, ё аз нав таҳияшуда. барномаи эстрадӣ, сирк, кинофилм, телефилм ва ғайраҳо.
activity;['авф'];Авф (арабӣ: عفو‎) – бахшидан, аз гуноҳи касе гузаштан), (амнистия) — дар ҳуқуқ тамоман ё қисман аз ҷазо озод намудани шахсоне, ки ҷиноят содир кардаанд, кам кардани мӯҳлати ҷазо ё ба ҷазои нисбатан сабук иваз кардани ҷазои муқарраркардаи суд, инчунин бардоштани доғи судӣ аз касоне, ки пеш маҳкум шуда, муҳлати ҷазоро адо кардаанд.
activity;['ҳосил', 'хосил'];Хосил аз он иборат аст, ки аз замин мо хосил гирифта барои бехбудии рузгор истифода бурда мешавад.
activity;['новбарӣ', 'навигатсия'];Новбарӣ, навига́тсия
activity;['акробатика'];Акробатика — 1
activity;['талоқ', 'ҷудошавӣ бо ҳамсар'];Талоқ аз зан ҷудо шудан, ҷудоӣ. талоқи муғаллаза се талоқ, навъе аз талоқ аст, ки то зани талоқгирифта ба никоҳи каси дигар даромада боз талоқ наёбад, никоҳ бо шавҳари аввалаш ҷоиз нест. талоқ додан ҷудо шудан, аз зан ҷудо шудан.
activity;['бас'];БАС
activity;['чой'];Чой (чин.
activity;['маориф', 'омӯзишу парвариш'];Маориф
activity;['маориф', 'омӯзишу парвариш'];Маориф — раванди таълиму тарбия ба манфиати шахс, ҷамъият ва давлат, ки соҳиби дараҷаи муайяни таҳсилот гардидани таълимгирандагонро таъмин мекунад.
activity;['рӯзноманигорӣ', 'журналистика'];Рӯзноманигорӣ — тағирӣ ҷаҳонбинии гурӯҳҳои ҷамъиятӣ тавассути ҷамъоварии далелҳо, баҳогузориҳо ва эзоҳҳое, ки доғи рӯзанд ва муҳиманд дар ҳамин вақт.
activity;['музояда', 'ауксион'];Тарзи англисии савдо — чунин тарзи музояда, ки ҳангоми он нархи эълоншудаи лот назар ба нархи ибтидоӣ бо қадами эълоншудаи пешакӣ то лаҳзаи мондани як нафар иштирокчии нархи аз ҳама баландро пешниҳоднамуда баланд карда мешавад...
activity;['куштӣ', 'кӯштӣ', 'гӯштингирӣ'];Куштӣ — камарбанди сафед ва борику баланд аст, ки порсиён ва зартуштиён ҳангоми ғуруби офтоб ба камари худ мебастанд ва ба дуо хондан мепардохтанд.
activity;['мусобиқаи аспдавонӣ'];Мусобиқаи аспдавонӣ ба масофаҳои гуногун, ки қувват ва давандии аспро месанҷанд.
activity;['камонварӣ', 'камонбозӣ', 'тирандозӣ'];Камонварӣ, камонбозӣ, тирандозӣ, нишонзанӣ — яке аз навъҳои машҳури варзиши миллӣ, ки таърихи қадимӣ дорад.
activity;['табъиз', 'дискриминатсия'];Табъиз
activity;['марҳам'];Марҳам доруе, ки ба рӯи захм ва решҳо гузоранд : марҳам молидан, марҳам тайёр кардан. марҳами ҷон а
activity;['садақа', 'хайр'];Садақа пул ва чизе, ки ба фақирон ва бенавоён чун хайрот дода мешавад.
activity;['борон'];Борон - боришоти атмосфера аст, ки аз абр дар шакли чакраҳои об мерезад.
activity;['ситоиш'];Ситоиш 1.
agentive-figure;['қаҳрамон'];Қаҳрамон, диловар, далер, паҳлавон — шахсе, ки бо диловарию мардонагӣ ва фидокорию корнамоии худ шӯҳрат ёфтааст: қаҳрамони ватан, қаҳрамони меҳнат, қаҳрамони халқи тоҷик, халқи қаҳрамон, ҷанговари қаҳрамон, се карат қаҳрамон, қаҳрамон шудан.
agentive-figure;['сиклопҳо', 'сиклопхо'];Сиклопҳо, Киклопҳо — се азимҷуссаи якчашма, писарони Гея ва Уран: Арг, Бронт ва Стероп.
agentive-figure;['ҳорпӣ'];Ҳорпӣ
agentive-figure;['колхоз'];Колхоз, хоҷагии коллективӣ — шакли хоҷагидорӣ дар деҳот дар Иттиҳоди Шӯравӣ, ки дар он воситаҳои истеҳсолот дар дасти иштирокчиёни ҷамъият буда, натиҷаҳои меҳнат низ дар байни онҳо тақсим карда мешуд.
agentive-figure;['имперотурии олмон'];Имперотурии Олмон — як давлати миллии олмонӣ буд, ки дар миёни солҳои 1871—1918 бар бахшҳои васеъе аз шимол ва шарқи Аврупо ҳукумат мекард.
agentive-figure;['ҷамъияти саҳҳомӣ', 'ширкати саҳҳомӣ'];Ҷамъияти саҳҳомӣ — ҷамъияте дониста мешавад, ки фонди оинномавии он ба миқдори муайяни саҳмияҳо тақсим шудааст.
agentive-figure;['андешгоҳ'];Андешгоҳ ба созмон, муассиса, ширкат ё гурӯҳе гуфта мешавад, ки кори ҳидоят, пажуишро анҷом медиҳад.
agentive-figure;['аждаҳо', 'аждахорхо'];Аждаҳо, аждар, аждарҳо — мори солхурдаи калони афсонавӣ, ки пар баровардааст ва аз даҳонаш оташ берун меояд.
agentive-figure;['бонки тиҷоратӣ', 'бонкҳои тиҷоратӣ'];Бонки тиҷоратӣ
agentive-figure;['бонк', 'банк'];Бонк — ташкилоти молиявию қарзие мебошад, ки вазифаҳои банақшагирӣ, ташкил ва танзими гардиши пул, додани қарз ва ҳисобу китобро иҷро мекунад.
agentive-figure;['шохаи низомӣ', 'намуди қувваҳои мусаллаҳ'];Шохаи низомӣ
agentive-figure;['мусиқии нафасӣ', 'оркестри созҳои нафасӣ', 'оркестри нафасӣ'];Мусиқии нафасӣ, як навъ асари мусиқиест, ки барои оркестри нафасӣ эҷод мешавад.
agentive-figure;['мусиқии нафасӣ', 'оркестри созҳои нафасӣ', 'оркестри нафасӣ'];Оркестри созҳои нафасӣ — оркестрест, ки аз созҳои нафасӣ ва созҳои зарбӣ иборат аст.
agentive-figure;['созмон', 'ташкилот', 'корпоратсия', 'организатсия'];Ташкилот — идора ё муассисаи давлатӣ ё ҷамъиятӣ. созмонҳои гуногуни ҷамъиятӣ ё давлатӣ
agentive-figure;['таҳм'];Таҳм — ягони тактикӣ дар нерӯҳои мусаллаҳ, ки аз ду ё чанд гурӯҳ ташкил шуда ва бахше аз вашт аст. даста, взвод.
agentive-figure;['девон', 'divan'];Девон — ташкилоти идории хилофат ва дигар кишварҳои асримиёнагии исломӣ унвони идораи кулли муҳосиботи кишвар ва ба маънии васеъи он идора ва ташкилоти идорӣ буда, дар ибтидо ба манзури сабти даромад ва хароҷоти кишвар ба кор мерафт, ки баъдан ҳамчун маҷмӯаи дафтарҳои идорӣ ба кор рафтааст.
agentive-figure;['ахилл'];Ахи́лл, ё Ахилле́с
agentive-figure;['давлат', 'кишвари мустақил', 'миллат', 'давлати мустақил', 'ҳукумат'];Давлат — ташкилоти ҳуқуқии сиёсӣ, таркибӣ ва ҳудудии ҷомеа аст.
agentive-figure;['кӯдакистон', 'боғчаи бачагон', 'боғчаи бачагона', 'боғчаи кӯдакон'];Кӯдакистон, боғчаи кӯдакон — муассиса барои тарбияи ҷамъиятии кӯдакони синни то мактабӣ.
agentive-figure;['омӯзишгоҳҳои касбҳои техникӣ'];Омӯзишгоҳҳои касбҳои техникӣ — муассисаҳои ҳунаромӯзиест, ки аз тамомкунандагони синфҳои 8-ум ва мактабхои миёна мутахассисони касбҳои техникӣ тай­ёр мекунанд.
agentive-figure;['мафия'];Мафия — - ташкилоти пинҳонии ҷиноятӣ дар Италия мебошад.
agentive-figure;['гурӯҳ'];Гурӯҳ – ягоне тактикӣ дар нерӯҳои мусаллаҳ, ки аз ду рада ташкил шуда ва бахше аз таҳм аст. отделение.
agentive-figure;['абарқудрат'];Абарқудрат ба кишваре гуфта мешавад, ки дорои мавқияти мумтозе дар равобити байналмилалӣ бошад ва тавонои таъсиргузорӣ дар тарҳҳо ва рухдодҳо дар миқёси ҷаҳониро дошта бошад.
agentive-figure;['мазҳаб'];Мазҳаб
agentive-figure;['бонки амонатӣ', 'бонкҳои амонатӣ'];Бонкҳои амонатӣ
agentive-figure;['созмони ҷаҳонии беҳдошт', 'сҷб'];Созмони Ҷаҳонии Беҳдошт, СҶБ ин бахши СММ мебошад ва бо ҳамоҳангсози беҳдошти оммаи байналхалқи мебошад.
agentive-figure;['юнисеф', "united nations international children's emergency fund"];ЮНИСЕФ — Фонди кӯдакон СММ.
agentive-figure;['юнеско'];ЮНЕСКО — Созмони Милали Муттаҳид оид ба масъалаҳои илм, маориф ва фарҳанг — баъд аз ҷанги дуюми ҷаҳонӣ ташкил шуда, барои «мустаҳкамии пояи сулҳ» дар тафаккури инсон амал мекунад.
agentive-figure;['хабаргузорӣ', 'оҷонсии иттилоотӣ', 'агентии иттилоотӣ', 'агентиҳои иттилоотӣ', 'оҷонсиҳои иттилоотӣ'];Хабаргузорӣ, оҷонсии иттилоотӣ
agentive-figure;['иттиҳоди давлатҳои муштаракулманофеъ', 'идм', 'иттиҳоди давлатҳои мустақил'];Иттиҳоди давлатҳои муштаракулманофеъ, Иттиҳоди Давлатҳои Мустақил — иттиҳоди байнидавлатии ҷумҳуриҳои собиқ ИҶШС. == Аъзоён == === Аъзоҳои комилҳуқуқ === Арманистон Беларус Қазоқистон Қирғизистон Молдова Озарбойҷон Россия Тоҷикистон Ӯзбекистон === Аъзои узвӣ === Туркманистон === Аъзои одӣ === Украина === Аъзоҳои мушоҳидачӣ === Афғонистон Мӯғулистон === Аъзои собиқ === ГурҷистонИДМ аз тарафи Белоруссия, Русия ва Украина асос гузошта шудааст.
agentive-figure;['сипоҳ'];Сипоҳ — ягоне амалиётӣ-тактикӣ дар нерӯҳои мусаллаҳи бисёре аз кишварҳои ҷаҳон аст, ки аз ду – се лашкар ташкил мешавад ва ё ороише аз ягонҳо барои иҷрои амалиёти размӣ аст. корпус.
agentive-figure;['персонаж'];Персонаж — аз ҷумлаи иштироккунандагони асари бадеист, ки мавқеи ӯ ба дараҷаи сеюму чорум буда, дар ҷараёни воқеаҳо таъсири ба назар начандон намоён дорад, вале дар гуфтугӯ ҳамаи иштироккунандагони асарро ҳам персонажҳо гуфтан мегиранд, аммо фарқ бояд кард.
agentive-figure;['идораи иттилооти марказӣ', 'ожонси иттилооти марказии има', 'ожонси иттилооти марказӣ', 'созмони иттилооти марказӣ'];Созмони итилооти марказии ИМА
agentive-figure;['саноати ҷангафзорӣ', 'саноати чангафзорӣ', 'саноати яроқ'];Саноати яроқ, саноати силоҳ, саноати ҷангафзорӣ
agentive-figure;['фарҳангистон', 'академия', 'донишгоҳ'];Фарҳангистон ё Акадeмия
agentive-figure;['созмони паймони атлантики шимолӣ', 'нато'];НАТО
agentive-figure;['иттиҳоди аврупо', 'иттиҳодияи аврупо', '🇪🇺'];Иттиҳоди Аврупо — иттиҳоди сиёсӣ ва иқтисодии кишварҳои Аврупо аст, ки дар охири асри XX таъсис ёфтааст.
agentive-figure;['созмони милали муттаҳид', 'созмони миллали муттаҳид', 'смм'];Созмони Миллали Муттаҳид — созмони байналмилалӣ аст, ки кишварҳои пирӯз дар ҷанги дувуми ҷаҳонӣ барои пуштибонӣ ва устувории сулҳу амният дар ҷаҳон ва густариши ҳамкорӣ миёни кишварҳо бунёд кардаанд.
agentive-figure;['ҳизби сиёсӣ', 'партия', 'ҳизб'];Ҳизби сиёсӣ — чунин идтиҳодяи ҷамъиятие фаҳмида мешавад, ки вазифаи асосиаш иштирок дар ҳаёти сиёсии ҷомеа ба воситаи ташаккул додани иродаи сиёсии шаҳрвандон ва инчунин ба амал баровардани ҳокимият ба воситаи намояндагони худ мебошад.
agentive-figure;['ҳанг'];Ҳанг — ягоне тактикӣ ва идориву иқтисодӣ дар шохаҳову зершохаҳо ва ягонҳои вижаи нерӯҳои мусаллаҳи бисёре аз кишварҳои ҷаҳон аст, ки хурдтар аз гунд буда ва маъмулан аз ду – чаҳор гурдон ташкил мешавад. полк.
agentive-figure;['квинтет'];Квинтет
agentive-figure;['квартет'];Квартет
agentive-figure;['геракл', 'ҳеракл'];Ҳера́кл
agentive-figure;['дин', 'имон', 'муъмин', 'мӯъмин'];Дин
agentive-figure;['дин', 'имон', 'муъмин', 'мӯъмин'];Имон
agentive-figure;['ислом', 'дини ислом', 'дини исломӣ', '🕌', 'дини мубини ислом'];Ислом ё дини ислом — яке аз динҳои ҷаҳонӣ аст.
agentive-figure;['суннӣ'];Áҳли суннáт ва ҷамоáт
agentive-figure;['шиа', 'шиъа', 'ташайюъ'];Шиъа, шиа
agentive-figure;['шиа', 'шиъа', 'ташайюъ'];Шиа пайравон. пайравони Алӣ. яке аз мазҳабҳои ислом.
agentive-figure;['бюрои барӯйхатгирии аҳолии има'];Бюрои барӯйхатгирии аҳолии Иёлоти Муттаҳидаи Амрико
agentive-figure;['ҳиндуия', 'индуизм'];Ҳиндуия — яке аз динҳои сернуфузи миллӣ мебошад.
agentive-figure;['вазорати савдои има', 'департаменти савдои има'];Вазорати савдои ИМА, ҳамчунин Департаменти савдои ИМА
