abstract-region;['बहुपदी'];बहुपदी
functional-matter;['consomme'];निःसंदिग्धीकरण पाने
geographical-object;['अझोवचा समुद्र'];पूर्व युरोपच्या दक्षिणेकडील काळ्या समुद्राशी दुवा साधलेला समुद्र
geographical-object;['दक्षिण अमेरिका'];पृथ्वीवरील ७ प्रमुख खंडांपैकी एक खंड
geographical-object;['समुद्र'];समुदाचे मनोगत
geographical-object;['अरबी समुद्र', 'अरब सागर', 'अरबी उपसागर', 'सिंधुसागर', 'सिंधूसागर'];उत्तरी हिंदी महासागराचा एक भाग
geographical-object;['नॉर्थ प्लॅट नदी', 'उत्तर प्लॅट नदी'];प्लाट नदीची उपनदी
geographical-object;['बेरिंगची सामुद्रधुनी'];आशिया आज उत्तर अमेरिका मधील सामुद्रधुनी
geographical-object;['माँटसेराट', 'मॉन्ट्सेराट', 'montserrat', 'मॉंटसेराट', 'माँतसेरात', 'मॉँतसेरात'];मॉंटसेराट हा युनायटेड किंग्डमचा कॅरिबियनमधील प्रदेश आहे
geographical-object;['आमूर नदी', 'amur', 'अमूर नदी', 'आमुर नदी', 'हेलाँग जियांग'];रशिया आणि चीन मधील नदी
geographical-object;['सिंधु नदी', 'सिन्धु', 'सिंधू', 'सिंधू नदी'];दक्षिण आशियातील एक नदी
geographical-object;['ग्रेट ब्रिटन', 'साचा:ऑलिंपिक खेळात युनायटेड किंग्डम', 'महान ब्रिटन', 'ग्रेट ब्रिटेन', 'ब्रिटन', 'ब्रिटेन'];विकिपीडिया साचा
geographical-object;['नाईल नदी', 'नाईल', 'नाइल नदी'];अफ्रिकेतील व जगातील सर्वात लांब नदी
information-realization;['महाभारत', 'mahabharata', 'जय', 'भीष्म पर्व'];महाभारत हा धार्मिक ग्रंथ आहे
information-realization;['पुस्तक'];Saraswatichandra
information-realization;['नाटक', 'नाट्यकला'];महाराष्ट्र हा नाटयवेडा प्रदेश म्हणून ओळखला जातो. महाराष्टाला नाटकांची प्राचीन व समृद्ध परंपरा आहे.
information-realization;['लिपी'];लिहिण्याची पद्धत
information-realization;['rondó'];निःसंदिग्धीकरण पाने
information-realization;['राष्ट्रगीत'];देश किंवा सार्वभौम राज्याचे वर्णन करणारे गीत
information-realization;['देवनागरी', 'नागरी लिपी', 'देवनागरी लिपी', 'devanagari'];भारताची प्रमुख लिपी.
information-realization;['ऋग्वेद'];चार वेदांपैकी एक
information-realization;['धनादेश', 'चेक'];देय करायची एक पद्धत
information-realization;['निबंध', 'निबंध लेखन कसे करावे ?'];नाणी अस्तित्वात नसती तर
information-realization;['बुजगावणे'];शेता उभा केलेला मानवसदृश्य पुतळा
information-realization;['कर्फ्यू', 'संचारबंदी'];रस्त्यावर किंवा चौकांमध्ये सार्वजनिक ठिकाणी प्रवेश करण्यास राजकीय किंवा पोलिस बंदी
information-realization;['fire sefty'];Fire saftey
information-realization;['बायबल', 'ख्रिस्तपुराण'];ज्यू धर्म आणि ख्रिश्चन मधील पवित्र पुस्तके संग्रह
language;['मराठी', 'मराठी भाषा', 'marathi language'];भारतीय भाषा
locative-role;['क्योतो', 'क्योटो'];जपान मध्ये स्थित शहर
locative-role;['तमिळनाडू', 'támil nadu', 'तमिलनाडू', 'तमिळ नाडू', 'तमिळनाडु', 'तामिलनाडु', 'तामिळ नाडू', 'तामिळनाडु', 'तामिळनाडू', 'तामीळनाडु', 'तामीळनाडू'];भारतातील २८ राज्यांपैकी एक राज्य
locative-role;['बायझेंटाईन साम्राज्य', 'बायझंटाइन साम्राज्य', 'बायझन्टाईन', 'बायझेंटाइन साम्राज्य', 'बायझेन्टाइन साम्राज्य', 'बायझेन्टाईन', 'बायझेन्टाईन साम्राज्य'];हे भूमध्य समुद्र व नजीकच्या भूप्रदेशावर पसरलेले मध्ययुगातील ग्रीक भाषक-बहुल साम्राज्य होते.
locative-role;['मायेन', 'mayenne'];फ्रान्सचा विभाग
locative-role;['महाराष्ट्र', 'maharashtra', 'महाराष्ट्र राज्य'];भारतातील एक राज्य.
locative-role;['रोन-आल्प', 'rhône-alpes'];फ्रान्स मधील एक प्रदेश
locative-role;['गाव', 'खेडे', 'गांव'];लोकवस्ती असलेलं शहरापेक्षा छोटं ठिकाण
locative-role;['काश्\u200dमीर', 'काश्मीर', 'जम्मू आणि काश्मीर', 'कश्\u200dमीर', 'काश्मिर', 'जम्मु आणि काश्मिर', 'जम्मु आणि काश्मीर', 'जम्मू-काश्मीर', 'जम्मू आणि कश्मीर', 'जम्मू आणि काश्मिर', 'जम्मू आणि काश्\u200dमीर', 'जम्मू काश्मीर', 'जम्मू व काश्मीर'];भारतातील एक राज्य.
locative-role;['पापीती', 'papeete', 'पापीत'];फ्रेंच पॉलिनेशिया ची राजधानी
locative-role;['डेट्रॉईट', 'डीट्रॉइट', 'डेट्रॉइट', 'डेट्रोईट'];अमेरिकेच्या मिशिगन राज्यातील सर्वात मोठे शहर
non-physical-collection;['स्त्रीवाद', 'स्त्रिवाद', 'स्त्रिवादी', 'स्त्रीवादी', 'स्त्रीवाद्'];स्त्रीयांचे समान हक्कांची व्याख्या करणाऱ्या, सिध्द करणाऱ्या, मागणी करणाऱ्या अनेक चळवळीं आणि विचारप्रणालींचा समूह म्हणजे स्त्रीवाद
non-physical-collection;['अंधश्रद्धा', 'अंधश्रद्धा निर्मूलन', 'बुवाबाजी'];अंधापणाने टाकलेला विश्वास किंवा श्रद्धा
non-physical-collection;['ख्रिस्ती धर्म', 'ख्रिश्चन धर्म', 'प्रोटेस्टंट'];एकेक्षी धर्म जे पहिल्या शतकात स्थापन झाले होते ज्यात येशू हा देवाचा पुत्र आहे असे विश्वास.
non-physical-collection;['प्रोटेस्टंट पंथ', 'प्रोटेस्टंट धर्म', 'प्रोस्टेस्टंट धर्म'];प्रोटेस्टन्ट हा ख्रिश्चन धर्मातील एक पंथ आहे. याचा उदय १६ व्या शतकात झाला होता.
non-physical-place;['कन्या रास', 'कन्या'];बारा राशींपैकी सहावी रास
parameter;['क्वॉरंटीन', 'कोरांटीन'];लोक आणि वस्तूंच्या हालचालींवर निर्बंध आणण्यासाठी साथीच्या रोगाचा हस्तक्षेप, ज्याचा हेतू संसर्गजन्य रोग किंवा कीटकांचा प्रसार रोखण्यासाठी आहे.
parameter;['जलप्रदूषण', 'जल प्रदूषण', 'पाणी प्रदूषण'];प्रदूषणाची माहिती
phenomenon;['मध्यराशिमेघ', 'altocumulus'];पांढऱ्या किंवा राखाडी रंगाचे ढग
phenomenon;['ऑस्मोसिस'];अधिक केंद्रित कंपार्टमेंटकडे पाण्याची हालचाल
phenomenon;['जलविद्युत', 'जलविद्युत निर्मिती'];जलविद्युत संधर्भ
phenomenon;['दंत - क्षय', 'दंतक्षय'];दंतक्षय म्हणजे दातांचा ऱ्हास होणे किंवा दातांची झीज वा त्यांच्या मूळ आकारास बाधा पोचणे.
physical-body;['पृथ्वी'];सौर मंडळ मध्ये सूर्या पासून तिसरा ग्रह
physical-object;['गोट्या खेळ'];गोट्या हा खेऴ नामशेष होण्याच्या मार्गावर आहे
physical-object;['हार्वर्ड विद्यापीठ', 'हारवर्ड विद्यापीठ', 'हार्वर्ड युनिव्हर्सिटी'];हार्वर्ड विद्यापीठ हे अमेरिका देशाच्या मॅसेच्युसेट्स राज्यातील केंब्रिज ह्या शहरात स्थित असलेले एक खाजगी संशोधन विद्यापीठ आहे
physical-object;['ट्रॅक्टर'];जमिनीचा प्रकार
physical-object;['loni yantra'];Butter churner
physical-object;['लूव्र संग्रहालय', 'लूव्ह्र', 'लूव्र', 'लुव्र म्युझियम'];पॅरिस, फ्रान्स येथील कलाकृती संग्रहालय आणि ऐतिहासिक स्थळ
physical-object;['दूरचित्रवाणी', 'टेलिव्हिजन', 'दूरचित्रवाणी संच', 'दूरदर्शनचा शोध'];दुरदर्शन माहीती प्रकल्प
political-geographic-object;['क्योतो', 'क्योटो'];जपान मध्ये स्थित शहर
political-geographic-object;['तमिळनाडू', 'támil nadu', 'तमिलनाडू', 'तमिळ नाडू', 'तमिळनाडु', 'तामिलनाडु', 'तामिळ नाडू', 'तामिळनाडु', 'तामिळनाडू', 'तामीळनाडु', 'तामीळनाडू'];भारतातील २८ राज्यांपैकी एक राज्य
political-geographic-object;['जपान', 'निप्पॉन'];पूर्व आशियातील सविधनिक राजेशाही
political-geographic-object;['कोमोरोस', 'कोमोरोज', 'कोमारोज', 'कोमोरोस द्वीपे'];हिंदी महासागरातील आफ्रिकेच्या पूर्व किनार्‍याजवळील एक द्वीप-देश
political-geographic-object;['स्वित्झर्लंड', 'ch', 'स्वित्झरलँड', 'स्वित्झरलंड', 'स्वित्झर्लॅड'];मध्य युरोपमधील सांघिक प्रजासत्ताक
political-geographic-object;['माली', 'malí', 'मालि', 'मालीचे प्रजासत्ताक'];आफ्रिका खंडाच्या पश्चिम भागातील एक देश
political-geographic-object;['बेल्जियम', '🇧🇪'];पश्चिम यूरपातील एक देश
political-geographic-object;['अफगाणिस्तान', 'अफ़गानिस्तान', 'अफगानिस्तान'];आशिया खंडाच्या मध्यभागी असलेला एक भूपरिवेष्टित देश
political-geographic-object;['म्यानमार', 'म्यानमार [ब्रह्मदेश]', 'बर्मा', 'ब्रम्हदेश', 'ब्रह्मदेश'];आग्नेय आशियातील एक देश
political-geographic-object;['भारत', 'भरतवर्ष', 'इंडिया', 'भारताचे प्रजासत्ताक', 'भारतीय अधिराज्य', 'भारतीय गणराज्य', 'भारतीय प्रजासत्ताक'];आशिया खंडातील देश
political-geographic-object;['इंडोनेशिया', 'डच ईस्ट इंडीझ', 'डच ईस्ट इंडीज', 'डच ईस्ट ईंडीझ', 'नेदरलंड ईस्ट ईंडिझ', 'इन्डोनेशिया', 'ईंडोनेशिया'];आग्नेय आशिया व ओशनियामधील एक देश
political-geographic-object;['मेक्सिको', 'मेक्सिकन प्रजासत्ताक', '🇲🇽', 'मॅक्सिको'];उत्तर अमेरिकेच्या दक्षिण भागात सांघिक प्रजासत्ताक
political-geographic-object;['उपनगर'];निवासी किंवा मिश्रित वापर क्षेत्र, एकतर शहरी किंवा शहरी भागाचा एक भाग म्हणून अस्तित्वात आहे किंवा एक वेगळे क्षेत्र
political-geographic-object;['बिहार', 'bihâr'];भारतातील एक राज्य.
political-geographic-object;['प्रिन्स एडवर्ड आयलंड'];कॅनडातील प्रांत
political-geographic-object;['पोर्ट लुईस', 'port louis', 'पोर्ट लुई'];मॉरिशसची राजधानी
political-geographic-object;['अबुजा', 'abuja', 'आबुजा'];नायजेरिया ची राजधानी
political-geographic-object;['लिमा', 'lima'];पेरूची राजधानी
political-geographic-object;['ओक्लाहोमा सिटी', 'oklahoma city', 'ओक्लाहोमा शहर'];अमेरिका देशातील ओक्लाहोमा राज्याची राजधानी.
political-geographic-object;['इस्रायल', 'इस्त्राइल', 'इज्राएल', 'इस्त्राएल', 'इस्त्रायल', 'इस्राइल', 'इस्राईल', 'इस्राएल', 'इस्रायलचे राज्य', 'इस्रायेल', 'इस्रायेलचे राज्य', 'ईस्रायेल'];पश्चिम आशियातील भूमध्य सागराच्या किनाऱ्याला लागून आग्नेयेस वसलेला एक देश
political-geographic-object;['अटलांटा', 'atlanta'];अमेरिका देशातील जॉर्जिया राज्याची राजधानी.
political-geographic-object;['आल्बनी', 'आल्बनी, न्यू यॉर्क', 'albany', 'अल्बनी, न्यूयॉर्क', 'आल्बनी, न्यूयॉर्क'];अमेरिका देशाच्या न्यू यॉर्क राज्याची राजधानी.
political-geographic-object;['ओडिशा', 'orissâ', 'उड़ीसा', 'उडिशा', 'ओडिसा', 'ओडीशा', 'ओडीसा', 'ओरिसा', 'ओरिस्सा', 'ओरीसा'];भारतातील एक राज्य.
political-geographic-object;['आसाम', 'assam', 'असम'];भारतातील एक राज्य.
political-geographic-object;['मानाग्वा', 'managua', 'मनाग्वा'];निवराग्वाची राजधानी
political-geographic-object;['मनिला', 'manila'];फिलिपाईन्स देशाची राजधानी
political-geographic-object;['पोर्ट ऑफ स्पेन', 'port of spain'];त्रिनिदाद आणि टोबॅगोची राजधानी शहर
political-geographic-object;['सॉल्ट लेक सिटी', 'salt lake city', 'सॉल्ट लेक शहर'];अमेरिकेच्या युटा राज्याची राजधानी
political-geographic-object;['पापीती', 'papeete', 'पापीत'];फ्रेंच पॉलिनेशिया ची राजधानी
political-geographic-object;['किन्शासा', 'किंशासा'];आफ्रिकेतील काँगोचे लोकशाही प्रजासत्ताक ह्या देशाची राजधानी
political-geographic-object;['डेट्रॉईट', 'डीट्रॉइट', 'डेट्रॉइट', 'डेट्रोईट'];अमेरिकेच्या मिशिगन राज्यातील सर्वात मोठे शहर
political-geographic-object;['ब्राझिल', 'ब्राझील', 'ब्रजिल'];दक्षिण अमेरिका खंडातील सर्वांत मोठा देश
political-geographic-object;['फीनिक्स', 'phoenix', 'फिनिक्स, अॅरिझोना', 'फिनिक्स, ऍरिझोना', 'फीनिक्स, अॅरिझोना'];अमेरिका देशातील अ‍ॅरिझोना राज्याचे राजधानीचे व सर्वात मोठे शहर
practice;['आचारसंहिता'];एखाद्या व्यक्ती, पक्ष किंवा संस्थेसाठी योग्य पद्धतींच्या जबाबदार्या दर्शविणारे नियमांचा संच
qualitative-role;['जीवाश्म'];जिवांचे जमिनीच्या आत गाडले गेलेले अंश
quality;['चाल', 'द्रुतता'];speed is of vector quantity i. e. in marathi चाल and velocity is of vector quantity i. e. वेग
quality;['अध्यात्म'];तात्विक आणि ब्रम्हज्ञानविषयक शब्द
quality;['ख्रिस्ती धर्म', 'ख्रिश्चन धर्म', 'प्रोटेस्टंट'];एकेक्षी धर्म जे पहिल्या शतकात स्थापन झाले होते ज्यात येशू हा देवाचा पुत्र आहे असे विश्वास.
quality;['प्रोटेस्टंट पंथ', 'प्रोटेस्टंट धर्म', 'प्रोस्टेस्टंट धर्म'];प्रोटेस्टन्ट हा ख्रिश्चन धर्मातील एक पंथ आहे. याचा उदय १६ व्या शतकात झाला होता.
region;['भारतीय रुपया', 'भारतीय नाणी', 'भारतीय रुपये', 'रुपया', 'जुनी नाणी', 'पैसे', 'भारतीय चलनी नोटा', 'भारतीय नोटा', 'रुपये'];Nani
region;['त्रिनिदाद व टोबॅगो डॉलर'];त्रिनिदाद व टोबॅगो चे चलन
simple-collection;['चषक'];तारकासमूह
simple-planned-collective;['मानवी वसाहती'];जागा ज्या कोणत्याही आकाराचे लोक राहतात
simple-planned-collective;['अमेरिकन काँग्रेस', 'अमेरिकन कॉँग्रेस', 'अमेरिकन कॉंग्रेस', 'अमेरिकेची काँग्रेस', 'अमेरिकेन कॉँग्रेस'];अमेरिकेची संसद
situation;['गिर्यारोहण', 'hiking', 'ट्रेकिंग'];Hiking
situation;['पोलियो', 'पोलिओ'];एक संसर्गजन्य रोग
situation;['स्ट्रेप्टोकोकल फॅरिन्जायटिस'];मानवी आजार
situation;['परतणे', 'तळणे', 'खोल तळणे'];अन्न शिजवण्याची पद्धत
situation;['जलप्रदूषण', 'जल प्रदूषण', 'पाणी प्रदूषण'];प्रदूषणाची माहिती
socially-constructed-person;['dante gabriel rossetti'];निःसंदिग्धीकरण पृष्ठ
socially-constructed-person;['महात्मा गांधी', 'गांधीजी', 'मोहनदास करमचंद गांधी', 'गांधी', 'बापू', 'बापूजी', 'भारताचे राष्ट्रपिता', 'राष्ट्रपिता महात्मा गांधी', 'गांधी, महात्मा मोहनदास करमचंद', 'म. गांधी', 'महात्मा मोहनदास करमचंद गांधी', 'मो.क. गांधी'];भारतीय स्वातंत्र्यलढयातील अग्रणी नेते
socially-constructed-person;['जवाहरलाल नेहरू', 'पंडित नेहरू', 'जवाहरलाल नेहरु', 'जवाहरलाल नेहेरु', 'नेहरू, पंडित जवाहरलाल', 'पं. जवाहरलाल नेहरू', 'पंडित जवाहरलाल नेहरु', 'पंडित जवाहरलाल नेहरू'];भारताचे पहिले पंतप्रधान
socially-constructed-person;['एशिलस'];प्राचीन अथेन्स मधील नाटककार
socially-constructed-person;['सेरेस', 'cérès'];कृषीविद्येची रोमन देवी
socially-constructed-person;['पाब्लो पिकासो', 'पाबलो पिकासो', 'पिकासो'];हा युरोप खंडातील स्पेन देशातील प्रख्यात चित्रकार आणि शिल्पकार होता.
socially-constructed-person;['थॉमस जेफरसन', 'thomas jefferson'];अमेरिकेचे तिसरे राष्ट्राध्यक्ष
socially-constructed-person;['कायदेपंडित', 'वकील', 'कायदेतज्ज्ञ', 'विधिज्ञ', 'विधिशास्त्रज्ञ'];कायद्याचा विद्वान
socially-constructed-person;['अस्तेक', 'अझ्टेक', 'अँझ्टेक', 'अॅझटेक', 'अ\u200dॅझटेक', 'अ\u200dॅझ्टेक', 'अ\u200dॅझ्टेक समाज', 'ऍझटेक', 'ऍझ्टेक'];अस्तेक लोक हे मेक्सिकोमधील ठरावीक वांशिक लोकांचा गट असून ते नाहुआत्ल भाषा बोलतात.
socially-constructed-person;['मंत्री', 'सरकारी मंत्री'];शासकीय विभागाचा किंवा मंत्रालयाचा प्रमुख
socially-constructed-person;['येशू ख्रिस्त', 'ख्रिस्त', 'येशू', 'जिजस', 'जीझस', 'जीझस ऑफ नॅझरेथ', 'जीझस क्राइस्ट', 'येशु ख्रिस्त'];ख्रिस्ती धर्माचे संस्थापक
socially-constructed-person;['न्यायाधीश'];कोर्टाच्या कार्यवाहीची अध्यक्षता करणारे अधिकारी
socially-constructed-person;['क्रांतिकारक', 'क्रांतिकारी', 'क्रांतीकारक', 'क्रांतीकारी'];स्वातंत्र्यलढ्यातील सहभागी व्यक्ती
socially-constructed-person;['अभिनेता', 'नट', 'अभिनेत्री', 'नटी', 'चित्रपट अभिनेता'];नाटक, चित्रपट, दूरचित्रवाणी, रेडियो, इ. मध्ये अभिनय करणारी व्यक्ती
socially-constructed-person;['आरिस्तोफनेस'];प्राचीन अथेन्स मधील नाटककार
socially-constructed-person;['थॉमस रॉबर्ट माल्थस'];थॉमस रॉबर्ट माल्थस हा इतिहास आणि राजकीय अर्थशास्त्राचा ब्रिटिश अभ्यासक होता
socially-constructed-person;['परशुराम', 'parashurama', 'परशुराम अवतार', 'परशूराम', 'भार्गवराम'];एक चिरंजीव परशुराम
socially-constructed-person;['राम', 'rama', 'राम अवतार', 'श्रीरामचंद्र', 'श्रीराम'];विष्णूचा एक अवतार/ हिंदू देवता
socially-constructed-person;['इंद्र', 'इन्द्र', 'indra', 'देवेंद्र', 'वज्रपाणि'];वैदिक पराक्रमी हिंदू दिवता
socially-constructed-person;['जॉन मेनार्ड केन्स', 'जॉन केन्स', 'जॉन मेनार्ड कीन्स'];अर्थशास्त्रज्ञ , अर्थशास्त्राचे लेखक
socially-constructed-person;['गौतम बुद्ध', 'बुद्ध', 'महाभिनिष्क्रमण'];बौद्ध धम्म संस्थापक
socially-constructed-person;['गणपती', 'गजानन', 'गणेश', 'मयुरेश्वर', 'मयूरेश्वर'];प्रसिद्ध हिंदू देवता
socially-constructed-person;['सरस्वती', 'sarasvati', 'शारदा', 'श्री सरस्वती माता', 'सरस्वती देवी'];ज्ञान, संगीत, कला, विद्या आणि शिक्षणाची हिंदू देवी आहे . ती या त्रिदेवीपैकी(सरस्वती लक्ष्मी आणि पार्वती) एक आहे
socially-constructed-person;['अल्बर्ट आइनस्टाइन', 'आइनस्टाइन', 'अल्बर्ट आइन्स्टाइन', 'अल्बर्ट आइन्स्टाईन', 'अल्बर्ट आईनस्टाईन', 'अल्बर्ट आईन्स्टाईन', 'अॅल्बर्ट आइन्स्टाइन', 'अ\u200dॅल्बर्ट आइन्स्टाइन', 'आइन्स्टाइन', 'आल्बर्ट आइनस्टाइन', 'आल्बर्ट आइनस्टाईन', 'आल्बर्ट आइन्स्टाइन', 'आल्बर्ट आइन्स्टाईन', 'आल्बर्ट आईनस्टाईन'];भौतिकशास्त्रातील नोबेल पारितोषिकविजेता शास्त्रज्ञ.
socially-constructed-person;['यष्टिरक्षक', 'यष्टीरक्षक'];क्रिकेट खेळातील एक संरक्षक करनारा खेळाडू
socially-constructed-person;['कल्की अवतार', 'kalkî', 'कल्की'];भगवान विष्णु यांचा शेवटचा अवतार
socially-constructed-person;['शक्ति', 'पुराण'];निःसंदिग्धीकरण पाने
socially-constructed-person;['राज्यपाल'];एखाद्या देशाच्या विभागाचा (राज्य, प्रांत, इत्यादी) विभागप्रमुख
socially-constructed-person;['मारिया', 'मारिया, येशूची आई'];ही येशू ख्रिस्ताची आई होती
socially-constructed-person;['थीआ', 'theia', 'ऑर्फिअस'];प्रतीकाल्पनिक ग्रह ज्याचा पृथ्वीसोबत आघात होऊन चंद्राचा निर्माण झाला
space-region;['अक्षवृत्त', 'अक्षवॄत्त'];भौगोलिक कल्पनारेषा
