abstract-region;['операнд', 'operand'];Операнд — ик вашталтылше але тутыш, тудын шотышто оператор ыштыкым шукта.
agentive-physical-object;['компьютер', 'компучыр', 'шотлышо'];Компьютер (лат.
agentive-physical-object;['пий', 'canis lupus familiaris'];Пий
agentive-physical-object;['пеледыш'];Пеледыш (лат.
agentive-physical-object;['калькулятор'];Тачысе калькулятор — куштылго арифметическе операций-влакым шотлашлан электронне изи шотпал, шулдо устройстве.
agentive-physical-object;['пушеҥге', 'дерево'];Пушеҥге — кушкыл, кудыжын вожге, пушеҥгын тӱҥжӧ да лышташан укшерже уло.
agentive-physical-object;['американ нерге', 'taxidea taxus'];Американ нерге
agentive-physical-object;['нерге', 'meles meles'];Нерге
agentive-physical-object;['американ умдыр', 'castor canadensis'];Американ умдыр
agentive-physical-object;['импала', 'aepyceros melampus'];Импала
agentive-physical-object;['мангуст-влак', 'herpestidae'];Мангуст-влак (лат.
agentive-physical-object;['луй', 'martes'];Луй
agentive-physical-object;['коб', 'kobus kob'];Коб
agentive-physical-object;['куэ', 'betula'];Куэ
agentive-physical-object;['кож', 'picea'];Кож
agentive-physical-object;['айдеме', 'homo sapiens'];Айдеме (лат.
agentive-physical-object;['лыстанпӱнчӧ', 'larix'];Лыстанпӱнчӧ (рушла лиственница, лат.
agentive-physical-object;['уа', 'salix'];Уа
agentive-physical-object;['арелдий', 'areldia'];Арелдий
agentive-physical-object;['ваштар', 'acer'];Ваштар (лат.
agentive-physical-object;['бизон', 'bison'];Бизон (лат.
agentive-physical-object;['георгина', 'dahlia'];Георгина (лат.
agentive-physical-object;['орхис', 'aceras'];Орхис (лат.
agentive-physical-object;['нулго', 'abies'];Нулго (лат.
agentive-physical-object;['блетий', 'bletia', 'блетия'];Блетий (лат.
agentive-physical-object;['каладений', 'caladenia'];Каладений (лат.
agentive-physical-object;['цимбидиум', 'cymbidium'];Цимбидиум (лат.
agentive-physical-object;['цинний', 'zinnia'];Цинний
agentive-physical-object;['каланте', 'calanthe'];Каланте (лат.
agentive-physical-object;['альстрёмерий', 'alstremeria', 'alstroemeria', 'альстрӧмерий'];Альстрёмерий
agentive-physical-object;['брассавола', 'brassavola'];Брассавола (лат.
agentive-physical-object;['эридес', 'aerides'];Эридес (лат.
agentive-physical-object;['каттлей', 'cattleya'];Каттлей (лат.
agentive-physical-object;['онцидиум', 'baptistonia', 'oncidium'];Онцидиум (лат.
agentive-physical-object;['шӧр пукшышо', 'mammalia'];Шӧр пукшышо (лат.
agentive-physical-object;['шуршо'];Шуршо — шулдыран шукш-копшаҥге тӱшка гыч, шокшо вӱран янлыкын да вольыкын вӱрйӱшыжӧ.
agentive-physical-object;['коата', 'ateles'];Коата (лат.
agentive-physical-object;['мандрил', 'mandrillus sphinx'];Мандрил (лат.
agentive-physical-object;['ӱжӱвӱр', 'oriolus oriolus'];Ӱжӱвӱр (лат.
agentive-physical-object;['вомбат', 'vombatidae'];Вомбат (лат.
agentive-physical-object;['мӱкшпеледыш', 'melissa officinalis'];Мӱкшпеледыш
agentive-physical-object;['пӱчӧ', 'cervus elaphus'];Пӱчӧ (лат.
agentive-physical-object;['гарна', 'antilope cervicapra'];Гарна (лат.
agentive-physical-object;['ур'];Ур але икмарда ур
agentive-physical-object;['псевдоорикс', 'pseudoryx nghetinhensis'];Псевдоорикс
agentive-physical-object;['тӱе', 'camelus'];Тӱе (лат.
agentive-physical-object;['канна', 'taurotragus oryx'];Канна
agentive-physical-object;['лудо рывыж', 'urocyon cinereoargenteus'];Лудо рывыж
agentive-physical-object;['поланвондер'];Поланвондер — нугыдын кушкын шогышо поланвондо-влак.
agentive-physical-object;['пӱчӧ-влак', 'cervidae'];Пӱчӧ-влак (лат.
agentive-physical-object;['альпака', 'vicugna pacos'];Альпака
agentive-physical-object;['ош ваштар', 'acer pseudoplatanus'];Ош ваштар
agentive-physical-object;['пырыс', 'felis silvestris catus', 'felis catus'];Пырыс але Пӧртысӧ пырыс (лат.
agentive-physical-object;['йошкар пире', 'cuon alpinus'];Йошкар пире (лат.
agentive-physical-object;['ши'];Ши (лат.
agentive-physical-object;['тото', 'tinca tinca'];Тото
agentive-physical-object;['гну', 'connochaetes'];Гну (лат.
agentive-physical-object;['орикс', 'oryx'];Орикс (лат.
agentive-physical-object;['конгони', 'alcelaphus buselaphus'];Конгони
agentive-physical-object;['пума', 'puma concolor'];Пума
agentive-physical-object;['аддакс', 'addax nasomaculatus'];Аддакс
agentive-physical-object;['шем антилопа', 'hippotragus niger'];Шем антилопа
agentive-physical-object;['сиаманг', 'symphalangus syndactylus'];Сиаманг
agentive-physical-object;['кугу панда', 'ailuropoda melanoleuca'];Кугу панда (лат.
agentive-physical-object;['ирбис', 'uncia', 'uncia uncia'];Ирбис
agentive-physical-object;['кӱрен маска', 'ursus arctos'];Кӱрен маска (лат.
agentive-physical-object;['бонго', 'tragelaphus eurycerus'];Бонго
agentive-physical-object;['арыслан', 'panthera leo'];Арыслан (лат.
agentive-physical-object;['арктика мераҥ', 'lepus arcticus'];Арктика мераҥ
agentive-physical-object;['такин', 'budorcas taxicolor'];Такин (лат.
agentive-physical-object;['нильгау', 'boselaphus tragocamelus'];Нильгау (лат.
agentive-physical-object;['американ ош мераҥ', 'lepus americanus'];Американ ош мераҥ (лат.
agentive-physical-object;['орангутан', 'pongo'];Орангутан (лат.
agentive-physical-object;['шордо', 'alces alces'];Шордо (лат.
agentive-physical-object;['умдыр', 'castor', 'castor fiber'];Умдыр
agentive-physical-object;['лопшаҥге', 'vespa crabro', 'vespa'];Лопшаҥге
agentive-physical-object;['пормо', 'tabanidae'];Пормо
agentive-physical-object;['павиан', 'papio'];Павиан
agentive-physical-object;['горилла', 'gorilla'];Горилла
agentive-physical-object;['ош почан мераҥ', 'lepus townsendii'];Ош почан мераҥ
agentive-physical-object;['япон ваштар', 'acer japonicum'];Япон ваштар (лат.
agentive-physical-object;['ягуарунди', 'puma yagouaroundi'];Ягуарунди
agentive-physical-object;['гепард', 'acinonyx jubatus'];Гепард (лат.
agentive-physical-object;['тайра', 'eira barbara'];Тайра (лат.
agentive-physical-object;['калтан янлык-влак', 'marsupialia', 'metatheria', 'калтан янлык', 'сумкан янлык', 'сумкан янлык-влак'];Калтан янлык-влак але Сумкан янлык-влак (лат.
agentive-physical-object;['лумшо', 'martes zibellina'];Лумшо
agentive-physical-object;['маска', 'ursidae'];Маска (лат.
agentive-physical-object;['тумо', 'quercus robur'];Тумo
agentive-physical-object;['онцилла', 'leopardus tigrinus'];Онцилла
agentive-physical-object;['ангулоа', 'anguloa'];Ангулоа (лат.
agentive-physical-object;['тулшукш', 'lampyridae'];Тулшукш
agentive-physical-object;['мирикина', 'aotus trivirgatus'];Мирикина
agentive-physical-object;['оцелот', 'leopardus pardalis'];Оцелот (лат.
agentive-physical-object;['нӧлпӧ', 'alnus'];Нӧлпӧ (лат.
agentive-physical-object;['каракал', 'caracal caracal', 'caracal'];Каракал
agentive-physical-object;['канада шурмаҥше', 'канадысе шурмаҥше', 'lynx canadensis'];Канадысе шурмаҥше
agentive-physical-object;['шопке', 'populus tremula'];Шопке
agentive-physical-object;['ош лыве', 'pieris brassicae'];Ош лыве (Ковышта лыве. лат.
agentive-physical-object;['икпӱгыран тӱе', 'camelus dromedarius', 'дромадер', 'дромедар'];Икпӱгыран тӱе але Дромедар / Дромадер (лат.
agentive-physical-object;['кома', 'вӱдкома', 'lutra lutra'];Кома (Вӱдкома, Вӱдколя) (рушла Выдра) (лат.
agentive-physical-object;['шылтымнӧшман кушкыл', 'magnoliopsida', 'покрытосеменной кушкыл', 'цветковый кушкыл'];Шылтымнӧшма́н ку́шкыл (лат.
agentive-physical-object;['чаранӧшман кушкыл', 'голосеменной кушкыл'];Чаранӧшман кушкыл -
agentive-physical-object;['эҥыремыш'];Эҥыремыш — капше оҥ-вуй да мӱшкыр гыч шогышо, эҥыремыш тӱшкаш пурышо шыҥа-копшаҥге.
agentive-physical-object;['калтан пире', 'thylacinus cynocephalus', 'сумкан пире'];Калтан пире (лат.
agentive-physical-object;['калипсо', 'calypso'];Калипсо
agentive-physical-object;['изи панда', 'ailurus fulgens'];Изи панда (лат.
agentive-physical-object;['ошымшӱлыш', 'bombus'];Ошымшӱлыш
agentive-physical-object;['теледу', 'arctonyx collaris'];Теледу
agentive-physical-object;['макак', 'macaca'];Макак
agentive-physical-object;['шурмаҥше', 'lynx', 'lynx lynx'];Шурмаҥше
agentive-physical-object;['нур ваштар', 'acer campestre'];Нур ваштар (лат.
agentive-physical-object;['окапи', 'okapia johnstoni'];Окапи
agentive-physical-object;['дрил', 'mandrillus leucophaeus'];Дрил (лат.
agentive-physical-object;['геренук', 'litocranius walleri'];Геренук (лат.
agentive-physical-object;['сервал', 'leptailurus serval', 'leptailurus'];Сервал (лат.
agentive-physical-object;['коала', 'phascolarctos cinereus', 'сумкан маска'];Коала але Калтан маска
agentive-physical-object;['шыҥа-копшаҥге', 'insecta'];Шыҥа-копшаҥге — икгайрак улыт гынат, южышт кугун ойыртемалтыт. кум мужыр йыжыҥйолан-влакым ушышо янлык тӱнян эн кугу тӱшкаже.
agentive-physical-object;['саки', 'pithecia'];Саки
agentive-physical-object;['тамарау', 'bubalus mindorensis'];Тамарау (лат.
agentive-physical-object;['аноа', 'anoa', 'bubalus depressicornis'];Аноа (лат.
agentive-physical-object;['бонобо', 'pan paniscus'];Бонобо але изи шимпанзе
agentive-physical-object;['ломбо', 'prunus avium', 'prunus padus'];Ломбо
agentive-physical-object;['горал', 'naemorhedus goral'];Горал
agentive-physical-object;['саймири', 'ур маймыл', 'saimiri', 'saimiri sciureus'];Ур маймыл
agentive-physical-object;['саймири', 'ур маймыл', 'saimiri', 'saimiri sciureus'];Саймири
agentive-physical-object;['йошкар шурмаҥше', 'lynx rufus'];Йошкар шурмаҥше
agentive-physical-object;['тамарин', 'saguinus'];Тамарин
agentive-physical-object;['маргай', 'leopardus wiedii'];Маргай (лат.
agentive-physical-object;['викунья', 'vicugna vicugna'];Викунья
agentive-physical-object;['койот', 'canis latrans'];Койот
agentive-physical-object;['кутко', 'formicidae'];Кутко (лат.
agentive-physical-object;['пачемыш', 'apocrita'];Пачемыш
agentive-physical-object;['имне', 'equus caballus', 'equus ferus caballus'];Имне
agentive-physical-object;['ньяла', 'tragelaphus angasii'];Ньяла
agentive-physical-object;['тыҥга'];Тыҥга — шыҥа-копшаҥге, кокшулдыран тӱшка, кугурак-влакше шуко огыт иле.
agentive-physical-object;['мераҥ', 'lepus'];Мераҥ
agentive-physical-object;['личи', 'kobus leche'];Личи (лат.
agentive-physical-object;['калифорний мераҥ', 'lepus californicus'];Тундра мераҥ
agentive-physical-object;['тулрывыж', 'vulpes vulpes'];Тулрывыж
agentive-physical-object;['йос', 'mustela erminea'];Йос (рушла горностай, лат.
agentive-physical-object;['аив', 'вич'];АИВ --- АИВ-инфекций черым шочыктарыше вирус, тудын пытартыш стадийже НИДС --- Налме иммунитет дефицит синдром
agentive-physical-object;['кокпӱгыран тӱе', 'camelus bactrianus', 'бактриан'];Кокпӱгыран тӱе але Бактриан
agentive-physical-object;['шыҥа', 'culicidae'];Шыҥа
agentive-physical-object;['карме', 'musca', 'орашыҥа', 'diptera'];Карме
agentive-physical-object;['когарш', 'tinea'];Когарш
agentive-physical-object;['кайык', 'aves'];Кайык-влак — тупрӱдан, муным мунчышо-влак радамыш пурышо янлык-влак.
agentive-physical-object;['ош маска', 'ursus maritimus'];Ош маска
agentive-physical-object;['шоптырвондер'];Шоптырвондер — нугыдын кушкын шогышо шоптырвондо-влак.
agentive-physical-object;['гуанако', 'lama guanicoe'];Гуанако
agentive-physical-object;['лама', 'lama glama'];Лама
agentive-physical-object;['гаур', 'bos gaurus'];Гаур (лат.
agentive-physical-object;['бантеҥ', 'bos javanicus'];Бантеҥ (лат.
agentive-physical-object;['динго', 'canis lupus dingo'];Динго
agentive-physical-object;['рожамак', 'gulo gulo'];Рожамак
amount-of-matter;['майдар', 'илевӱд', 'ртуть', 'тыргемыж', 'тыркӱмыш'];Майда́р — Д. И. Менделеевын химий тӱҥлык-влакын периодик радамлыкшын кудымшо периодын, кокымшо тӱшкажын ӧрдыж ӱлылтӱшкажын 80 атом номеран тӱҥлыкше.
amount-of-matter;['шопештыш', 'o', 'кислород', 'шопужаш'];Шопе́штыш -- Д. И. Менделеевын химий тӱҥлык-влакын периодик радамлыкшын кокымшо периодын, кудымшо тӱшкажын рӱдӧ ӱлылтӱшкажын 8 атом номеран тӱҥлыкшӧ.
amount-of-matter;['вӱдеж', 'h', 'водород'];Вӱде́ж -- Д. И. Менделеевын химий тӱҥлык-влакын периодик радамлыкшын икымше химий тӱҥлыкшӧ.
amount-of-matter;['шӧртньӧ'];Шӧртньӧ — Д. И. Менделеевын химий тӱҥлык-влакын периодик радамлыкшын кудымшо периодын, латикымше тӱшкажын ӧрдыж ӱлылтӱшкажын 79 атом номеран тӱҥлыкшӧ.
amount-of-matter;['шӱйдӱҥ', 'c', 'углерод', 'шӱйтык'];Шӱйдӱ́ҥ — Д. И. Менделеевын химий тӱҥлык-влакын периодик радамлыкшын кокымшо периодын, нылымше тӱшкажын рӱдӧ ӱлылтӱшкажын 6 атом номеран тӱҥлыкшӧ.
amount-of-matter;['той'];Той — вӱргене цинк але ошвулно дене сплав.
amount-of-matter;['чойн'];Чойн — кӱртньӧ шӱйдӱҥ дене сплав.
amount-of-matter;['суаппез-влак', 'инертный газ'];Суаппе‘з-влак — суапле пез-влак, VIII тӱшкан рӱдӧ ӱлылтӱшкажын тичмашнек темше s- да p- шӱман химий тӱҥлык-влак.
amount-of-matter;['химий тӱҥлык', 'химик тӱҥлык', 'химический элемент'];Хи‘мий тӱ‘ҥлык — Д. И. Менделеевын четлыкыште икоян томын тулэҥер татылже дене, протонын мынярлык дене атом шукылык.
amount-of-matter;['куп'];Куп — кушкыл-влак дене ойыртемалше мланде ӱмбалын чот вӱдыжгӧ ужашыже.
biological-object;['нейрон'];Нейрон - нерве куэмын четлык.
biological-object;['илтарман', 'орган'];Илтарма́н — илыше организмыште палемдыме пашам ыштыше посна ойырен налме тӱрлӧ илпарчак да куэм.
biological-object;['ту', 'железа'];Ту́ — организмыште кӱлешан эменым ыштыше илтарман.
biological-object;['олма'];Олма — кӱжгӱ, тӱжвал чока шӱман да шӱм дене леведалтше нӧшмӧ рӱдан олмапу пушеҥгын саскаже.
biological-object;['мокш'];Мокш — айдемын але янлыкын илтарманже.
biological-object;['чуго'];Чуго — шогышо пса, тугак аватмут семын кучалтеш.
biological-object;['пеледыш'];Пеледыш (лат.
biological-object;['лу'];Лу — капын ужашыже, икмыняр тӱҥ ткань-влак гыч шога, тӱҥ шотышто костный ткань гыч.
biological-object;['вуйдорык', 'вуйторык'];Вуйдо́рык рушла головной мозг, лат.
biological-object;['пундыш'];Пундыш — пушеҥге руалыме деч вара кодшо тӱҥ ужашыже вож дене пырля.
biological-object;['илпарчак', 'йылпырчак', 'клетка'];Илпарчак — керек-могай илышын тӱҥлык пырчыже.
biological-object;['вуйгорка', 'вуйгоҥгыра'];Вуйгорка (вуйгоҥгыра. лат.
biological-object;['шӱм'];Шӱм — айдемын але янлыкын илтарманже.
biological-object;['тӱҥ'];Тӱҥ — кушкылын пушеҥге вондо.
biological-object;['вож', 'вожге'];Вож — кушкылын вегетатив илтарман, мланде йымалне улеш.
classification-system;['html', 'hypertext markup language', 'html-йылме', 'гипертекстын тиштыйылмыже'];HTML — вотдокументын тӱҥалтыш текстшым гипертекстлын тамгалымаш, вотбраузерлан текст гыч дизайн чоҥымым йӧнештарыше посна тиштан йылме.
classification-system;['файлсистеме', 'файл системе'];Файлсистеме — дискыш файл-влакым возышо да лудшо операционло системын ужашыже. файлсистеме файлын логик да физик структуржым, идентификацийжым да пелен кайыше ыҥпалжым палемда.
classification-system;['григориан кечышот'];Григориа́н кечышо́тым католик йӱла почеш илыше эл-влакыште папа Григорий XIII 4 Шыжан 1582 ийыште, тошто юлиан кечышот олмеш пуртен.
course;['алгоритм'];Алгоритм — сомылым шукташлан палемдыме ыштык але ошкыл-влакын почелалыкышт.
course;['ойыркалымаш'];Ойыркалымаш — пуымо объект-влакым иктаж-могай палемдыме радам дене пужен тӱшкалымаш.
dependent-place;['отар'];Отар — вольыкым лукмо але коштыктымо вер.
dependent-place;['курыкпомыш'];Курыкпомыш — курык кӧргысӧ вынем, яра вер.
dependent-place;['вияш лук'];Вияш лук —
dependent-place;['атом том'];Атом том — атомын рӱдӧ ужашыже.
dependent-place;['лук'];Лук — ик точко гыч шогышо да тиде точко гыч лекше кок лучан геометрий фигур.
ecological-collective;['кушкыл'];Кушкыл (лат.
event;['олимпий модмаш', 'олимпиаде', 'олимпий', 'олимпий модмаш-влак', 'олимпий модыш-влак'];Олимпий модмаш-влак - калык-влак кокласе эн кугу комплексный спорт таҥасымаш.
functional-matter;['изумруд'];Изумруд — шергакан вошткойшо кӱ.
functional-matter;['шоктешӱдыр'];Шоктешӱдыр — шӱдыр оралалтмаш Презе тӱшка шӱдырыштӧ.
functional-matter;['мӱй'];Мӱй - мӱкшын тыршымыж дене ышталтше шере кочкыш йорвар.
functional-matter;['пырче'];Пырче — тыгыде саска, пырдыжше нӧшмӧ чора дене ушнен кушкеш.
functional-matter;['мӧртньӧ'];Мӧртньӧ — колын да ужаван муныжо.
functional-matter;['олма'];Олма — кӱжгӱ, тӱжвал чока шӱман да шӱм дене леведалтше нӧшмӧ рӱдан олмапу пушеҥгын саскаже.
genetic-collective;['еш'];Еш — пырля илыше шке тукым еҥ-влак.
geographical-object;['ер'];Ер — лӱмын ыштыме але пӱртӱсын ыштыме теҥыз дене ок ушныше вӱдан кугу лаке.
geographical-object;['кечывалвел америка', 'кечывалвел америке'];Кечывалвел Америке — континент.
geographical-object;['теҥыз', 'тӱнямбал тептеҥыз', 'море', 'тӱнямбал таптеҥыз', 'тӱнямбал теҥыз'];Теҥыз — шинчалан кугу вӱд кап, тӱнямбал тептеҥызын ужашыже, йырже мланде але вӱдйымал курык.
geographical-object;['теҥыз', 'тӱнямбал тептеҥыз', 'море', 'тӱнямбал таптеҥыз', 'тӱнямбал теҥыз'];Тӱнямбал тептеҥыз — гидросферын тӱҥ ужашыже, Мландын вӱд ужашыже, материк да отро-влакым авыра.
geographical-object;['дон', 'don'];Дон эҥер (акрет грекла Гиргис, Танаис, Тан акрет грекла Кышкар:Lang-grc2, лат.
geographical-object;['тайвань', 'тайван'];Тайвань — эл Азийыште.
geographical-object;['отро', 'остров'];Отро — мланде лапчык, йырже - вӱд.
geographical-object;['тептеҥыз', 'таптеҥыз', 'топтеҥыз'];Тептеҥыз — тӱҥ шинчалан вӱд ужаш.
geographical-object;['океаний'];Океаний — континент.
geographical-object;['каспий теҥыз'];42, 51
geographical-object;['рейн'];Рейн — Европысо эҥер, Швейцарийысе Граубюнден кантонышто, кечывалвел-эрвел Швейцарийысе Альпыште тӱҥалеш, Немыч Эл мучко йога, Йӱдвел теҥызыште, Нидерландыште пыта.
geographical-object;['миссисипи'];Миссисипи — Йӱдвел Америкыште эн кугу эҥер радамын тӱҥ эҥерже.
geographical-object;['хуанхэ', 'нарынче эҥер'];Хуанхэ але Нарынче эҥер — Азийыште кокымшо эн кужу да тӱняште кудымшо эн кужу эҥер, аклыме кужытшо 5464 км.
geographical-object;['амазонко'];Амазонко эҥер — эн кугу эҥер Кечывалвел Америкыште.
geographical-object;['вӱдушык'];Вӱдушык — теҥыз ден теҥыз, отро ден материк кокласе да монь аҥысыр вӱд.
geographical-object;['енисей'];Енисей эҥер — эҥер Сивырыште.
geographical-object;['обь', 'ob'];Обь эҥер — эҥер Касвел Сивырыште.
geographical-object;['юл'];Юл эҥер — Европышто эн кужу эҥер.
geographical-object;['колышо теҥыз'];31.490833, 35.479722
geographical-object;['шем теҥыз'];43.296944, 34.029444
geographical-object;['вӱдшуҥгалтыш'];Вӱдшуҥгалтыш — шуҥгалт йогышо вӱд.
geographical-object;['сернер'];Сернер — аҥысыр кужу сер кагырем.
geographical-object;['кечывалвел китай теҥыз'];12.188333, 113.226389 Кечывалвел Китай теҥыз (рушла Южно-Китайское море, малайла Laut China Selatan, вьетнамла Biển Đông, китайла 南海, тагалогла Dagat Luzon, индон.
geographical-object;['крым', 'крым пелотро'];Крым пелотро, але Крым — кечывалвел Украиныште пелотро.
geographical-object;['нигер', 'niger'];Нигер эҥер — Касвел Африкыште эн кӱлешае эҥер.
geographical-object;['эгей теҥыз', 'эгейское море'];Эге́й теҥыз, — Мландепокшел теҥыз кӧргыштӧ верланыше пелепетырналтше теҥыз.
geographical-object;['йӱдвел теҥыз'];Йӱдвел теҥыз — Атлантик тептеҥызын тӱр теҥызше, Кугу Британий, Скандинавий, Немыч Эл, Нидерланде, Бельгий да Франций коклаште верланен.
geographical-object;['япон теҥыз', 'япо́н теҥыз'];39.581944, 134.569722Япо́н теҥыз (японла 日本海 нихонкай, кор.
geographical-object;['коралл теҥыз', 'коралловое море'];-16.934167, 155.11
geographical-object;['у гвиней теҥыз', 'бисмарк теҥыз', 'море бисмарка', 'новогвинейское море'];-3.886111, 148.710833
geographical-object;['амур', 'amur'];Амур эҥер — кугу эҥер Мӱндыр Эрвелыште.
geographical-object;['антарктиде', 'антарктида'];Антарктиде - континент.
geographical-object;['пролык'];Пролык — кукшо климатысе шудан тӧрвер.
geographical-object;['тӧрвер'];Тӧрвер — мландын изи кӱкшака да лакыла улман верже.
geographical-object;['йӱдвел тептеҥыз', 'иян йӱдвел таптеҥыз', 'йӱдвел ийшогышо таптеҥыз', 'йӱдвел таптеҥыз'];90, 0.000278 Йӱдвел тептеҥыз — Мланде валне эн изи тептеҥыз, Евразий ден Йӱдвел Америка коклаште верланен.
geographical-object;['америка', 'америке'];Америке — континент.
geographical-object;['беринг теҥыз', 'берингово море'];60.042778, -178.8575 Бе́ринг теҥыз — Тыныс тептеҥызын йӱдвелныже, Алеут, Командор отро-влак коклаште верланыше теҥыз.
geographical-object;['эрвел китай теҥыз', 'восточно-китайский теҥыз', 'восточно-китайское море', 'эрвел-китай теҥыз'];28.921667, 125.947222 Эрвел Китай теҥыз (рушла Восто́чно-Кита́йское мо́ре, Кышкар:Lang-zh4, — «эрвел теҥыз». кор.
geographical-object;['нарынче теҥыз', 'желтое море', 'жёлтое море'];35.496389, 123.112778
geographical-object;['атлантик тептеҥыз', 'атлантик океан', 'атлантик таптеҥыз', 'атлантический океан'];15, -34
geographical-object;['дунай'];Дунай (немычла Donau, румынла Dunărea, венгрла Duna, сербла Дунав, словакла Dunaj, болгарла Дунав, хорв.
geographical-object;['евразий'];Евразий — материк.
geographical-object;['гренландий'];Гренландий — эл Кечывалвел ден Америкыште.
geographical-object;['тыныс тептеҥыз', 'тихий океан', 'тыныс океан', 'тыныс таптеҥыз', 'шып таптеҥыз'];-4, -141
