abstract-region;['operando', 'operand'];Un operando es omne argumento que es le objecto de un operation mathematic.
activity;['arthroscopia'];Arthroscopia es genere de chirurgia minime invasive vel minime lacerate ut videre interior de articulo con noxa a medico et tractare et curar usante arthroscopo genere endoscopo quod insertate in incision de articulo.
activity;['ecumenismo'];Ecumenismo es le idea que differente denominationes christian debe laborar insimul plus que illos nunc face.
activity;['concerto'];Un concerto es un directe presentation musical ante un auditorio.
activity;['censo', 'censimento'];Un censo es le producto de contation del habitantes de un pais que se realisa a intervallos fixe.
activity;['musical', 'theatro musical'];Le musical es un forma de theatro que combina le canto, parlar, accompaniamentos musical e dansa.
activity;['apherese'];== Etymologia ==
activity;['liturgia'];Le liturgia es le modello e contento, i.e.
activity;['monson'];Le monson es in meteorologia un vento periodic typic del Oceano Indian.
activity;['psychoanalyse'];Le psychoanalyse es un practica therapeutic fundate per le neurologo vienese Sigmund Freud circa 1896.
activity;['judo'];Judo es un arte martial, un sport e un philosophia con origine in le Japon.
activity;['colpo de stato'];Un colpo de stato es le remotion de un governamento existente ab le poter, generalmente cum medios violente.
activity;['amputation'];Le amputation es le ablation de un extremitate del corpore debite a un traumatismo o un acto chirurgic.
activity;['rock', 'rock and roll'];Le rock es un genere del musica pop que originava in le Statos Unite le annos 1950.
activity;['guerra civil'];Un guerra civil es un confrontation armate inter gente del mesme pais.
activity;['guerra franco-indigena'];Le Guerra franco-indigena es le quarte in un serie de guerras colonial inter le franceses e le britannos, cognoscite como le guerras franco-indigena.
activity;['secunde guerra mundial', 'world war ii', 'secundo guerra mundial'];Le Secunde Guerra Mundial es le conflicto armate le plus importante que le humanitate ha cognoscite: illo costava le vita de circa 2% del population mundial del epocha, in majoritate civiles.
activity;['prime guerra mundial', 'guerra mundial i'];Le Prime Guerra Mundial esseva un conflicto armate de scala mundial disveloppate inter 1914 e 1918.
activity;['guerra del peloponneso'];Le guerra del Peloponneso
activity;['castitate'];Le castitate, in usage commun, es le condition de un esser human qui selige abstiner se de relationes sexual, per exemplo a causa de motivos ethic o religiose.
activity;['violentia'];Violentia es un termino usate pro describer attaccos a homines e animales.
activity;['sport'];Le sport es un activitate athletic que require habilitate physic o cerebral, sovente in un maniera competitive.
activity;['recreation'];Collectionismo
activity;['intertenimento', 'amusamento'];Intertenimento es un action e effecto de intertener.
activity;['predication', 'sermon'];Sermon o predication es un discurso tenite in le contexto de un celebration religiose.
activity;['hobby', 'passatempore'];Le parola hobby indica un activitate practicate in le tempore libere pro placer, interesse e divertimento.
activity;['reanimation cardiopulmonar', 'resuscitation cardiopulmonar', 'cardiopulmonario resuscitation', 'cpr'];Le reanimation cardiopulmonar o reanimation cardiorespiratori es un procedura de emergentia que se exeque pro conservar le function del cerebro durante que se prende mesuras pro restituer le circulation del sanguine e le respiration de un persona in arresto cardiac.
activity;['troco'];Un troco o barter es un typo de negotio in le qual benes o servicios es intercambiate per altere benes e/o servicios, sin usar moneta in le transaction.
activity;['arte martial', 'artes martial'];Un arte martial es generalmente un schola que insenia le technica de combatto e le cognoscentia de controlo de se mesme.
activity;['cruciadas'];Le Cruciadas esseva un serie de guerras religiose facite per plure nationes in Europa christian, specialmente Francia e le Sacre Imperio Roman, con le scopo de obtener controlo christian del Terra Sacre.
activity;['neurochirurgia'];Neurochirurgia es ramo de medicina chirurgia, que cura morbos de systema nervosa per cerebro, Medulla spinal et nervos de exterior sectiones.
activity;['rima'];Un rima es un repetition de sonos simile in syllabas final de duo o plure parolas.
activity;['heterosexismo', 'heterosexualismo'];Le heterosexismo es un systema de attitudes, preoccupationes, e discriminationes in favor de sexualitate e relationes inter personas de sexos opposite.
activity;['racismo', 'racialismo'];Le racialismo o racismo es un conviction ascientiphic, e a vices un ideal politic, que professa le existentia de differente racias human, e que reclama que alicun racia o ethnicitate es melior o pejor quam alies, habente le voluntate de practicar le discrimination racial in base a iste principio.
activity;['prime auxilio', 'prime succurso'];Prime succurso es le tractamento medical que se da per alicuno ad un altere persona qui subito suffre de un morbo acute o un injuria que es frequentemente inopinate.
activity;['guerra civil anglese'];Le Guerra Civil Anglese esseva un serie de guerras civil e machinationes politic in Anglaterra, Scotia e Irlanda ab 1642 usque 1651.
activity;['endoscopia'];Endoscopia es le technica de exploration que pertine al medicina ubi se applica le instrumento appellate endoscopio ut examina le interior de un organo cave vel cavitate del corpore.
activity;['levamento de pesos'];Levamento de pesos o Halterophilia o es un sport olympic.
activity;['boxa'];Boxa es un sport olympic.
activity;['hockey'];Hockey es un sport olympic.
activity;['patinage artistic'];Patinage artistic es un sport olympic.
activity;['quarantena'];Le quarantena es un isolamento fortiate, solitamente utilisate pro limitar le diffusion de un stato periculose.
activity;['massage'];Un massage [-aje] significa massar un parte particular del corpore.
activity;['lotteria'];Un lotteria es un typo de joco de hasardo basate sur le hasarde extraction de numeros pro un premio.
activity;['joco de parolas'];Un joco de parolas utilisa duo parolas que pare o sona simile.
activity;['nive'];Nive es precipitation in le forma de floccos de crystallin glacie de aqua que cade ab nubes.
activity;['veneration de sanctos', 'veneration de imagines'];Le veneration de sanctos es le practica de venerar un persona qui excelleva in virtutes de un religion.
activity;['punk rock'];Le Punk rock es un subgenere del musica rock que se emergeva in le medio del annos 1970.
activity;['ski nautic'];Ski nautic es un sport.
activity;['triage'];Triage es un procedura, non codificate per lege o methodologicamente specificate, pro dar prioritate al assistentia medical, super toto in caso de volumines de patientes imprevistemente elevate e de ressources objectivemente insufficiente.
activity;['guerra del duo rosas', 'guerras del rosas'];Le Guerra del duo Rosas esseva un serie de guerras civil in Anglaterra ab 1455 usque 1487.
activity;['adenoidectomia'];Le adenoidectomia es le elimination chirurgic del adenoides.
activity;['appendectomia'];Le Appendectomia es le excission de un appendice inflammate, condition que es cognoscite in medicina como appendicitis.
activity;['propitiation', 'exemplarismo', 'reconciliation'];Propitiation o reconciliation.
activity;['defensa personal'];La defensa personal, o autodefensa, es un ensemble de methodos que pote esser usate pro stoppar un attacco personal.
activity;['disciplina'];Le disciplina es omne exercitation o formation intendite a producer un specific character moral o patrono de comportamento, specialmente tales que produce un disveloppamento moral, physic, o mental in un direction particular.
activity;['cinematographia', 'cinema'];Le cinematographia [tsi-ne-ma-to-gra-fía] o simplemente cinema, o cine, es communmente denominate le septime arte.
activity;['salto de ski'];Salto de ski es un sport olympic.
activity;['canto'];Le canto es le production de sonos musical con le voce.
activity;['photographia'];Le photographia es le technica de registrar, con medios chimic o mechanic un imagine fixe super un strato de material sensibile al exposition del lumine, basate in le uso del camera obscur como le dispositivo de formation del imagine e del film photographic como medio de immagazinage del imagine.
activity;['lexicographia'];Le lexicographia es le scientia del creation de dictionarios.
activity;['mesuration', 'mensuration', 'mesura'];Le mensuration esse le processo de assignar un magnitude a un attributo secundo un regula o regulas.
activity;['communication'];Le communication [kom-mu-ni-ka-tsión] es un parte del scientias social que tracta studiar le processos human de communication. isto es, le processos in le quales occurre un intercambio de ideas.
activity;['theatro'];Le theatro es le branca del artes que se incarga del drama e le representationes dramatic al publico.
activity;['dece commandamentos', 'decalogo'];Decalogo [de-cà-lo-go], ab greco deka, dece, e lògos, parola.
activity;['tourismo'];Le tourismo es le activitate de viagiar pro placer durante plus de 24 horas.
activity;['missa'];Le missa es le denomination communmente usate in le Ecclesia Catholic et altere descendente del mesme pro le servicio eucharistic.
activity;['numismatica'];Le numismatica es collectionismo consistente in recompilar e classificar monetas per paises de origine o themas.
activity;['philatelia'];Le philatelia, consistente in recompilar e classificar timbros, es un del collectionismos plus diffundite e cognoscite.
activity;['arte'];Arte es ulle activitate o producto create per esseres human con scopo esthetic o communicative, con que on pote exprimer ideas, emotiones, e un vision del mundo real o imaginate.
activity;['sermon sur le monte'];Isto es le maniera commun de referer se al inseniamento moral e pastoral in le forma specific que illo prende in le capitulos 5-7 del evangelio de Mattheo.
activity;['cartographia', 'mappa'];Le cartographia es le scientia que tracta del representation del Terra super un mappa.
activity;['tempore', 'climate'];Tempore in meteorologia es le stato del atmosphera, al grado que illo es calide o frigide, humide o sic, calme o tempestic, clar o nubose.
activity;['orgasmo'];Le orgasmo es le momento del culmination del coito, quasi semper pertinente al placer.
activity;['presidente del statos unite de america'];In le Statos Unite de America le presidente es le chef del stato e anque le chef del governamento.
activity;['vocation', 'invitation general', 'vocation effective', 'vocation exterior', 'vocation general', 'vocation interior', 'vocation particular', 'vocation special', 'vocation universal'];== Definition ==
activity;['the'];The, ultimemente del chinese 茶, pronunciate in le dialecto mandarin como chá
activity;['jornalismo'];Jornalismo es le production e le distribution impartial de reportos super eventos actual o passate basate sur factos e supportate per provas et evidentias.
activity;['revolution francese'];Le Revolution francese era un epocha de grande cambios politic e social in le historia de Francia et Europa in toto, durante que le governamental structura francese, ante un monarchia absolute con privilegios feudal pro le aristocratia e clericos catholic, suffreva cambio radical a formas fundate super ideales de democratia, civitate, e derectos inalienabile.
activity;['guerra de independentia del statos unite', 'revolution american', 'guerra de independentia american', 'guerra revolutionari american'];Le Guerra de Independentia del Statos Unite es le guerra inter Grande Britannia e le colonias que se converterea posteriormente in le Statos Unite de America.
activity;['guerra de independentia del statos unite', 'revolution american', 'guerra de independentia american', 'guerra revolutionari american'];Le Revolution American era le convulsion politic durante le ultime mitate del seculo XVIII in le qual le Dece-Tre Colonias in America del Nord univa se per liberar se del Imperio Britannic, conveniente formar le Statos Unite de America.
activity;['lucta'];Lucta es un sport olympic.
activity;['cursa de cavallos', 'cavallo de cursa'];Le cursa de cavallos o turf es un sport disveloppate in le Regno Unite in le seculo XVII.
activity;['surf'];Surf es un sport olympic.
activity;['tiro ad arco'];Tiro ad arco es un sport olympic.
activity;['ski de fundo'];Ski de fundo es un sport olympic.
activity;['posta'];Posta o servicio postal es omne systema a transportar physicamente e commercialmente cartas postal, litteras e pacchettos.
activity;['radiotherapia'];Le radiotherapia es un forma de tractamento basate in le uso medical de radiationes ionisante.
activity;['guerra', 'bello'];Un guerra o bello es un lucta armate inter duo o plus populos o nationes.
activity;['idolatria'];Idolatria es dar a una persona, imaginen, o que altere su verdadero significado, le culto que es debite a Deo solmente.
activity;['disciplina'];Le disciplina es omne exercitation o formation intendite a producer un specific character moral o patrono de comportamento, specialmente tales que produce un disveloppamento moral, physic, o mental in un direction particular.
activity;['guerra civil american', 'guerra civil statounitese'];Le Guerra Civil Statounitese o Guerra de Secession esseva un guerra ab 1861 usque 1865 inter le statos del sud e del nord del Statos Unite de America.
activity;['alitteration'];Le alitteration es un figura rhetoric que consiste in le empleo de parolas con abundantia del mesme litteras pro producer un effecto acustic, normalmente relationate con le senso del phrase.
activity;['pluvia'];Pluvia es aqua liquide in le forma de guttettas que ha condensate ab vapor aqual atmospheric e alora precipitate — que es, deviniva satis pesante de cader de gravitate.
agentive-figure;['agamemnon'];Agamemnon es un del plus distinguite heroes del mythologia grec cuje aventuras narra se in le Iliade de Homero.
agentive-figure;['amazon'];Le Amazones esseva un tribo de feminas guerrier mythologic.
agentive-figure;['mammona'];Mammona.
agentive-figure;['dracon'];Un dracon es un bestia mythic, typicamente con tractatos de serpentes o dinosauros, in le mythologia e fabulas de plure culturas.
agentive-figure;['benelux'];Le Benelux Union, etiam cognoscite simplemente como Benelux, es un union politic-economic et un cooperation intergovernamental de tres statos in Europa Occidental: Belgica, Nederlandia e Luxemburg.
agentive-figure;['banca'];Un Banca es un institution que administra e presta numerario.
agentive-figure;['extraterrestrial', 'vita extraterrestre', 'extraterrestre'];Le vita extraterrestre refere al vita que se trova extra le Terra.
agentive-figure;['fundation'];Un fundation es un organisation sin scopo lucrative.
agentive-figure;['ecclesia', 'ecclesial', 'ecclesiasticismo', 'ecclesiolatria', 'ecclesiologia'];Un ecclesia ha qualque definitions in le contexto de Christianismo, e in rarmente religiones altere: Un edifico ecclesiastic Un congregation Un confession
agentive-figure;['odysseo'];Odysseo un del plus distinguite heroes del mythologia grec e del guerra de Troia e le cuje aventuras narra se in le Iliade e le Odyssea de Homero.
agentive-figure;['achilles'];In le mythologia grec, Achille filio de Peleo e Thetis era un heroe del Guerra de Troia, e un del principal protagonistas del Iliade de Homero.
agentive-figure;['eneas'];Eneas es un heroe del guerra de Troia que, post le cadita del citate, fugiva con successo, comenciante un viage usque Latio, ubi post un serie de eventos ille deveniva le rege e progenitor del populo roman inter que duo de su descendentes, Romulus e Remus, fundarea le citate de Roma.
agentive-figure;['consilio economic e social del nationes unite'];Le Consilio Economic e Social del Nationes Unite es un del plus importante del Nationes Unite.
agentive-figure;['stato', 'stato soveran', 'nation'];Un stato es un systema de governamento.
agentive-figure;['jardin de infantes', 'jardin de infantia'];Le jardin de infantes es un establimento de assistentia public o private al infantes durante le septimana.
agentive-figure;['ku klux klan'];Le Ku Klux Klan es un gruppo racialista in Statos Unite.
agentive-figure;['monorail'];Monorail es un systema de transporto public passante in singule rail, que functiona como su unic supporto e via de guidar.
agentive-figure;['citate-stato'];Un citate-stato in Germania es un citate que non es un parte de un stato federal, ma forma un proprie stato federal per se mesme.
agentive-figure;['quinte columna'];Quinte columna es un expression pro un gruppo que opera contra un gruppo plus grande o un stato del interior, usualmente in favor de un gruppo o nation hostil.
agentive-figure;['organisation mundial del sanitate', 'organisation mundial del salute', 'who'];Le Organisation Mundial del Sanitate es le organismo del Organisation del Nationes Unite specialisate in gerer politicas de prevention, promotion e intervention in sanitate a nivello mundial.
agentive-figure;['fundo monetari international'];Le Fundo monetari international es un organisation componite per le governos national de 188 Paises e insimul al gruppo del Banca Mundial face parte del organisationes international appellate de Bretton Woods, del nomine del localitate in le qual on teneva le conferentia que decretava su creation.
agentive-figure;['unesco'];UNESCO esseva establite le 16 de novembre 1945 pro promover le collaboration inter nationes de iste dominios.
agentive-figure;['organisation del statos american', 'osa'];Le Organisation del Statos American es un organisation governamental international formate per le statos del Americas del Nord e del Sud pro le protection del securitate e interesses mutue.
agentive-figure;['gigantomachia'];Le Gigantomachia es le guerra inter le gigantes e le deos olympic.
agentive-figure;['nasa'];Le National Aeronautics and Space Administration es un agentia del governamento federal del Statos Unite, responsabile del programma spatial national.
agentive-figure;['academia', 'universitate'];Academia [a-ka-dé-mia] es un association de scholares o artistas qui conveni pro le intercambio de ideas.
agentive-figure;['otan', 'nato', 'organisation del tractato del atlantico nord'];Le Organisation del Tractato del Atlantico Nord, abbreviate OTAN, Organisation du Traité de l'Atlantique Nord o North Atlantic Treaty Organization, o NATO, es un allantia defensive inter nationes nordamerican e european.
agentive-figure;['union europee', 'communitate economic europee', '🇪🇺', 'eu', 'ue'];Le Union Europee es un association de statos que ha inter se relationes special economic e politic de cooperation e de integration.
agentive-figure;['union europee', 'communitate economic europee', '🇪🇺', 'eu', 'ue'];Le Communitate Economic Europee esseva un organisation international create per le Tractatos de Roma de 1957 con le scopo de crear un mercato commun europee.
agentive-figure;['liga arabe', 'liga arabic'];Le Liga Arabe, con le nomine official de Liga de Statos Arabe, es un organisation regional de statos arabe in Asia del Sudwest, e Africa del Nord e Africa del Nordest.
agentive-figure;['movimento international del cruce rubie e del crescente rubie', 'cruce rubie'];Le Movimento International del Cruce Rubie e del Crescente Rubie es un movimento humanitari international con circa 97 milliones de voluntarios, membros e personal in tote le mundo, fundate per proteger le vita e le sanitate human, per garantir le respecto de tote le esseres human e per prevenir e alleviar le suffrentia human.
agentive-figure;['syndicato'];Un syndicato es un organisation de travaliatores pro defender lor interesses commun.
agentive-figure;['organisation del nationes unite', 'nationes unite', 'onu'];Le Organisation del Nationes Unite, o simplemente le Nationes Unite, es un organisation intergovernamental mundial, create per le Littera de San Francisco in 1945, con le finalitate de mantener le pace, promover le cooperation economic, cultural, social e humanitari, garantir le securitate del statos basante in le principios de equalitate e autodetermination e veliar pro le respecto del derectos human.
agentive-figure;['ensemble'];Un ensemble musical o gruppo musical es un gruppo de personas qui interpreta un musica instrumental e/o vocal.
agentive-figure;['ecclesia catholic', 'ecclesia catholic roman', 'catholicismo roman', 'ecclesia catholica romana', 'ecclesia roman catholic'];Le Ecclesia Catholic Roman o Ecclesia Catholic es le ecclesia christian que se disveloppava antiquemente in le citate imperial de Roma e que acquireva pro isto semper plus importantia e poter super le altere ecclesias local.
agentive-figure;['baptistas'];Baptistas es le denominationes e theologias characterisate per le doctrina del baptismo per immersion pro credentes solmente.
agentive-figure;['ecclesia de jesus christo del sanctos del ultime dies', 'mormon', 'mormonic'];Le Ecclesia de Jesus Christo del Sanctos del Ultime Dies es un communitate christian con 12.300.000 de membros in tote le mundo e un crescite medie annue de 300.000.
agentive-figure;['ecclesia orthodoxe', 'ecclesia orthodoxe del est', 'orthodoxismo', 'orthodoxos'];Le Ecclesia Orthodoxe es un communion de corpores ecclesiastic distincte e autonome, con un mesme theologia.
agentive-figure;['sirena'];Le sirena es creatura legendari con corpore superior de mulier vel puera et longe capillatura et cauda de piscis.In medievo le verbo diffundeva con pauco mutationes in particular le linguas romanicas.
agentive-figure;['hercules'];Hercules o Hercule es un heroe e semideo del cultura greco-roman symbolisante le fortia e fortitude.
agentive-figure;['fide', 'religion', 'articuli fidei fundamentalis', 'confession positive', 'cura per fide', 'fe', 'fide cec', 'fide dicite', 'fide historic', 'fide implicite', 'fide in le fide', 'fide in miraculos', 'fide morte', 'fide temporari', 'fide vicari', 'name-it-and-claim-it', 'parola del fide', 'pistologia'];Fide ha duo interpretationes que poterea esser insimul o separate: Fider o confider Creder sin un rationIn le duo casos, le fide es basate in le interpretation de alique intangibile e non de alique tangibile.
agentive-figure;['fide', 'religion', 'articuli fidei fundamentalis', 'confession positive', 'cura per fide', 'fe', 'fide cec', 'fide dicite', 'fide historic', 'fide implicite', 'fide in le fide', 'fide in miraculos', 'fide morte', 'fide temporari', 'fide vicari', 'name-it-and-claim-it', 'parola del fide', 'pistologia'];Religion es le credentias, attitudes, emotiones, comportamentos, etc.
agentive-figure;['islam'];Le islam es un religion monotheista, fundate super le inseniamentos del propheta Mahomet que esseva scripte in le Koran in le prime decennios del seculo 7.
agentive-figure;['servicio de incendios'];Le servicio de incendios es un servicio de emergentia que responde a incendios e disastros altere, inclusive collisiones de vehiculos, collapsos structural e inundationes.
agentive-figure;['hinduismo'];Le hinduismo es un religion que disveloppava in India e que insenia que preter le universo actual, il ha un altere existentia eterne e sin cambios.
agentive-figure;['policia'];Le policia es un organo executive de un stato con cargas de combatter le criminalitate assi como mantener le ordine e securitate public.
agentive-figure;['union sovietic', 'union de republicas sovietic socialista', 'urss'];Le Union sovietic esseva un union federalista, dominate de Russia.
agentive-figure;['don quixote de la mancha', 'don quixote'];Le ingeniose hidalgo Don Quixote de La Mancha
agentive-figure;['compania de jesus', 'societate de jesus', 'jesuitas', 'jesuita'];Le Compania de Jesus es un ordine religiose catholic fundate in 1540 per Ignatio de Loyola, qui esseva depost canonisate como sancte Ignatio de Loyola.
agentive-figure;['sacre imperio roman', 'sacre imperio roman germanic'];Le Sacre Imperio Roman o Sacre Imperio Roman del Nation Germanic esseva un conglomeration politic del paises de Europa occidental e central in le medievo e le initio del era moderne.
agentive-figure;['fortias armate', 'militar'];Le fortias armate esse un organisation autorisate per su nation a usar fortia in defender le pais per combatter menacias actual o percipite.
agentive-figure;['communion anglican', 'ecclesia de anglaterra', 'ecclesia anglican'];Le Ecclesia de Anglaterra es le maxime ecclesia christian in Anglaterra con 25 milliones de membros baptisate.
agentive-figure;['communion anglican', 'ecclesia de anglaterra', 'ecclesia anglican'];Communion Anglican, association mundial de ecclesias nacional e regional que es in communion con le Ecclesia Anglican e le archiepiscopo de Canterbury.
agentive-figure;['partito nazi'];Le Partito Nationalsocialista del Laboratores German, in germano: Nationalsozialistische Deutsche Arbeiterpartei, cognoscite colloquialmente como Partito Nazi o Nazista, era un partito politic active in Germania inter 1920 e 1945 cuje ideologia se sustentava in le nazismo.
agentive-figure;['germania nazi', 'tertie reich'];Germania Nazi, officialmente le Grande Reich German o le Tertie Reich, esse le nominate usate pro referer al stato de Germania de 1933 ab 1945.
agentive-figure;['ecclesia episcopal'];Ecclesia Episcopal: Uno del quatro modellos major pro le governamento del Ecclesia.
agentive-physical-object;['servitor'];Un servitor in informatica o computation es un application computatorial o programma que realisa alcun cargas pro le beneficio de altere applicationes appellate clientes.
agentive-physical-object;['ave de mar', 'ave marin'];Aves marin esse aves que se ha adaptate a vita in un ambiente marin.
agentive-physical-object;['boxer'];Le boxer es un racia de can de labor, de origine german.
agentive-physical-object;['coccothraustes coccothraustes'];Coccothraustes coccothraustes esse un taxon.
agentive-physical-object;['tringa totanus'];Tringa totanus esse un taxon.
agentive-physical-object;['crocodylus niloticus'];Crocodylus niloticus es un specie del genere Crocodylus, regno Animalia.
agentive-physical-object;['quercus', 'robore'];Quercus es un genere de arbores, le quercos.
agentive-physical-object;['animal de compania'];Un animal de compania es un animal que es tenite per homines con diverse motivos sovente in le appartamento o in un altere contacto intime.
agentive-physical-object;['castor fiber'];Castor fiber, le castor eurasian, es un specie de castor.
agentive-physical-object;['donald duck'];Donald Duck es un personage fictional de The Walt Disney Company.
agentive-physical-object;['panthera onca', 'jaguar', 'panthera onca palustris'];Panthera onca es un taxon.
agentive-physical-object;['animal', 'animalia'];Le animales es organismos vivente multicellular capace de apprender de lor ambiente e de displaciar se voluntarimente.
agentive-physical-object;['planta', 'plantae', 'plantas'];Plantas es le organismos vivente in le regno Plantae, le nomine latin de plantas.
agentive-physical-object;['cassero automatic', 'bancomat'];Un cassero automatic es un machina pro dispensar moneta per carta de credito o carta de debito, sin necessitate del personal del banca.
agentive-physical-object;['computator', 'computer', 'odinator'];Un computator vel ordinator, es un machina que processa datos secundo un procedura formal, le algorithmo.
agentive-physical-object;['robot'];Le robot es un machina que sembla un human e face cargas mechanical e routinari in mandato.
agentive-physical-object;['can', 'canis lupus familiaris', 'caudectomia', 'otectomia'];Le canes es mammiferos que pertine al familia Canidae, como le lupos, le vulpes e le coyotes.
agentive-physical-object;['fungo', 'fungi', 'fungus', 'regno fungi'];Un fungo es un membro de un gruppo grande de organismos eucaryotic que include microorganismos tal como levaturas, mucores, e le familiar champignones.
agentive-physical-object;['thoroughbred'];Thoroughbred es le cavallo Pur sanguine anglese selective pro cursa.
agentive-physical-object;['lycaon pictus'];Lycaon pictus esse un taxon.
agentive-physical-object;['ciliophora'];Ciliophora es un phylo del superphylo Alveolata, dominio Eukaryota.
agentive-physical-object;['computator personal', 'pc'];Un Computator Personal o Personal Computer es un computator pro uso per un singule persona qui es designate pro esser colocate de forma continue super un scriptorio.
agentive-physical-object;['calculator'];Un calculator es un machina electronic pro calcular que es portabile e applicabile in un sol mano.
agentive-physical-object;['quarter horse', 'quarte de mille'];Quarter horse o Quarte de millia es un racia de cavallo de travalio rural e cursa sportiva de distantia curta.
agentive-physical-object;['soya', 'soja', 'glycine max'];Le soja,, es un legumine del familia del leguminosas, Fabaceae, affin al fabas, pro le major parte cultivate pro su granas oleaginose que forni le principal oleo alimentari consumite in le mundo.
agentive-physical-object;['bulldog'];Del anglese bull, tauro, e dog can.
agentive-physical-object;['arbore'];Un arbore es un planta alte perenne con un trunco e ramos.
agentive-physical-object;['nuytsia floribunda'];Nuytsia floribunda esse un taxon.
agentive-physical-object;['ananas'];Le Ananas es un planta ex le familia Bromeliaceae.
agentive-physical-object;['prokaryota'];Prokaryota es un taxon.
agentive-physical-object;['cultivar'];Cultivar plus communmente significa un assemblage de plantas selegite pro characteristicas desirabile que son mantenite durante propagation.
