abstract-quality;['индивидуалдық'];Индивидуалдық - 1.
activity;['айырбас шарты'];Айырбас шарты
activity;['өлікті жару', 'ашу', 'аутопсия'];Өлікті жару немесе аутопсия - Өлімнің себептері мен жүзеге асқан уақытын дәл анықтау үшін өлікті соттық-медициналық жару. бұл шара өлім қылмыстық салдардан пайда болды деген күдік туғанда немесе өлімнің себептері түсініксіз болған кезде жасалады және ол бас сүйек куысы мен кеуде және ішек-қарын қуыстарын ашу шаралары арқылы жасалады. судьяның немесе прокурордың қаулысы бойынша жүргізіледі.
activity;['рэкет'];Рэкет - әдетте, қауіп-қатер, аяусыз күштеу, кепілдікке адам алуды қолдану арқылы, ұйымдасқан қылмыстық топ нысаны түрінде көрінетін бопсалау.
activity;['иллюзионизм'];Иллюзионизм - барлық ақиқатты, әдемілікті және имандылықты иллюзия көрініс, жалған деп білетін философиялық бағыт. Кеңістік пен уакыттағы сыртқы дүниені Майяның жамылғысы дейтін упанишад және Шопенгауэр ілімдері иллюзионизм деп аталады.
activity;['аппроксимация', 'аппроксималау', 'жуықтау'];Аппроксимация - жуықтау
activity;['джем-сейшн', 'jam session'];Джем-сешн, немесе джем-се́йшен, немесе джем-се́шен
activity;['эскапизм'];Эскапизм - адамның ақиқаттан, сағым және қиял әлеміне кету ынтасы.
activity;['анықтау'];Анықтау (ағылш.
activity;['шешендік өнер'];ШЕШЕНДІК ӨНЕР. Шешен - тілге жүйрік,сөз қисынын тауып айтатын халық қалаған сөз шебері.
activity;['далалық зерттеу'];Далалық зерттеу - нақты өмір жағдайларында адам мінез-құлқын бақылау арқылы әлеуметтік құбылыстарды ірі масштабта зерттеу.
activity;['профессия'];Профессия
activity;['вакханалия'];Вакханал (лат.
activity;['спорттық бал билері'];Спорттық бал билері нағыз эстетикалық және сәнді спорт түрі.
activity;['бильярд', 'биллиард'];Бильярд биллиард
activity;['домино', 'dominó'];Домино
activity;['жекпе-жек'];Жекпе-жек —
activity;['крест жорықтары', 'крест жорығы'];Крест жорықтары - иудей, христиан және мұсылман діндерін ұстанатын адамдар үшін қадір тұтылатын Қасиетті жердегі Иерусалимді бақылау үшін болған соғыстар.
activity;['нейрохирургия'];Нейрохирургия – клиникалық медицинаның шеткі және орталық жүйке жүйесінің ауруларының себептерін анықтап, оларды хирургиялық жолмен емдейтін және диагностикасын қоятын саласы.
activity;['гравюра', 'линогравюра'];Гравюра (фр.
activity;['телеметрия'];Телеметрия — теле өлшеу.
activity;['қосарлы жазба'];Қосарлы жазба - әрбір шаруашылық операциясының екі шотта: біреуінің дебет, екіншісінің кредит түрінде бірдей сомамен көрсетілетін бухгалтерлік есеп тәсілі.
activity;['мал шаруашылығы'];Мал шаруашылығы — ауыл шаруашылығының мал өнімдерін өндіру үшін мал өсірумен айналысатын саласы.
activity;['жылқы шаруашылығы'];Жылқы шаруашылығы — мал шаруашылығының жылқы өсіретін саласы.
activity;['пунктат'];Пунктат (лат.
activity;['национализация'];Национализация - жеке меншіктің мемлекет меншігіне немесе жер қоғамының, өндірістік.
activity;['жекешелендіру'];Жекешелендіру — меншік қатынастарын реформалау арқылы мемлекеттік меншікті меншіктің басқа нысандарына айналдыру процесі.
activity;['маджоң'];Маджоң, әдетте 4 адам ойнайтын шыққан тегі қытайлық ойын.
activity;['ақшаның жылыстауы'];Ақшаның жылыстауы - ақшаының түсуінің немесе нысанасының шын көзін жасыруға және жария сипат беруге тиіс операциялардың жиынтығы. криминалды бизнестің кеңінен таралған түрлерінің бірі.
activity;['үйде қамап ұстау', 'үй қамақ'];Үйде қамап ұстау
activity;['конвертор'];Конвертор
activity;['рифма'];Рифма — үйлесім, еленнін сонғы сөздеріндегі буын мен дыбыстардын үйкасып келуі, үйлесімділігі.
activity;['бағдарламалау', 'программалау'];Бағдарламалау
activity;['тоқу'];Тоқу (ағылш.
activity;['шешендік өнер'];ШЕШЕНДІК ӨНЕР. Шешен - тілге жүйрік,сөз қисынын тауып айтатын халық қалаған сөз шебері.
activity;['электромиография'];Электромиография — бұлшық еттің электрофизиологиялық белсенділігін анықтау мақсатында биопотенциалын жазу.
activity;['гемодиализ'];Гемодиализ, созылмалы бүйрек жетіспеушілігі — бүйректің кез-келген үдемелі ауруларынан кейін пайда болатын, нефрондардың біртіндеп өлуінің нәтижесінде дамитын симптомокомплекс.
activity;['нәсілшілдік'];Нәсілшілдік – қоғамдағы әлеуметтік теңсіздікті адамның биологиялық сипатымен негіздеуге тырысатын ғылымға қайшы теория.
activity;['сексизм'];Сексизм - жыныстық ерекшелік белгісіне қатысты саяси дискриминация.
activity;['жоғары білім', 'жоғарғы білім'];Жоғарғы білім – толық орта білім негізінде жоғары оқу орындарында берілетін және тиісті дипломмен куәландырылатын маманның кәсіби біліктілік дәрежесі.
activity;['цифрлық байланыс хаттамасы'];Цифрлық байланыс хаттамасы — сандық пішінге түрлендірілген сөздер мен деректерді бір ғана байланыс жолымен таратуға пайдаланылатын фирмалық хаттама.
activity;['алғашқы көмек'];Алғашқы көмек — адам өміріне немесе денсаулығына кенеттен қауіп төнгенде оның өмірін сақтап қалу үшін немесе апаттың зиянды әсерін азайту үшін қолданылатын қарапайым шаралар.
activity;['ағылшын революциясы', 'ағылшын азамат соғысы'];Ағылшын буржуазиялық революциясы - Англияда болған буржуазиялық революция. тұңғыш буржуазиялық револициялардың бірі.
activity;['рентгенге түсіру'];Рентгенге түсіру — денелерді рентген сөулесінің көмегімен зерттеу үшін, оның суретін түсіру.
activity;['эндоскопия'];Эндоскопия
activity;['ауыр атлетика'];Ауыр атлетика — әр түрлі салмақ дәрежелерінде ауыр зат көтеріп, күш сынасатын спорт түрі.
activity;['непотизм'];Непотизм (ағыл.
activity;['бокс'];Бокс – арнайы жұмсақ қолғаппен белгілі бір ереже бойынша жекпе-жек күш сынасатын спорт түрі.
activity;['айыршек'];Айыршек - артиллериялық зеңбіректен ату кезіндегі көздеу кұрылғылары арасындағы айырмашылық.
activity;['жауап алу'];Жауап алу
activity;['абсентеизм', 'абсентизм'];Абсентеизм -
activity;['логистика'];Логистика — клиенттердің немесе корпорациялардың талаптарын қанағаттандыру үшін бастапқы нүкте мен жеткізу нүктелелерінің арасындағы ресурстар ағымын басқаруды білдіреді.
activity;['маглев'];Маглев сөзінен құралған шапшаң тасымалдау темір-жол жүйесі.
activity;['мәнерлеп сырғанау'];Мәнерлеп сырғанау — спорт түрі.
activity;['клизма'];Клизма — Тазарту клизмасын жасау үшін арнайы грелкаға 4—6 стакан су құяды.
activity;['фритредерлік'];{{Тексерілмеген мақала|date={{subst:#time:F Y}}}}
activity;['жылдамдықтар қорабы'];Жылдамдықтар қорабы — беріліс қатынастарының баспалдақты өзгеруі тісті берілістердің ажыратылып-қосылуымен жүзеге асырылатын көп буынды механизм.
activity;['карантин'];Карантин — ауру ошағын толық оңашалау және ондағы ауруды толық жоюды қарастыратын шаралар жүйесі.
activity;['массаж', 'массаж түрлері'];Массаж – француз сөзінен шыққан, ысқылау деген мағынаны білдіреді, оның түпкі тамырын араб тілінен алған.
activity;['контрацепция', 'отбасы жоспарлау'];Контрацепция — жүктілікті болдырмау әдісі не сол үшін қолданылатын құрылғы.
activity;['аускультация', 'aускультация'];Аускультация
activity;['офорт'];Офорт (франц.
activity;['мақұлдау', 'ратификациялау'];Мақұлдау, ратификациялау – халықаралық шартты бекітудің соңғы сатысы, халықаралық шарт жасасқан мемлекеттің жоғарғы өкілді органының немесе мемлекет басшысының шартты бекітуі.
activity;['спарринг', 'sparring'];Спарринг — жұптасып жаттығу.
activity;['жылқы үйрету'];Жылқы үйрету — жылқыны салт мінуге, жүк артуға, арбаға, шанаға жүруге көңдіктіру.
activity;['антропометрия'];Антропометрия — адамның дене мүшелерін өлшеу арқылы оның дене құрылысына тән жыныстық, нәсілдік және жас ерекшеліктеріне жан-жақты анықтамалар беретін антропологиялық зерттеудің негізгі тәсілдерінің бірі.
activity;['амплитудалық модуляция'];Амплитудалық модуляция
activity;['фазалық модуляция'];Фазалық модуляция — тербеліс модуляциясының бір түрі, Фазалық модуляцияда тасымалданатын сигнал тасушы жоғары жиілікті тербелістің фазасын басқарады.
activity;['вокалдық музыка'];Вокальдық музыка — музыка аспабының сүйемелдеуімен немесе сүйемелдеуінсіз жеке әншіге, хорға арналып жазылған музыкалық шығармалар.
activity;['марш'];Марш (фр.
activity;['бородино шайқасы'];1812 жылы 24-ші маусымда Наполеон Әскері соғыс жарияламастан Ресей империясына басып кірді.
activity;['астрономиялық навигация'];Астрономиялық навигация немесе Астротүзету - космостық ұшу аппараты гиростабилизацияланған платформасының бұрыштық жағдайын жұлдыз, т.б.
activity;['әуесқойлар астрономиясы'];Әуесқойлар астрономиясы — астрономиялық объекттерді бақылау, сүретін жасау не зерттеуге негізделген хобби түрлерінің бірі.
activity;['рентген сәулелері'];Рентген сәулелерін 1895 жылы В.
activity;['диссеминация'];Диссеминация — жұқпалы ауру қоздырғышының аурудың бірінші ошағынан қан және лимфа жүйелері арқылы бүкіл организмге таралуы.
activity;['көтеріліс'];Көтеріліс - орын алған биліктерге қарсы болған табысты немесе сәтсіз бұқаралық қарсылық, әдетте революциядан айырмашылығы, билік жүйесі тиянақты шүбәге душар болмайды, және сонымен қатар төнкерістен айырмашылығы, соңында көпшілік емес, «өз адамдары» қатысады.
activity;['өздігінен ұйымдасу'];Өздігінен ұйымдасу — табиғи жүйелердегі физикалық-химиялық және биологиялық құбылыстардың қатаң бірізділігі.
activity;['жұмыссыздық жәрдемақы'];Жұмыссыздық жәрдемақы - еңбекшілерді жұмысынан айырылуына байланысты әлеуметтік қорғау нысандарынығң бірі.
activity;['тонаушылық'];Шайқас даласында өлгендер мен жараланғандардың заттарын ұрлау.
activity;['қар'];Қар — атмосферадан түсетін әр түрлі пішінді ұлпа мұз кристалдары түріндегі жауын-шашын.
activity;['бұршақ', 'бұршақ — ірілі-ұсақ'];Бұршақ — ірілі-ұсақ түйіршік мұз түрінде жауатын атмосфералық жауын-шашын.
activity;['үй тапсырмасы'];Үй тапсырмасы - сыныптағы сабақтардан кейін мұғалімнің тапсырмасы бойынша оқу және тәжірибелік жұмысты оқушының өздігінен орындайтын оку процесінің құрамдас бөлігі.
activity;['сақтық'];Сақтық – биологиялық мәнде инстинкт.
activity;['педикюр'];Педикюр-аяқтың арнайы күтімі.
activity;['маникюр'];Маникюр - қолдың тырнақтарын күту.
activity;['өлім жазасы'];Өлім жазасы – ежелден келе жатқан ең ауыр жаза.
activity;['дүркін'];Дүркін —
activity;['барлау авиациясы', 'әуе барлауы'];Барлау авиациясы— стратегиялық, майдандық және Әскери-теңіз флоты авиацияларының әскери іс-қимыл аймағы көлемінде қарсыластар туралы мәліметтер алу мақсатымен әуе барлауын жүргізуге арналған түрі.
