activity;['ᨅᨔ ᨄᨛᨑᨚᨁᨛᨑᨆᨗ', "basa ma'program", 'basa programming'];ᨅᨔ ᨄᨛᨆᨚᨑᨚᨁᨛᨑᨆ ᨕᨗᨐᨊᨑᨚ ᨅᨔᨅᨔ ᨀᨚᨇᨘᨈᨛᨑᨛ ᨊᨄᨙᨀᨕᨗ ᨄᨚᨑᨚᨁᨛᨑ ᨆᨕᨛᨅᨘ ᨄᨚᨑᨚᨁᨛᨑ ᨀᨚᨇᨘᨈᨛᨑᨛ᨞
political-geographic-object;['malaysia', 'ᨆᨒᨕᨗᨔᨗᨕ'];Malaysia iyanaritu séuwa wanua ri Asia Tenggara.
political-geographic-object;['swiss', 'ch'];Swiss asengna seddi wanua ri Eropah
political-geographic-object;['emiriyah arab bersatu'];Emiriyah Arab Bersatu éngka seddi wanua ri Asia Barat.
political-geographic-object;['united kingdom'];United Kingdom of Great Britain and Northern Ireland asengna seddi wanua ri Eropah.
political-geographic-object;['arab saudi'];Lambang Arab Saudi Arab Saudi éngka seddi wanua ri Asia Barat..
political-geographic-object;['tajikistan'];Tajikistan éngka seddi wanua ri Asia Tengah
political-geographic-object;['uzbekistan'];Uzbekistan éngka seddi wanua ri Asia Tengah.
political-geographic-object;['kazakhstan'];Kazakhstan éngka seddi wanua ri Asia Tengah.
political-geographic-object;['mongolia'];Mongolia éngka seddi wanua ri Asia Tengah.
political-geographic-object;['liverpool'];Liverpool ᨕᨗᨕᨊᨑᨗᨈᨘ ᨙᨔᨘᨕᨘᨓ ᨅᨉᨑᨐ ᨉᨗ ᨕᨛᨂᨙᨒᨛᨊ᨞
political-geographic-object;['belgia'];Belgia asengna seddi wanua ri Eropah
political-geographic-object;['pakistan'];Pakistan éngka seddi wanua ri Asia Selatan.
political-geographic-object;['austria'];Austria asengna seddi wanua ri Eropah
political-geographic-object;['laos'];Laos éngka seddi wanua ri Asia Tenggara.
political-geographic-object;['myanmar'];Myanmar éngka seddi wanua ri Asia Tenggara.
political-geographic-object;['kamboja'];Kamboja éngka seddi wanua ri Asia Tenggara.
political-geographic-object;['cannes'];Cannes iyanaritu séuwa komun ri déparetema Alpes-Maritimes ri Perancis.
political-geographic-object;['bordeaux'];Bordeaux iyanaritu séuwa komun ri déparetema Gironde ri Perancis.
political-geographic-object;['turkmenistan'];Turkmenistan éngka seddi wanua ri Asia Tengah.
political-geographic-object;['poland'];Poland asengna seddi wanua ri Eropah.
political-geographic-object;['vietnam'];Vietnam éngka seddi wanua ri Asia Tenggara.
political-geographic-object;['libya'];Libya éngka seddi wanua ri Afrika Utara.
political-geographic-object;['jerman'];Jerman asengna seddi wanua ri Eropah.
political-geographic-object;['mesir'];Mesir éngka seddi wanua ri Asia Barat dan Afrika Utara.
political-geographic-object;['aljazair'];Aljazair éngka seddi wanua ri Afrika Utara.
political-geographic-object;['india'];India éngka seddi wanua ri Asia Selatan.
political-geographic-object;['italia'];Italia asengna seddi wanua ri Eropah.
political-geographic-object;['chili'];Chili éngka seddi wanua ri Amerika Selatan.
political-geographic-object;['indonesia', 'ᨕᨗᨉᨚᨙᨊᨔᨗᨕ'];Indonesia éngka seddi wanua ri Asia Tenggara.
political-geographic-object;['ukraine'];Ukraine asengna seddi wanua.
political-geographic-object;['irak', 'iraq'];Irak éngka seddi wanua ri Asia Barat.
political-geographic-object;['korea selatan'];Korea Selatan éngka seddi wanua ri Asia Timur.
political-geographic-object;['perancis'];Perancis, aseng resmina Ripublika Perancis iyanaritu séddi wanua ri Éropa Rilaü.
political-geographic-object;['irlandia'];Irlandia asengna seddi wanua ri Eropah
political-geographic-object;['filipina'];Filipina éngka seddi wanua ri Asia Tenggara.
political-geographic-object;['oman'];Oman éngka seddi wanua ri Asia Barat.
political-geographic-object;['kuwait'];Kuwait éngka seddi wanua ri Asia Barat.
political-geographic-object;['yordania'];Yordania éngka seddi wanua ri Asia Barat.
political-geographic-object;['lebanon'];Lebanon éngka seddi wanua ri Asia Barat.
political-geographic-object;['bahrain'];Bahrain éngka seddi wanua ri Asia Barat.
political-geographic-object;['são paulo'];São Paulo iyanaritu kuta paliŋ maéga lisěna ri Brasilë énrengé kuta paliŋ maéga lisěna ri linoë.
political-geographic-object;['thailand'];Thailand éngka seddi wanua ri Asia Tenggara.
political-geographic-object;['chicago'];Chicago iyanaritu kuta paliŋ maéga lisěna ri United Statesë énrengé kuta paliŋ maéga lisěna ri linoë.
political-geographic-object;['santiago'];Santiago iyanaritu kuta paliŋ maéga lisěna ri Chilië énrengé kuta paliŋ maéga lisěna ri linoë
political-geographic-object;['valparaiso'];Valparaiso iyanaritu seddi kuta ri Chili.
political-geographic-object;['rio de janeiro'];Rio de Janeiro iyanaritu seddi kuta ri Brasilë.
political-geographic-object;['kuta new york', 'new york city'];New York iyanaritu kuta paliŋ maéga lisěna ri United Statesë énrengé kuta paliŋ maéga lisěna ri linoë.
quality;['islam'];Selleng iana séuwa agama deceng.
quality;['lotong'];Lotong ianaro bayangna objek iana dé na reflect cahaya ri laleng aga-aga gare visible spectrum.
quality;['celak'];Celak
region;['9', '0'];9
region;['12'];12
region;['6'];6
region;['5'];5
region;['10'];10
region;['3'];3 iyyé séuwa nomoro, angka, énrénngé glipe'.
region;['2'];2 iyyé séuwa nomoro, angka, éréngé glipe'.
region;['8'];8
region;['7'];7
region;['11'];11
region;['4'];4
region;['1'];1 ye naseng nomoro.
region;['esso'];Sedi esso iana sedi unit wettu samai 24 jam.
relation;['manorang'];ᨆᨊᨚᨑ ᨕᨗᨕᨊᨑᨗᨈᨘ ᨙᨔᨉᨗ ᨕᨂᨚᨒᨚ ᨑᨗᨒᨒᨛ ᨀᨚᨇᨔ᨞ ᨆᨊᨚᨑ ᨔᨗᨒᨒᨘᨊ ᨕᨛᨃ ᨑᨗᨕᨔᨛᨊ ᨄᨛᨈᨙᨕ᨞
subject;['ᨔᨕᨗᨊᨔ'];ᨔᨕᨗᨊᨔ ᨕᨗᨕᨊᨑᨗᨈᨘ ᨙᨔᨕᨘᨓ ᨄᨛᨑᨚᨙᨔᨙᨔ ᨕᨗᨒᨛᨆᨘ᨞
subject;['matematika', 'ᨆᨈᨛᨆᨈᨗᨀ'];ᨆᨈᨛᨆᨈᨗᨀ ᨕᨗᨕᨊ ᨕᨗᨒᨛᨆᨘ ᨆᨀᨗᨑᨀᨗᨑ᨞Matematika iana ilemu ma'kira-kira.
subject;['fisika', 'ᨄᨗᨔᨗᨀ'];Fisika pangissengeng Sains alang ri tanjak ammeng.
subject;['ᨅᨗᨕᨚᨒᨚᨁᨗ', 'biologi'];ᨅᨗᨕᨚᨒᨚᨁᨗ, ᨊᨕᨔᨛᨂᨗᨈᨚ ᨔᨕᨗᨊᨔ ᨅᨗᨕᨚᨒᨚᨁᨗ, ᨕᨗᨕᨊ ᨕᨗᨒᨛᨆᨘ ᨔᨕᨗᨊᨔ ᨕᨈᨘᨕᨚᨙᨕ᨞ ᨅᨗᨕᨚᨒᨚᨁᨗ ᨆᨄᨑᨗᨔ the structure, ᨁᨘᨊᨊ, growth, ᨄᨚᨙᨒᨊ, evolution, ᨔᨗᨅᨓ distribution of living things᨞ ᨕᨗᨕ classifies ᨔᨗᨅᨓ describes ᨕᨚᨑᨛᨁᨊᨗᨔᨛᨆ-ᨕᨚᨑᨛᨁᨊᨗᨔᨛᨆ, ᨕᨁ ᨁᨘᨊᨊ, ᨆᨄᨀᨘᨁ ᨔᨛᨄᨗᨔᨗᨔᨗ-ᨔᨛᨄᨗᨔᨗᨔᨗ come into existence, ᨔᨗᨅᨓ the interactions ᨕᨗᨕᨆᨊᨛ have with each other ᨔᨗᨅᨓ with the natural environment᨞ ᨕᨛᨄ unifying principles form the foundation of ᨅᨗᨕᨚᨒᨚᨁᨗ ᨆᨚᨙᨉᨑᨛ: ᨙᨈᨕᨚᨑᨗ ᨙᨔᨒᨛ, ᨙᨕᨅᨚᨒᨘᨔᨗ, ᨙᨁᨙᨊᨈᨗᨀᨛ ᨔᨗᨅᨓ ᨖᨚᨙᨆᨕᨚᨔᨛᨈᨔᨗᨔᨗ᨟
temporal-region;['ᨕᨛᨔᨚ ᨕᨖᨕᨗ', 'aaha', 'minggu', 'sabtu', 'ᨕᨕᨖ'];Esso Ahai iyye seddi esso ri olo na maneng esso e.
temporal-region;['januari'];Januari iana bulan pertama ri taun ri laleng Julian sibawa kalendar Gregorian, engka 31 esso ri laleng édé bulan.
temporal-region;['kamisi'];Kamisi iana esso nomoro lima ri laleng seddi minggu.
temporal-region;['januari'];Januari iana bulan pertama ri taun ri laleng Julian sibawa kalendar Gregorian, engka 31 esso ri laleng édé bulan.
temporal-region;['januari'];Januari iana bulan pertama ri taun ri laleng Julian sibawa kalendar Gregorian, engka 31 esso ri laleng édé bulan.
temporal-region;['rabaa'];Rabaa iana esso nomoro eppa ri laleng seddi minggu.
temporal-region;['asenéŋ', 'senin', 'ᨕᨔᨛᨙᨊ'];Asenéŋë iyanaritu aseŋna esso nomoro duwa rilaleŋ simiŋgu.
temporal-region;['salasa'];Salasa iana esso nomoro tellu, ri olona senin e sibawa ribokona rabaä.
