abstract-quality;['personalidade', 'personalidades', 'pessoa', 'temperamento'];Sentir e agir
activity;['eucaristia', 'comemoração da morte de cristo', 'ceia do senhor', 'santíssimo sacramento', 'comunhão', 'oração eucarística', 'refeição noturna do senhor', 'liturgia eucarística', 'hóstia consagrada', 'memorial da morte de cristo', 'rito da comunhão', 'sacramento da comunhão', 'santissimo sacramento', 'santa ceia', 'consagrado', 'consagração', 'partes da eucaristia', 'primeira eucaristia', 'sagrada comunhão', 'santa comunhão', 'santíssima eucaristia', 'santíssimo', 'liturgia', 'comungante', 'comungantes', 'eucarística', 'preciosíssimo sangue', 'sacramento', 'sacramento da eucaristia', 'santa eucaristia'];Sacramento cristão no qual o vinho simboliza o sangue de Jesus Cristo.
activity;['discussão', 'conflito', 'disputa', 'debate', 'conflitos de interpretação', 'controvérsia', 'discordância', 'querela', 'diferença de opinião'];Grupos, etc
activity;['batalha das termópilas', 'batalha de termópilas', 'termópilas'];Em 480 a.C.
activity;['kwanzaa'];Feriado afro-americano nos Estados Unidos
activity;['cinema western', 'western', 'bangue-bangue', 'filme de faroeste', 'filmes de faroeste', 'westerns', 'faroeste', 'cavalo ópera', 'filme ocidental'];Gênero de cinema conhecido no Brasil como bangue-bangue
activity;['futebol', 'football', 'association football', 'campo de futebol', 'futebol 11', 'futebol amador', 'futebol de campo', 'futebol de onze', 'futebol internacional', 'futebol júnior', 'futebol profissional', 'futebóis', 'ludopédio', 'ludopédios', 'passe', 'pequena área', 'regra 1', 'associação de futebol', 'acréscimos', 'de futebol', 'futebolista associação', 'nos acréscimos'];O qual é fundamentalmente practicado como os pés.
activity;['filme', 'película', 'produção', 'cena', 'fita', 'história', 'filmes', 'curta-metragem', 'longa-metragem', 'busca alucinante', 'imagens em movimento', 'imagem em movimento', 'cinema', 'cinema-show', 'de cinema', 'filme cinematográfico', 'filme teatral', 'moving picture-show', 'tela grande'];Televisão ou outro veículo audiovisual
activity;['xadrez', 'jogo de xadrez', 'xadrez clássico', 'xadrez internacional', 'xadrez ocidental', 'xadrez ortodoxo', 'arte de caíssa', 'entradas do xadrez', 'jogador de xadrez', 'xadrez na literatura', 'xadrez na música', 'xadrez no distrito de braga', 'xadrez tradicional'];Jogo de tabuleiro em linguagem alternativa
activity;['jogo de computador', 'videojogo', 'jogo electrónico', 'vídeo game', 'jogo eletrônico', 'jogo eletrónico', 'jogos de computador', 'video game', 'jogos de vídeo', 'videogame', 'jogos eletrônicos', 'videogames', 'jogo eletronico', 'computer game', 'games', 'jogo de videogame', 'jogo de vídeo', 'jogo para computador', 'jogo para computadores', 'jogo para pc', 'jogos de aventura', 'jogos de computadores', 'jogos de videogame', 'jogos electrónicos', 'jogos eletrónicos', 'jogos para computador', 'pc game', 'plataforma', 'video games', 'videojogos', 'vídeo-game', 'video-game', 'vídeogame', 'entretenimento eletrônico', 'jogo de computador pessoal', 'jogo interativo', 'jogos de computador pessoal'];Em inglês.
activity;['jogo de tabuleiro', 'jogos de tabuleiro', 'jogo tabuleiro de vídeo', 'tabuleiro'];Um tipo de jogo
activity;['hóquei no gelo', 'hóquei', 'hóquei sobre o gelo', 'hockey no gelo', 'hockey sobre gelo', 'hockey sobre o gelo', 'hóckey no gelo', 'hóquei sobre gelo', 'jogo de hóquei'];Jogado no gelo com um pequeno disco de borracha.
activity;['pé', 'pé métrico', 'pés métricos', 'unidade métrica'];Unidade básica da métrica poética.
activity;['realidade virtual', 'virtual', 'ambiente virtual', 'ambientes virtuais', 'virtuais', 'virtualidade', 'espaço virtual'];Uma tecnologia de interface avançada entre um usuário e um sistema computacional
activity;['arbitragem'];Operação de compra e venda de valores negociáveis.
activity;['asynchronous transfer mode', 'atm vcc', 'o modo de transferência assíncrono'];Protocolo de telecomunicações
activity;['jiu-jitsu', 'jujutsu', 'jiu-jítsu', 'ju-jitsu', 'jiu jitsu', 'jiujitsu', 'ju-jutsu', 'jujitsu', 'ju jitsu', 'jujutsu tradicional', 'jūjutsu', '柔術', 'kumi uchi', 'judo'];Dito "tradicional" - arte japonesa milenar
activity;['batalha de trafalgar', 'trafalgar'];Travada perto do cabo homônimo
activity;['teatro musical', 'musical', 'comédia musical', 'livro musical', 'comédias musicais', 'jogo musical', 'musicais'];Canções ou (em alguns casos) a dança.
activity;['fandango', 'fandangar', 'marujada', 'dança espanhola', 'fandangos'];Dança típica da península Ibérica
activity;['sitcom', 'comédia de situação', 'sitcoms', 'comédia situacional', 'comédias de situação', 'seriados', 'sit-com', 'série de televisão'];Tipo de série de televisão
activity;['golpe de estado', 'golpe', 'putsch', 'golpes de estado', "coup d'état", 'golpismo', 'transferência da administração', 'transferência do controle', "golpe d'etat", 'golpe de estado militar', 'golpe militar', 'golpe palaciano', 'golpes'];Uma mudança de governo súbita
activity;['bloqueio', 'bloqueio naval', 'cerco', 'bloquearam', 'bloqueios'];Acção militar de isolar de todo o contacto externo um determinado território.
activity;['aventura', 'aventureiros', 'empreendimento arriscado', 'empreendimento perigoso'];Perigosa e a realização de experiências arriscadas
activity;['ação de grupo', 'ação', 'acção', 'acção de um grupo', 'ação de grupo à direita', 'ação de grupo à esquerda', 'ação à direita', 'ação à esquerda', 'ação em grupo', 'ação do grupo', 'ações do grupo', 'coinvariant', 'espaço órbita', 'estabilizador', 'grupo isotropia', 'grupo transformação', 'simplesmente transitiva', 'subgrupo estabilizador', 'órbita', 'órbita simetria'];Definição da matemática
activity;['charleston'];Estados Unidos e Nova Zelândia.
activity;['ária', 'air', 'árias', 'aria'];Género de composição musical
activity;['olho por olho', 'tit-for-tat'];Algoritmo que soluciona o dilema do prisioneiro
activity;['bis', 'encore'];Prática de exigir o retorno de um artista após o final de sua apresentação.
activity;['atividade extraveicular', 'caminhada espacial', 'caminhadas espaciais', 'actividade extraveicular', 'aev', 'atividades extra-veiculares', 'atividades extraveiculares', 'caminhada no espaço', 'caminhadas no espaço', 'atividade extra-veicular'];Sigla em inglês: EVA (Extra-vehicular Activity)
activity;['cruzada', 'cruzada da fé', 'as cruzadas', 'cruzadas', 'cruzados', 'invasões francas', 'tomar a cruz', 'batalhas das cruzadas'];Movimento religioso-militar medieval
activity;['terceira batalha de ypres', 'batalha de passchendaele', 'terceira batalha de ipres'];Também conhecida como Passchendaele
activity;['bowling', 'boliche', 'bólingue', 'boliche tenpin', 'variedade de boliche'];Pontuação especial do jogo de boliche
activity;['malharia', 'indústria de malha', 'malha', 'malharias'];Tecido têxtil
activity;['endoscopia', 'endoscópica', 'endoscópico', 'endoscópio', 'endoscópios', 'cirurgia endoscópica'];Especialidade médica.
activity;['hóquei em campo', 'hóquei no gelo', 'hóquei sobre a grama', 'hóquei sobre grama', 'hóquei de campo', 'hóquei de grama', 'hóquei na grama', 'hóquei', 'hoquei em campo', 'hóquei das mulheres do campo'];Jogado na relva com uma bola.
activity;['isometria', 'exercício isométrico', 'isométricos'];Conceito de anatomia.
activity;['batalha de midway', 'midway', 'a batalha de midway'];Uma batalha da Segunda Guerra Mundial.
activity;['raios x', 'raio x', 'radiação x', 'raios-x', 'raio-x', 'raios röntgen', 'de raios-x geração', 'geração de raios-x', 'roentgen ray'];Radiação eletromagnéticas de natureza semelhante à luz visível
activity;['granizo', 'pedra', 'chuva de granizo', 'chuva de pedra', 'chuva de pedras', 'tempestade de granizo', 'chuva-de-pedra', 'saraiva'];Nome também utilizado para descrever o fenómeno do granizo.
activity;['execução', 'pena de morte', 'pena capital', 'execuções', 'execuções públicas', 'pena de sangue', 'penas de morte', 'uso da pena de morte por país', 'crime capital', 'executado', 'pena morte', 'punição importanta', 'condenado à morte', 'execução judicial', 'execução pública'];Sentença aplicada pelo poder judiciário que consiste na execução de um indivíduo condenado pelo Estado
activity;['resgate', 'salvamento', 'libertação', 'salvação', 'capitulação', 'desempenho', 'devolução', 'emergência', 'encalacração', 'entrega', 'redenção', 'rendição', 'livramento', 'resgatar'];Acções de extracção de vítima de local ou circunstâncias que ameacem sua vida ou saúde e dos quais a vítima não consigua evacuar-se por seus próprios meios
activity;['antídoto', 'antidoto', 'contraveneno', 'antídotos', 'counterpoison'];Substância ou mistura que neutraliza os efeitos de um veneno.
activity;['emboscada', 'tocaia', 'ataque furtivo', 'de emboscada', 'emboscadas'];Uma táctica de combate.
activity;['administração', 'gestão', 'administração de marketing', 'ciência da administração', 'ciências administrativas', 'gestão de empresas', 'gestão de mudança', 'gestão de problemas', 'sistema de gestão', 'teoria neo-estruturalista', 'adiministracionismo', 'admin', 'administracionismo', 'administrador-geral', 'administrador de empresas', 'administrador geral', 'administradora', 'administradora de empresas', 'administradores', 'administrar', 'administrativa', 'administrativo', 'administração de empresa', 'administração geral', 'dirigir', 'gestor', 'gestor de empresas', 'gestora', 'supervisão', 'teoria da administração', 'teoria geral da administração'];Ciência Social Aplicada.
activity;['tomada'];Um trecho de filme ou vídeo rodado ininterruptamente
activity;['posse', 'possessão', 'propriedade', 'proprietários'];Conceito jurídico
activity;['remo', 'aviron', 'remar', 'remos', 'double skiff', 'dois sem timoneiro', 'four skiff', 'remador', 'remadora', 'single skiff', 'remo esporte'];Modalidade desportiva
activity;['cerco', 'sítio', 'assédio', 'guerra de sítio', 'cerco militar', 'beleaguering', 'bloqueio militar', 'cercado', 'cercar', 'cercos', 'guerra de cerco', 'sitiada', 'sitiando', 'sitiar'];Método de estratégia militar também designado como sítio"
activity;['eletroconvulsoterapia', 'terapia de choque', 'terapia eletroconvulsiva', 'eletrochoque', 'terapia de eletrochoque', 'electroconvulsioterapia', 'electroconvulsivoterapia', 'eletroconvulsivoterapia', 'eletroconvulsoterpia', 'ect', 'terapia de choque elétrico', 'terapia electroconvulsiva', 'terapia eletro-choque', 'tratamento de choque elétrico'];Um tratamento psiquiátrico, também chamado Eletroconvulsoterapia.
activity;['batalha de poitiers', 'batalha de maupertuis', 'poitiers'];Travada entre a França e a Inglaterra no quadro da Guerra dos Cem Anos, a 19 de Setembro de 1356.
activity;['batalha de waterloo'];Travada nas proximidades de Waterloo (Bélgica), em 18 de Junho de 1815, entre forças francesas, britânicas, russas, prussianas, austríacas,.
activity;['dez mandamentos', '10 mandamentos', 'dez mandamentos da lei de deus', 'os dez mandamentos', 'tábuas da lei', 'dez mandamento', 'decálogo'];O decálogo bíblico que Moisés teria recebido no monte Sinai
activity;['revolução de outubro', 'revolução vermelha', 'revolução russa de 1917', 'revolução bolchevique', 'revolução de outubro de 1917', 'revolução russa de outubro de 1917', 'revolução socialista de outubro', 'revolução russa', 'outubro vermelho', 'revoluçao russa', 'revolução soviética', 'revolucao russa', 'revolução de 1917', 'revolução do grande outubro', 'revolução fevereiro de 1917'];A revolução liderada pelos bolcheviques
activity;['precipitação', 'precipitação atmosférica', 'precipitação anual', 'precipitações atmosfericas', 'precipitações atmosféricas', 'hidrometeoros'];Fenómeno meteorológico
activity;['baixo', 'base', 'bass', 'baixos', 'baixo de voz', 'basso', 'basso buffo', 'cantor baixo'];Cantor cuja especialidade são os registros mais graves da partitura
activity;['tempo', 'clima', 'estado atmosférico', 'fenómeno climático', 'fenômeno climático', 'fenômenos climáticos', 'tempo atmosférico', 'tempo climático', 'tempo meteorológico', 'condições meteorológicas', 'fenómenos meteorológicos', 'vento', 'condição atmosférica', 'condição de tempo', 'condições climáticas'];Uma designação comum para o conjunto de fenômenos meteorológicos em uma determinada região e em um determinado período
activity;['drible', 'dribles', 'drible da vaca'];Drible no futebol
activity;['revolução de fevereiro', 'revolução de fevereiro de 1917', 'revolução menchevique'];Que resultou na abdicação do czar Nicolau II
activity;['skate', 'esqueite', 'esqueitismo', 'skateboard', 'skateboarder', 'skateboarding', 'skates', 'skatismo', 'street', 'de vídeo skate', 'skatista profissional', 'skatistas', 'vídeo de skate'];Desporto que consiste em deslizar sobre o solo e obstáculos equilibrando-se em uma prancha
activity;['nomenklatura', 'nomenclatura'];A classe dirigente dos sistemas socialistas soviéticos.
activity;['correio', 'serviço postal', 'sistema postal', 'carteiro', 'serviço universal de correios', 'correio postal', 'entrega de correio', 'serviço de correio', 'serviços postais'];Para troca de informações
activity;['espionagem', 'toupeira', 'agente da inteligência', 'agente secreto', 'agentes do governo', 'agentes secretos', 'rede de espionagem'];Sem autorização destes.
activity;['guerras púnicas', 'guerra púnica', 'guerras punicas', 'a destruição de cartago'];Nome de diversos conflitos entre Cartago e a República Romana
activity;['tomografia por emissão de positrões', 'pet', 'pet - tomografia por emissão de pósitrons', 'pet scan', 'tomografia por emissão de pósitrons', 'tomografia por emissão de pósitrons - pet', 'tomografia por emissão de pósitrões', 'imagiologia pet'];Um tipo de escâner utilizado em medicina.
activity;['chuva', 'água pluvial', 'chuvas', 'chuva frontal', 'chuva de convecção', 'chuvas convectivas', 'formação da chuva', 'pluviometria', 'pluviosidade', 'precipitação pluviométrica', 'volume pluviométrico', 'tempestade', 'tempestade de chuva'];Um tipo de precipitação meteorológica (precipitação pluviométrica)
activity;['serviço'];O equivalente não-material de um bem
activity;['batalha do mar de bismarck'];Batalha da Segunda Guerra Mundial.
agentive-figure;['herói', 'herois', 'heroísmo', 'heróis', 'heroi', 'heroínas', 'heróis nacionais'];Indivíduo notável positivamente por seus feitos e/ou capacidades.
agentive-figure;['agamemnon', 'agamenon', 'agamenão', 'agamêmnon', 'agamémnon', 'agamenom', 'agamenón', 'agamênon'];Herói legendário grego
agentive-figure;['cérbero', 'hellhound', 'cerbero', 'cerberus', 'cérberos'];Guardião dos infernos
agentive-figure;['minotauro', 'minotauros', 'minotaur', 'o labirinto do minotauro'];Metade touro e metade homem
agentive-figure;['medeia', 'medéia', 'medea'];Deusa da mitologia grega
agentive-figure;['cila', 'scylla', 'scila', 'scyla', 'skylla'];Criatura da mitologia grega.
agentive-figure;['amazonas', 'amazona', 'amazonas na mitologia grega', 'mulheres amazonas'];Mulheres integrantes de uma nação de guerreiras da mitologia grega
agentive-figure;['ciclope', 'cíclope', 'ciclopes', 'ciclops', 'cíclopes', 'cyclops'];Um ser mitológico de apenas um olho.
agentive-figure;['electra', 'elektra'];Filha de Agamemnon e Clitemnestra
agentive-figure;['antígona', 'antigoné'];Filha de Édipo e Jocasta. exemplo de amor fraternal
agentive-figure;['jasão', 'jason'];Líder dos argonautas
agentive-figure;['eurídice', 'eurydice'];A ninfa e esposa de Orfeu, porque quem ele desceu ao Hades
agentive-figure;['troll', 'trol', 'trolls', 'throll'];Uma figura mitológica
agentive-figure;['gráfica', 'tipografia', 'empresa de artes gráficas', 'casa de impressão', 'empresa de impressão', 'impressora', 'impressora livro', 'negócio de impressão', 'preocupação impressão'];A parte mais externa, o revestimento duma impressão gráfica.
agentive-figure;['sherlock holmes', 'joseph bell', 'sherlock homes', 'sherringford holmes', 'holmesianismo', 'mycroft james holmes', 'holmes'];Detetive fictício criado por Arthur Conan Doyle.
agentive-figure;['agência reguladora', 'agências reguladoras', 'reguladora', 'agencia reguladora', 'autoridade reguladora', 'regulador'];Uma agência governamental ou autarquia especial responsável por realizar regulação
agentive-figure;['huckleberry finn', 'huck finn'];Personagem de livros de Mark Twain
agentive-figure;['lobisomem', 'licantropo', 'lobisomens', 'licântropo', 'lobisome', 'loup garou', 'lycanthrope', 'werewolf', 'loup-garou', 'licantropos', 'licantrópica', 'vârcolac', 'wolfman'];Ser lendário que pode se transformar em lobo.
agentive-figure;['odisseu', 'ulisses', 'odysseus'];O mito grego representado na Odisseia
agentive-figure;['eneias', 'enéias', 'aeneas', 'enéas'];Personagem da mitologia grega
agentive-figure;['nação', 'estado', 'país', 'estado soberano', 'povo', 'república', 'terra', 'teoria constitutiva do estado', 'pais', 'teoria constitutiva dos estados', 'estado moderno', 'estado nacional', 'estados', 'estados nacionais', 'estatal', 'instituições públicas', 'país independente', 'gente', 'países', 'união', 'corpo político', 'estados soberanos', 'governamentais', 'nacional', 'nações', 'res publica', 'sociedade política', 'teoria declarativa de um estado', 'teoria declarativa do estado'];Organização política de um país
agentive-figure;['serviço de proteção ao crédito', 'bureau de crédito', 'agências de crédito', 'consumidor relata a agência de crédito'];Banco de dados com informações de pessoas físicas e jurídicas com inadimplências no comércio
agentive-figure;['ku klux klan', 'kkk', 'klansman', 'klan'];Organização racista dos Estados Unidos
agentive-figure;['força-tarefa', 'força tarefa', 'força operacional', 'grupo-tarefa', 'grupo operacional', 'grupo tarefa', 'uma', 'unidade tarefa'];Uma unidade militar criada para um trabalho temporário.
agentive-figure;['fausto', 'henrique fausto', 'doutor fausto', 'madrugada dos trapeiros'];Personagem literário
agentive-figure;['comando', 'comandos'];Tropa de elite pertencente a uma das forças armadas.
agentive-figure;['nasa', 'national aeronautics and space administration', 'administração nacional de aeronáutica e espaço', 'agência espacial americana', 'n.a.s.a', 'da nasa', 'nasa a'];A agência especial dos Estados Unidos da América
agentive-figure;['pandora', 'pandóra', 'boceta de pandora'];Personagem da mitologia da Grécia Antiga
agentive-figure;['aladim', 'aladim e a lâmpada maravilhosa', 'aladdim', 'aladin', 'aladino', 'aladdin'];Personagem do clássico literário árabe As Mil e Uma Noites
agentive-figure;['islã', 'islão', 'islame', 'islamismo', 'civilização islâmica', 'cronologia do islão', 'mitologia islâmica', 'fé muçulmana', 'islam', 'islamistas', 'islamização', 'islâmica', 'islâmicas', 'islâmico', 'islâmicos', 'lugares sagrados do islamismo', 'maometismo', 'muçulmanismo', 'os cinco pilares do islamismo', 'religião islâmica', 'religião muçulmana', 'fé islâmica', 'islami', 'islã militante'];Conhecido como Idris (em árabe | língua árabe | árabe: إدريس).
agentive-figure;['sobrenatural', 'sobrenaturais', 'ocultismo', 'oculto', 'fenômenos sobrenaturais', 'poderes sobrenaturais'];Fenômeno não explicado pela ciência
agentive-figure;['tom sawyer'];Personagem dos livros de Mark Twain
agentive-figure;['departamento de justiça dos estados unidos', 'departamento de justiça dos estados unidos da américa', 'departamento de justiça dos eua', 'united states department of justice', 'justiça', 'departamento de justiça', 'doj'];Departamento executivo federal dos Estados Unidos responsável pela aplicação da lei e pela administração da justiça
agentive-figure;['dom quixote', 'd. quixote', 'dom quixote de la mancha', 'don quixote de la mancha', 'd. quixote de la mancha', 'don quixote', 'don quijote de la mancha', 'dom-quixote'];O livro escrito por Miguel de Cervantes
agentive-figure;['o cid', 'el cid', 'rodrigo dias de bívar', 'rodrigo dias de vívar', 'rodrigo diáz', 'rodrigo díaz de bívar', 'rodrigo díaz de vívar', 'rui dias de bívar', 'rui dias de vívar', 'rui díaz de bívar', 'rui díaz de vívar', 'ruy dias de bívar', 'ruy dias de vívar', 'ruy díaz de bívar', 'ruy díaz de vívar', 'cid campeador', 'el cid campeador', 'rodrigo días de vivar', 'rodrigo díaz de vivar'];Herói espanhol cujo nome era Rodrigo Días de Vivar
agentive-figure;['grifo', 'grifos', 'griffin', 'gryphon'];Um animal fabuloso, com cabeça, bico e asas de águia e corpo de leão
agentive-physical-object;['servidor', 'host', 'anfitrião', 'hospedeiro', 'servidor de rede', 'servidores', 'server', 'servidor de internet', 'servidores de internet', 'computador host', 'computador servidor', 'host da internet', 'servidor de computador', 'sistema sem cabeça'];Host é qualquer máquina ou computador conectado a uma rede.
agentive-physical-object;['cardamine pratensis', 'cardamine pratensis subsp. pratensis', 'agrião-dos-prados', 'cardamina', 'flores de cuco', 'agrião prado', 'blusa da senhora', 'flor cuco', 'flor de cuco'];Cardamine pratensis
agentive-physical-object;['dandie dinmont terrier', 'dandie dinmont'];Raça canina
agentive-physical-object;['oenothera biennis', 'prímula comum', 'rampion alemão', 'óleo de prímula'];Espécie vegetal da família Onagraceae
agentive-physical-object;['morugem', 'stellaria media', 'esparguta', 'merugem', 'morugem-branca', 'morugem-verdadeira', 'morugem-vulgar', 'morugem branca', 'morugem verdadeira', 'morugem vulgar', 'chickweed comum'];Stellaria media-o mesmo que morugem ou morrião-dos-passarinhos.
agentive-physical-object;['carvalho', 'quercus', 'quercíneas', 'carvalho-vermelho', 'carvalho americano', 'árvores de carvalho'];Nome comum de várias árvores do género Quercus
agentive-physical-object;['foguete', 'propulsão de foguete', 'motor de foguete', 'motor foguete', 'propelentes de foguetes', 'foguete químico', 'foguetes', 'motores de foguete'];Baseada na expulsão de gases de combustão em alta pressão
agentive-physical-object;['girino', 'girinos', 'pollywog'];Caudados (salamandras) e ápodes
agentive-physical-object;['animal', 'criatura', 'fauna', 'animalia', 'besta', 'ser', 'animalesco', 'bestial', 'bruto', 'cavalgadura', 'flora', 'organismo', 'criança', 'reprodução animal', 'vida animal', 'animais', 'reino animal', 'reino animallia', 'animais selvagens', 'animais silvestres', 'animal selvagem', 'bicho', 'animar sendo', 'epifauna', 'epifaunal', 'infauna', 'macrofauna', 'metazoários'];Reino da natureza
agentive-physical-object;['planta', 'flora', 'plantae', 'espécies vegetais', 'vida das plantas', 'floras', 'classificação das plantas', 'plantas', 'reino plantae', 'vegetal', 'controle das plantas', 'metaphita', 'metaphyta', 'metáfita', 'reino metaphyta', 'reino vegetal', 'vegetais', 'vegetais verdes', 'vida vegetal', 'espécies de plantas'];Conjunto das espécies de plantas
agentive-physical-object;['anfisbena', 'blanus strauchi strauchi', 'cobra de duas cabeças', 'amphisbaena fuliginosa', 'amphisbaenia', 'amphisbaenidae', 'anfisbênias', 'cobra-de-duas-cabeças', 'cobras-de-duas-cabeças', 'ibijara', 'rei-das-formigas', 'rei das formigas', 'ibicara', 'ubijara', 'lagarto minhoca', 'anfisbenas'];Répteis também chamados "cobra de duas cabeças"
agentive-physical-object;['caixa automático', 'caixa eletrônico', 'caixa automática', 'automated teller machine', 'caixa electrónico', 'caixas eletrônicos', 'terminal bancário', 'bancomat', 'caixa eletronico', 'máquina de caixa automático', 'automated teller', 'automatic teller machine', 'caixas automáticas', 'caixas automáticos', 'terminal'];Dispositivo eletrônico que permite que clientes de um banco retirem dinheiro.
agentive-physical-object;['limoeiro', 'limão', 'citrus limon', 'citrus × limon', 'limão siciliano', 'limões', 'limeira'];A fruta
agentive-physical-object;['são bernardo', 'são-bernardo', 'st. bernardshund', 'bernhardiner', 'cão de são bernardo'];Raça canina
agentive-physical-object;['árvore', 'árvores', 'arvore', 'arbóreo', 'dendrolatria', 'árvove', 'mudas'];Um tipo de planta
agentive-physical-object;['vírus ebola', 'zaire ebolavirus', 'ebola', 'ebolavírus zaire', 'ebov', 'vírus ébola', 'o vírus ebola'];Anteriormente designado Ebolavírus Zaire, responsável pela maioria dos casos da doença por vírus Ébola em seres humanos.
agentive-physical-object;['asno-selvagem-africano', 'equus africanus', 'burro-selvagem-africano', 'burro selvagem africano', 'asno-da-somália'];Espécie de asno nativa da África que deu origem a três subespécies
agentive-physical-object;['galo', 'galos', 'pintainho', 'galinha'];Comumente tratado como um animal heráldico.
agentive-physical-object;['marta', 'martes', 'marta gato'];Um mustelídeo
agentive-physical-object;['peixe-lua', 'mola', 'peixe lua', 'acanthosoma carinatum', 'aledon', 'aledon capensis', 'cephalus brevis', 'cephalus ortagoriscus', 'diodon nummularis', 'diplanchias', 'diplanchias nasus', 'mola rotunda', 'molacanthus', 'molacanthus pallasii', 'orthragoriscus alexandrini', 'orthragoriscus redi', 'orthragoriscus retzii', 'orthragoriscus rondeletii', 'orthragus', 'ozodura', 'ozodura orsini', 'pallasina', 'pallasina pallasi', 'pedalion', 'trematopsis', 'tympanomium', 'tympanomium planci', 'mola mola', 'aledon storeri', 'cephalus pallasianus', 'diodon carinatus', 'diodon mola', 'mola aculeata', 'mola aspera', 'orthragoriscus analis', 'orthragoriscus blochii', 'orthragoriscus elegans', 'orthragoriscus fasciatus', 'orthragoriscus ghini', 'orthragoriscus hispidus', 'orthragoriscus mola', 'orthragus luna', 'orthragus mola', 'pallasina hispida', 'pedalion capensis', 'pedalion gigas', 'tetraodon mola', 'trematopsis willugbei', 'headfish', 'oceano sunfish'];De peixes
agentive-physical-object;['rorippa palustris', 'agrião amarelo', 'pântano agrião', 'rorippa islandica'];Rorippa palustris
agentive-physical-object;['salsa', 'petroselinum crispum', 'cheiro-verde', 'salsinha', 'cheiro verde', 'perrexil'];Usada como tempero
agentive-physical-object;['pittidae', 'pitta'];Género de aves passeriformes
agentive-physical-object;['carvão', 'fungos smut', 'smut', 'smut fungo'];Sobretudo Ustilaginomycetes, que infestam culturas de cereais e outras plantas.
agentive-physical-object;['ave-do-paraíso', 'ave do paraíso', 'paradisaeidae', 'paradisaeini', 'aves do paraíso', 'bird of paradise'];Um gênero de aves
agentive-physical-object;['salgueiro', 'salix', 'salso', 'vimeiro', 'salgueiros'];Planta também conhecida como vimeiro
agentive-physical-object;['samambaia', 'feto', 'pteridófitas', 'polypodiophyta', 'fetos leptosporangiados', 'omun', 'polypodium lepidopteris', 'samambaia-de-poço', 'samambaia de poço', 'lygodium polimorphm', 'lygodium polimorphm, schyzacaceae', 'pterophyta', 'pteridologist', 'pteridology'];Planta pteridófita
agentive-physical-object;['peixe-gato', 'bagre', 'siluriformes', 'bagres', 'peixe gato', 'siluriforme', 'peixes siluriformes'];Um gênero de peixes e suas várias espécies.
agentive-physical-object;['azaléia', 'azálea', 'azaleia', 'azaléa', 'azalea', 'rhododendron indicum', 'azaléias'];A planta
agentive-physical-object;['briófitas', 'bryophyta sensu lato', 'planta avascular', 'briófita', 'avasculares', 'planta não-vascular', 'planta não vascular', 'bryophyte', 'plantas mais baixas', 'plantas não-vasculares'];Os antoceros e as hepáticas.
agentive-physical-object;['búzio', 'cowry', 'buzio', 'caracóis marinhos', 'cauri', 'búzios', 'cowrie', 'cypraea', 'cowry shell', 'shell cowry'];Designação comum a alguns gastrópodes marinhos
agentive-physical-object;['thuja', 'tuia', 'pinheiro-de-cemitério', 'pinheiro de cemitério', 'árvore-da-vida', 'arborvitae'];Em especial de Thuja occidentalis
agentive-physical-object;['brahman', 'bos indicus', 'brâman'];Raça bovina
agentive-physical-object;['abutre', 'abutre-do-velho-mundo', 'abutre do velho mundo', 'abutres do velho mundo', 'os abutres do velho mundo'];Nome vulgar dado a algumas aves falconiformes.
agentive-physical-object;['daphne', 'dafne'];Notável pelo perfume de suas flores e seus frutos venenosos.
agentive-physical-object;['bougainvillea', 'buganvília', 'buganvile', 'primavera', 'tricycla', 'buganvílias'];Flor também conhecida como "três-marias".
agentive-physical-object;['rorippa nasturtium-aquaticum', 'agrião', 'nasturtium officinale', 'agriões', 'sisymbrium nasturtium-aquaticum', 'mastruço'];Ou agrião-do-rio.
