abstract-region;['бином'];Бином, эки мүчө — алгебралык эки туюнтманын суммасы же айырмасы.
agentive-physical-object;['флора', 'өсүмдүктөр', 'өсүмдүк', 'plantae'];Өсүмдүк
agentive-physical-object;['флора', 'өсүмдүктөр', 'өсүмдүк', 'plantae'];Флора (лат.
agentive-physical-object;['компютер', 'көмпүтер', 'ээм'];Көмпүтер-Көмпүтөр
agentive-physical-object;['автомат', 'робот'];Автомат
agentive-physical-object;['бадыраң'];Бадыраң - ашкабактар тукумундагы бир же көп жылдык чөп өсүмдүк.
agentive-physical-object;['бир үлүштүү өсүмдүктөр'];Бир үлүштүү өсүмдүктөр - лилиопсиддер урук түйүлдүгүндө бир гана урук үлүшү бар жабык уруктуу өсүмдүктөр классы.
agentive-physical-object;['козу карындар', 'fungi'];Козу карындар — тирүү организмдердин чоң тобу. жөнөкөй түзүлүштүү, хлорофиллсиз, тез өсүүчү, фотосинтези жок, даяр органикалык заттарга муктаж, осмотрофтуу гетеротроф организмдер.
agentive-physical-object;['гүл'];Математика — кандайдыр бир ааламдын сандык катнаштары менен кеңиштиктик формалары, анын ичинде — структуралар, өзгөрүштөр, белгисиздик жөнүндөгү илим.
agentive-physical-object;['дайыма жашыл өсүмдүктөр'];Дайыма жашыл өсүмдүктөр – жалбырагы жыл бою түшпөй турган өсүмдүктөр.
agentive-physical-object;['уйбеде', 'жоңгучка'];Уйбеде – чанактуу өсүмдүктөр тукумундагы бир, эки жана көп жылдык өсүмдүк.
agentive-physical-object;['мышык тамыр'];Мышык тамыр — СССРдин бардык райондорунда кеңири таралган.
agentive-physical-object;['бир жылдык өсүмдүктөр'];Бир жылдык өсүмдүктөр - бир жыл ичинде же вегетация мезгилинде тиричилик циклин бүтүрүүчү чөп өсүмдүктөрү.
