abstract-quality;['самоличност', 'индивидуалност', 'лична', 'идентичност'];Качества, възможности, способности на човек, група лица за осъществяване на нещо.
agentive-physical-object;['белуга', 'delphinapterus leucas', 'delphinapterus', 'белуги', 'белуга китове', 'бял кит', 'кит белуга'];Крайна, извънредна или прекалена степен на нещо.
agentive-physical-object;['дебелорог овен', 'ovis canadensis', 'снежен овен', 'канадски снежен овен', 'бигхорн овце', 'rocky mountain бигхорн', 'rocky mountain овце', 'биг хорн овце'];Неподвижна преграда, конструкция от различен материал (дъски, желязо, тел, камък, тухли, жив плет и др.), която служи за ограждане и отделяне на някакво място от останалото околно пространство, за да го пази и да няма достъп до него.
amount-of-matter;['технеций', 'техне́ций', 'tc', 'мазурий', 'атомен номер 43'];Изключително голям, пълен неуспех или поражение, обикновено в политическия или обществения живот.
amount-of-matter;['тантал', 'танта́л', 'ta', 'атомен номер 73', 'благодаря'];Машина за пробиване на дупки в метал, дърво, камък и под. чрез въртене на режещ инструмент.
amount-of-matter;['тантал', 'танта́л', 'ta', 'атомен номер 73', 'благодаря'];Системно физическо обучение, състоящо се от множество повторения.
amount-of-matter;['тантал', 'танта́л', 'ta', 'атомен номер 73', 'благодаря'];(военно) Подготовка на войниците по отношение на маршируване и боравене с оръжие.
amount-of-matter;['течен кристал', 'течни кристали', 'nematic', 'smectic'];Равнинна фигура или предмет с лъчевидна форма, която се използва като знак в печата.
amount-of-matter;['алкохол'];Способност да се насочва и задържа съзнанието на човека към обект, явление, действие, основана на интерес или необходимост нещо да се научи, разбере, осъзнае.
amount-of-matter;['цирконий', 'цирко́ний', 'zr', 'атомен номер 40'];Актьор, който дублира друг в театрална постановка или филм.
amount-of-matter;['цирконий', 'цирко́ний', 'zr', 'атомен номер 40'];Човек, който много или напълно прилича на някой друг.
amount-of-matter;['цирконий', 'цирко́ний', 'zr', 'атомен номер 40'];Който е два пъти по-голям.
amount-of-matter;['ръдърфордий', 'курчатовий', 'rutherfordium', 'unnilquadium', 'unq', 'атомен номер 104', 'елемент 104'];Предварително, пробно изпълнение на театрална пиеса, концерт и др. за разучаване и усъвършенстване.
amount-of-matter;['талий', 'та́ллий', 'tl', 'атомен номер 81'];Вид хазартна игра, при която се разиграват парични или предметни награди по предварително продадени билети с номера и буквена серия.
amount-of-matter;['талий', 'та́ллий', 'tl', 'атомен номер 81'];Образи и чувства, които се появяват в съзнанието на човек, когато спи.
amount-of-matter;['талий', 'та́ллий', 'tl', 'атомен номер 81'];Твърди частици от пръст, тиня, пясък, които се натрупват от вятъра, водните течения или от придвижването на ледниците.
amount-of-matter;['течност'];Сглобяване, свързване на отделни елементи или части на машини, инсталации и под., за да бъдат готови за работа, експлоатация.
amount-of-matter;['течност'];Заводско транспортно съоръжение във вид на непрекъснато движеща се затворена лента за пренасяне на товари, материали или части, детайли и др. за обработка, сглобяване и пр.
amount-of-matter;['течност'];Уверено, категорично и настоятелно изказана мисъл, съждение.
amount-of-matter;['диспросий', 'диспро́сий', 'dy', 'диспрозий', 'dysprosium', 'атомен номер 66'];Силата, с която едно тяло натиска предметите под или около него.
amount-of-matter;['диспросий', 'диспро́сий', 'dy', 'диспрозий', 'dysprosium', 'атомен номер 66'];Лице с най-високата научна и образователна степен.
amount-of-matter;['родий', 'ро́дий', 'rh', 'атомен номер 45'];Първоначален, груб и неокончателен вариант на текст, чертеж и под., който подлежи на поправка, редактиране и преписване на чисто.
biological-object;['метакарпофалангеална става', 'metacarpophalangeal', 'metacarpophalangeal съвместен', 'metacarpophalangeal съвместно', 'глезена', 'джолан'];Теория за методите на научно изследване в някоя частна дисциплина или област на знанието.
biological-object;['делтовиден мускул', 'musculus deltoideus', 'делтоидния мускул', 'deltoideus', 'deltoids', 'делтовиден', 'хвърчило'];Редица от заловени, скачени една за друга метални, обикновено железни, брънки.
biological-object;['черен дроб', 'черния дроб'];Умението да се разбира действителността чрез личен опит.
biological-object;['черен дроб', 'черния дроб'];Информация, обикновено за важни и актуални неща, която се казва на някого.
biological-object;['черен дроб', 'черния дроб'];Разумна цел, разумно оправдание, основание на нещо.
biological-object;['черен дроб', 'черния дроб'];Определено желание, замисъл или план за нещо, което следва да се извърши.
biological-object;['черен дроб', 'черния дроб'];Място в интернет, на което има информация за различни неща.
cognitive-modal-description;['догматизъм', 'фанатизъм'];Пари, парични средства във владение, разпореждане, управление на държава, предприятие, колектив или отделно лице.
cognitive-modal-description;['догматизъм', 'фанатизъм'];(право) Решение на съд, с което завършва едно дело и в което се определя вината и наказанието.
course;['припадане', 'deliquium', 'припадам', 'припадна', 'припадък', 'синкоп', 'слаб'];Възможност нещо да се прави, основана на знание и опит.
course;['лунно затъмнение', 'лунни затъмнения'];Начин, по който някой говори, характеризиращ се със специфични особености в произношенето, употребата на думите и техните форми.
course;['лунно затъмнение', 'лунни затъмнения'];Процес на отделяне на бебето от майката.
functional-matter;['цирконий', 'цирко́ний', 'zr', 'атомен номер 40'];Актьор, който дублира друг в театрална постановка или филм.
functional-matter;['цирконий', 'цирко́ний', 'zr', 'атомен номер 40'];Човек, който много или напълно прилича на някой друг.
functional-matter;['цирконий', 'цирко́ний', 'zr', 'атомен номер 40'];Който е два пъти по-голям.
functional-matter;['гулаш', 'gulyas', 'унгарски гулаш'];Равнинна фигура или предмет с лъчевидна форма, която може да се използва и като емблема.
functional-matter;['обяд месо', 'консерва от мляно месо'];Движение в посока надолу.
functional-matter;['заплетен бор'];Помещение или сграда за продажба на стоки.
geographical-object;['кюшу', 'kyushū', 'киу сиу', 'киу шиу', 'кюсю', 'кюшю'];Състояние на устойчиво съотношение между противоположни страни, стойности, съставни части на нещо (явление, процес и под.).
geographical-object;['кюшу', 'kyushū', 'киу сиу', 'киу шиу', 'кюсю', 'кюшю'];Окончателна обща сметка, представяща съотношението между приходи и разходи.
geographical-object;['кюшу', 'kyushū', 'киу сиу', 'киу шиу', 'кюсю', 'кюшю'];Стройна съгласуваност между частите на дадена цялост.
information-encoding-system;['говор', 'начин на говорене'];Постигнат, спечелен напредък в някаква дейност, област и под.
information-encoding-system;['говор', 'начин на говорене'];Запис на описания на отминали събития.
information-object;['двубърнена съгласна', 'билабиална съгласна', 'двубърнест', 'двубърнест съгласна'];Предмети, изделия от метала XXXсреброXXX.
information-object;['течни съгласни', 'течност съгласна'];Дейността по преценка за достойнствата и недостътъците, качествата, характера на някого или нещо.
information-object;['течни съгласни', 'течност съгласна'];Положително качество, превъзходство в сравнение с други.
information-object;['la', 'lah'];Израз, изречение, с които говорещият иска, настоява да получи информация, да се попълни знанието му в дадено отношение.
information-realization;['обикновен шев', 'плета бод'];Силно, ярко блестене без пламък.
information-realization;['demisemiquaver', 'тридесет и втора нота'];Създаване, въвеждане на нова организация, на преобразувания в нещо с цел подобрения.
information-realization;['lisp програма'];Свещената книга на християнството - сборник от древни текстове, канонизирани от религиозните традиции на юдаизма и християнството, включващи Стария и Новия завет.
information-realization;['плетката'];Човек, който възприема нещо чрез сетивата си.
information-realization;['демо', 'демонстрация'];Времето, през което някой монарх управлява, властва.
information-realization;['идиом', 'идиоматичен израз', 'phrasal идиом', 'идиоми', 'настроите фраза'];Електроакустичен апарат, свързан с радио или радиоуредба, който служи за възпроизвеждане на по-силен звук на говор, музика и други звукове.
information-realization;['идиолект', 'idiolect'];Човек, който пази някого или нещо.
language;['kuvi'];Тясна гранична ивица земя край вода (река, море, езеро и др.).
language;['койне', 'koinê'];Действието да се осигури нещо.
language;['кюрдски езици', 'кюрдски език', 'кюрдски', 'северен кюрдски диалект', 'централен кюрдски диалект', 'южен кюрдски диалект'];Висока степен на развитие на човешкото общество, с развито изкуство, наука, управление, религия и др.
language;['готическа архитектура', 'готическата архитектура', 'готически', 'готически катедрали', 'готически стил'];Широка последователност, съвкупност от взаимно свързани качества, идеи, прояви и др.
language;['готическа архитектура', 'готическата архитектура', 'готически', 'готически катедрали', 'готически стил'];Гласно, устно изказване, изричане на нещо.
locative-role;['киото'];Кожена или платнена торбичка с различна форма, големина и предназначение (за дамски принадлежности, книги, храна при пътуване, багаж и др.).
locative-role;['киото'];Провоъгълно приспособление от здрав материал (кожа, дебела мукава, плат и др.) с капак, дъно и дръжка, предназначено за носене на багаж при пътуване.
locative-role;['делхи', 'délhi', 'дели', 'национална столична територия делхи', 'shahjahanbad', 'стария делхи'];Цилиндричен боеприпас, който се изстрелва от оръдие, а не се самозадвижва.
locative-role;['лунд', 'lund'];Отделна,относително самостоятелна, обикн. малка, дребна или незначителна съставна част от нещо, от някакво цяло.
locative-role;['лунд', 'lund'];Относително самостоятелна, обикновено малка, дребна съставна част от нещо.
locative-role;['лунд', 'lund'];Полицейски служител или частно лице, което издирва, разследва престъпления и заплетени случаи.
locative-role;['лунд', 'lund'];Уред за откриване и регистриране на определени физични явления (топлина, светлина, радиация и др.) в околната среда.
locative-role;['женева', 'geneve', 'genf'];Телекомуникационна система за предаване и приемане на картина, образ и звук на разстояние с помощта на радиоелектронни устройства.
locative-role;['лаборатория', 'лабораторна техника', 'изследователски център', 'лаборато́рия', 'научната лаборатория', 'science laboratory', 'изследователска институция', 'изследователска лаборатория', 'изследователски институти', 'лаборатории', 'лабораторно оборудване'];Мъж, който се отличава с вежливост, изисканост, финес и изтънчени обноски.
locative-role;['labrador', 'лабрадор'];Архитектурно-строителен елемент, обикновено каменен, във форма на дъга над отвор (проход) в стена или на открито между две опори (колони).
non-agentive-physical-object;['черния дроб място'];Предложение (писмено или устно) към някого да направи нещо, да участва в нещо, да посети някого, нечий дом.
non-agentive-physical-object;['бикини панталони'];Малък преносим, ръчен осветителен прибор, захранван с електрически батерии.
non-physical-collection;['призрак', 'призраци'];Вземам, получавам нещо, което ми се дава, предлага.
non-physical-collection;['призрак', 'призраци'];Излагам някого или себе си на риск, предприемам нещо, свързано с риск с надежда за благоприятен изход.
non-physical-collection;['призрак', 'призраци'];Произнасям име, напомням, отварям дума.
non-physical-collection;['призрак', 'призраци'];Правя реклама на нещо, изброявам, изтъквам положителните му качества, за да стане по-продаваемо.
non-physical-collection;['готическа архитектура', 'готическата архитектура', 'готически', 'готически катедрали', 'готически стил'];Широка последователност, съвкупност от взаимно свързани качества, идеи, прояви и др.
non-physical-collection;['готическа архитектура', 'готическата архитектура', 'готически', 'готически катедрали', 'готически стил'];Гласно, устно изказване, изричане на нещо.
phenomenon;['течност', 'течно състояние', 'течности', 'течна фаза', 'течната'];Гледна точка, начин, по който се възприемат или разглеждат нещата, явленията.
phenomenon;['течност', 'течно състояние', 'течности', 'течна фаза', 'течната'];Насочено срещу някого или нещо действие за физическо насилие, унищожаване, ограбване и под.
phenomenon;['течност', 'течно състояние', 'течности', 'течна фаза', 'течната'];Насилствено принуждаване на жена да извърши полово сношение.
phenomenon;['течност', 'течно състояние', 'течности', 'течна фаза', 'течната'];Нападение, в което нападателят влиза в пряк физически контакт с нападнатия, като му причинява болка, страдание.
phenomenon;['течност', 'течно състояние', 'течности', 'течна фаза', 'течната'];Събиране на множество хора за обсъждане на някакъв въпрос, вземане на решение и др.
physical-object;['мотоциклет', 'мотоцикле́т', 'мотоциклети', 'мотор'];Самата риба или част от нея, използвана като храна.
physical-object;['мотоциклет', 'мотоцикле́т', 'мотоциклети', 'мотор'];Правоъгълно парче плат с определен цвят или цветове, служещо като емблема на държава или организация.
physical-object;['джойстик', 'контролния лост', 'лост за управление на самолет', 'джойстици', 'стик'];Най-добър, съвършен образец на нещо.
physical-object;['спермата банка'];Име на книга, статия, музикално произведение и под., което се изписва в началото.
physical-object;['gothic арх', 'готическа арка'];Градински зеленчук с тъмнозелени широки листа, който се използва за готвене и в суров вид за салата.
physical-object;['ликьор стъкло'];Сив лек прах, който остава от нещо изгоряло.
physical-object;['контрол прът'];Израз на съжаление за някакво провинение, за причинен проблем на някого.
physical-object;['камшик'];Лице, което се занимава с търговия.
physical-object;['спермицид', 'spermatocide'];Дреха, която се простира от раменете до талията.
physical-object;['възел', 'връзване', 'възела'];Лице, в полза на което се сключва даден договор или възникват права по дадена правна сделка.
physical-object;['възел', 'връзване', 'възела'];Едра домашна птица с ветрилообразна опашка, чието месо се използва за храна.
physical-object;['капкоотражател'];Възстановяване на състоянието на нещо в неговия предишен вид.
physical-object;['бикини панталони'];Малък преносим, ръчен осветителен прибор, захранван с електрически батерии.
physical-object;['контролния център'];Относително постоянно състояние на тревожност, нервност, загриженост за някого или нещо, срещащи се в различни психични разстройства, обикновено придружени от натрапчиво поведение или пристъпи на паника.
political-geographic-object;['киото'];Кожена или платнена торбичка с различна форма, големина и предназначение (за дамски принадлежности, книги, храна при пътуване, багаж и др.).
political-geographic-object;['киото'];Провоъгълно приспособление от здрав материал (кожа, дебела мукава, плат и др.) с капак, дъно и дръжка, предназначено за носене на багаж при пътуване.
political-geographic-object;['делхи', 'délhi', 'дели', 'национална столична територия делхи', 'shahjahanbad', 'стария делхи'];Цилиндричен боеприпас, който се изстрелва от оръдие, а не се самозадвижва.
political-geographic-object;['лунд', 'lund'];Отделна,относително самостоятелна, обикн. малка, дребна или незначителна съставна част от нещо, от някакво цяло.
political-geographic-object;['лунд', 'lund'];Относително самостоятелна, обикновено малка, дребна съставна част от нещо.
political-geographic-object;['лунд', 'lund'];Полицейски служител или частно лице, което издирва, разследва престъпления и заплетени случаи.
political-geographic-object;['лунд', 'lund'];Уред за откриване и регистриране на определени физични явления (топлина, светлина, радиация и др.) в околната среда.
political-geographic-object;['женева', 'geneve', 'genf'];Телекомуникационна система за предаване и приемане на картина, образ и звук на разстояние с помощта на радиоелектронни устройства.
political-geographic-object;['луизиана', 'louisiana', 'пеликан членка'];Желязна или дървена пръчка с извит и заострен край, на която се окача нещо или с която се закача нещо.
political-geographic-object;['луизиана', 'louisiana', 'пеликан членка'];Твърда част във вътрешността на някои плодове (напр. череша, слива, праскова, кайсия), където се намира семето, ядката.
political-geographic-object;['луизиана', 'louisiana', 'пеликан членка'];Състоянието да останеш жив.
political-geographic-object;['луизиана', 'louisiana', 'пеликан членка'];Човек (но може да бъде група хора или организация), който мрази някого или нещо и действа, води борба срешу него.
political-geographic-object;['куала лумпур', 'kuala lumpur', 'куала лампур'];Проверка и преценка на знанията на ученик, студент и под. върху определен учебен материал, извършвана обикновено от комисия.
political-geographic-object;['любляна', 'любля́на', 'лайбах'];Гражданин, който има законно право да гласува при избори.
political-geographic-object;['любляна', 'любля́на', 'лайбах'];Изходни клеми на електрическо устройство, служещи за отнемане на елктрическата величина, преобразувана чрез устройството..Край на електрическа верига, проводник, който довежда електрическия ток до електроуредите.
political-geographic-object;['любляна', 'любля́на', 'лайбах'];Уред, чрез който се спира или пуска ток по веригата.
political-geographic-object;['любляна', 'любля́на', 'лайбах'];Качество, свойство на телата, предметите да предизвикват определени зрителни усещания в зависимост от характера на излъчваната или отразявана от тях светлина.
quality;['crotchetiness', 'раздразнителност', 'сръдливост'];Неголяма сума, която се дава за направена услуга допълнително към онова, което се заплаща редовно.
quality;['златен стандарт', 'златно-девизен стандарт', 'златно-слитков стандарт'];Съществуването на човек, всички събития от раждането до определен момент или до смъртта му.
quality;['ликвидност', 'ликвиден', 'ликвидните активи', 'ликвидността на пазара', 'неликвидни'];Стремеж да се извърши, направи или постигне нещо добре, съвестно и според указанията.
quality;['финес', 'импас'];Форма на държавно устройство и управление, при която върховната власт принадлежи пожизнено и наследствено на монарха.
quality;['финес', 'импас'];Уединено място за живеене на религиозна общност от монаси или монахини.
quality;['финес', 'импас'];Духовник, който води аскетичен живот в манастир, като се е отдал на религиозна служба, съзерцание и молитви.
quality;['bigness'];Нещо, което е изопачено, измислено, обикновено за да злепостави някого и което не отговаря на истината, на фактите.
quality;['bigness'];Непресукан конец от вълна, памук, коприна и под., който се използва като суровина за предене, плетене, тъкане.
quality;['недостатък'];Валеж от водни капки, образувани в облаците от кондензацията на водна пара, които падат от небето към повърхността на земята.
region;['анголска кванза', 'кванца'];Рязко и бързо катастрофално спадане на цените на стоките, курса на ценните книжа и валутите.
region;['анголска кванза', 'кванца'];Преносим временен подслон от непромокаем плат, закрепен към земята с въжета и колчета, който бързо се сглобява и разглобява, използван от туристи, алпинисти, спортисти, войници, при научни експедиции и др.
region;['анголска кванза', 'кванца'];Малка ивица от кожа, брезент и др.
region;['малтийска лира', 'малтийската лира', 'малтийски лири'];Сестра на бащата.
region;['лунен месец', 'месец', 'синодичен месец', 'драконовски месеца'];Събитие, при което нещата се разрушават.
simple-collection;['малка мечка', 'малката мечка'];Африканска човекоподобна маймуна.
simple-collective;['пролетариат', 'труд', 'работници', 'работническа класа', 'пролетарианизация', 'пролетаризация', 'пролетарий', 'работническата класа', 'пролетариата', 'пролетариите'];Част, четири пъти по-малка от цялото.
simple-collective;['пролетариат', 'труд', 'работници', 'работническа класа', 'пролетарианизация', 'пролетаризация', 'пролетарий', 'работническата класа', 'пролетариата', 'пролетариите'];Хищен бозайник от семейство кучета с оранжева козина и дълга пухкава опашка, с удължена остра муцуна и ценна кожа.
simple-collective;['пролетариат', 'труд', 'работници', 'работническа класа', 'пролетарианизация', 'пролетаризация', 'пролетарий', 'работническата класа', 'пролетариата', 'пролетариите'];Число, съставено от определен брой равни части на единицата.
situation;['потребност', 'потребности', 'необходимост', 'нужда', 'необходимостта', 'нужди'];Група от някакво количество подобни неща.
situation;['списък'];Категорично разпореждане към някого да направи нещо.
situation;['списък'];Най-разпространената у нас домашна птица, женската на петела, обикновено с бели или червеникавокафяви пера, която се отглежда за месото и яйцата й.
situation;['подагра', 'гихт', 'подаграта', 'подагрозен артрит', 'urarthritis'];Вид шев, везба.
situation;['подагра', 'гихт', 'подаграта', 'подагрозен артрит', 'urarthritis'];Документ, ценни книжа за внесен паричен дял в капитала на акционерно дружество, който дава право на вносителя-акционер на съразмерно участие в чистата печалба на дружеството и за участие в неговото управление.
situation;['куру', 'kuru', 'смееща се смърт'];Помещение, лавка с напитки и закуски.
situation;['самовлюбен'];Лице, което се брои, влиза състава на някаква общност, дружество, организация, партия, комисия и др.
social-role;['контрол на наличностите'];Лице с висше техническо образование, специалист в областта на строителството, конструирането и работата с машини, съоръжения, апарати и др.
socially-constructed-person;['зефир'];Чужденец, който се е заселил в дадена страна с постоянно местожителство.
socially-constructed-person;['деметра', 'démeter'];Категорично не са синоними. отношение - Взаимна връзка между величини, предмети, действия, между нещата или явленията в природата, обществото и мисленето. пропорция - Величина, размер и съотношение между частите на нещо, които пораждат определено (приятно) впечатление.
socially-constructed-person;['llew llaw gyffes'];Способност да се върши нещо, основана на знание, опит и голяма сръчност.
socially-constructed-person;['готфрид лайбниц', 'готфрид вилхелм лайбниц', 'готфрид вилхелм фон лайбниц', 'готфрид фон лайбниц', 'лайбниц'];Едно от четирите годишни времена, след зимата и преди лятото, когато дърветата и растенията се раззеленяват, цъфтят и растат.
socially-constructed-person;['уби́ец', 'убиец', 'убиецът'];Химически елемент - безцветен газ, без мирис и вкус, съставна част на въздуха, който е най-разпространен в природата.
socially-constructed-person;['тамплиер', 'тамплиерите'];Най-малката основна структурна и функционална единица на всеки жив организъм.
socially-constructed-person;['тамплиер', 'тамплиерите'];Електронно телекомуникационно средство. безжичен телефон, чрез който се осъществява комуникация.
socially-constructed-person;['делегат', 'пратеник', 'делегати', 'делегира'];Плодът на тропично и субтропично тревисто растение, който е продълговат с форма на лек полукръг с жълтеникава кора и бяла месеста част с приятен вкус.
socially-constructed-person;['делегат', 'пратеник', 'делегати', 'делегира'];Парче мек материал, който покрива и предпазва наранена, пострадала част от тяло на човек или животно.
socially-constructed-person;['министър', 'министериал', 'министерство', 'министър от правителството', 'младши министър'];Число, получено при събиране.
socially-constructed-person;['министър', 'министериал', 'министерство', 'министър от правителството', 'младши министър'];Кратко изложение на основното в съдържанието на нещо казано или написано.
socially-constructed-person;['министър', 'министериал', 'министерство', 'министър от правителството', 'младши министър'];Едно от четирите годишни времена, след пролетта и преди есента, когато е най-топло и дните са най-дълги.
socially-constructed-person;['demander'];Място, където се полагат тленните останки или пепел след кремация на починалите.
socially-constructed-person;['спаси́тел'];Възможност, право за получаване, използване на нещо или възползване от нещо.
socially-constructed-person;['нетолерантност', 'фанатик', 'тесногръдие', 'фанатизъм'];Приспособление, през което нещо се пропуска, за да се отдели, задържи някаква част от него, която обикновено е вредна, непотребна.
socially-constructed-person;['демиург', 'saklas', 'yaldabaoth'];Затворено в определени граници пространство, територия, район от земната повърхност, характеризиращи се с общи признаци, черти.
socially-constructed-person;['фатална жена', 'изкусителка', 'съблазнителка'];Измерителна единица за време, равна на 1/24 от денонощието, или на 60 минути.
socially-constructed-person;['ghostwriter', 'призрак писател', 'писател в сянка', 'ghostwrite', 'ghostwriting'];Придавам си (лицемерно) друг вид, давам си вид, че върша или изпитвам, усещам нещо.
socially-constructed-person;['ghostwriter', 'призрак писател', 'писател в сянка', 'ghostwrite', 'ghostwriting'];Правя нещо да стане по-добро, да придобие по-добри качества.
socially-constructed-person;['liturgist'];Момиче или млада жена, с която някой поддържа интимна връзка, любовни отношения.
socially-constructed-person;['старши гражданин', 'възрастни граждани', 'златен мениджър', 'стар човек', 'старче'];Храносмилателна жлеза, която секретира жлъчка и се разполага в дясното подребрие.
socially-constructed-person;['гул', 'ghoul', 'таласъм', 'таласъми'];Поставям, задавам въпрос, обръщам се към някого с искане да ми обясни или съобщи нещо, което не зная.
socially-constructed-person;['гул', 'ghoul', 'таласъм', 'таласъми'];Изразявам, предявявам настоятелно искане да бъде предоставено на мое разположение нещо или да се извърши нещо по мое желание.
socially-constructed-person;['гул', 'ghoul', 'таласъм', 'таласъми'];Правя причинна или логическа връзка между две или повече явления, факти, събития и под.
socially-constructed-person;['кубилай хан', 'кубилай', 'кублай', 'хубилай', 'хубилай хан', 'kubla хан', 'кубилай каан'];Отвор, място за излизане от някъде.
socially-constructed-person;['кубилай хан', 'кубилай', 'кублай', 'хубилай', 'хубилай хан', 'kubla хан', 'кубилай каан'];Представа, идея за нещо, което е възможно, вероятно да се осъществи в бъдеще.
socially-constructed-person;['кубилай хан', 'кубилай', 'кублай', 'хубилай', 'хубилай хан', 'kubla хан', 'кубилай каан'];Физическо явление, в което се проявява съществуването, движението и взаимодействието на заредените атомни частици (електрони, протони, неутрони).
spatial-feature;['кунлун', 'кунлон', 'кун лун', 'kuenlun', 'kuenlun планина', 'kunlan шан', 'kunlun', 'kunlun планина'];Лице, което организира някаква обществена, официална проява (по отношение на гостите).
state;['delírium tremens', 'делириум тременс', 'dts'];(химия) Химически процес на поглъщане, всмукване на течности или газове от течности или по-рядко от твърди тела.
state;['delírium tremens', 'делириум тременс', 'dts'];Жестоко, нечовешко отношение.
state;['делюзия', 'налудност', 'делюзии', 'заблуда', 'заблуди', 'параноидни заблуди', 'психотични вяра', 'халюцинации'];Остатък от дадените при плащане пари, който се връща.
state;['делюзия', 'налудност', 'делюзии', 'заблуда', 'заблуди', 'параноидни заблуди', 'психотични вяра', 'халюцинации'];Голям, сравнително тесен изкуствен прокоп между две морета, море и езеро или река, по който се движат плавателни съдове.
state;['деменция', 'слабоумие', 'слабоу́мие', 'dementedness', 'изкуфял'];Лист с въпроси за събиране на сведения.
subject;['статистика', 'cтатистически анализ', 'стати́стика', 'статистиката', 'статистически', 'математическа статистика', 'статистик', 'статистически анализ', 'статистически методи'];Строго определен ред, степенуване на длъжностите, от най-ниската до най-високата, в едно ведомство.
subject;['политология', 'политически науки', 'политолог', 'политическата наука', 'политическа наука', 'политически анализатор', 'политически учен'];Път между редица от сгради и дворове на населено място.
subject;['политология', 'политически науки', 'политолог', 'политическата наука', 'политическа наука', 'политически анализатор', 'политически учен'];Групово преустановяване на работа, отказ от изпълнение на задълженията си като форма на протест, начин на борба за по-високо заплащане на труда, по-добри условия на работа и др.
subject;['политология', 'политически науки', 'политолог', 'политическата наука', 'политическа наука', 'политически анализатор', 'политически учен'];Съвкупност от особености, характерни за даден текст от гледна точка на редактирането.
