abstract-quality;['identitet', 'individualitet', 'personalitet', 'identiteti personal', 'identitetit', 'identitetit personal'];Që mund të ketë fuqi a të veprojë më vonë. i mundshëm.
biological-object;['qelizë e spermës', 'spermatozoan', 'spermatozoid', 'spermatozoidi', 'spermë', 'spermës'];Periudhë kohe e konsideruar si pasuri nën kontrollin tuaj dhe i mjaftueshëm për të përmbushur apo arritur diçka.
biological-object;['qelizë e spermës', 'spermatozoan', 'spermatozoid', 'spermatozoidi', 'spermë', 'spermës'];Periudhë kohe e njehësueshme.
classification-system;['kalendari hënor', 'kalendarit hënor'];Një fund i pasuksesshem.
classification-system;['kalendari hënor', 'kalendarit hënor'];Një matje specifike e sasisë.
cognitive-modal-description;['dogmatizëm', 'fanatizëm'];Aktiviteti tregtar i cili siguron fonde dhe kapital.
course;['bie të fikët', 'deliquium', 'fikët', 'ra të fikët', 'zalisur'];Mundësia për të bërë diçka, të qenët i aftë. shkalla e përgatitjes dhe gatishmëria për të kryer një veprimtari, mundësia për të përballuar diçka.
course;['eklips hënor', 'eklipset hënor'];Rigjenerim nga humbjet apo rreziqet.
functional-matter;['pisha nyjë'];Shesh i hapur ose ndërtesë e madhe njëkatëshe në qytet, ku shiten e blihen sende ushqimore, kafshë e mallra të tjera me pakicë. vend i posaçëm ku tregohet një lloj malli.
functional-matter;['ushqime ushqimi'];Mall i veçantë, që qarkullon në trajtën e monedhave, i cili shpreh vlerën e të gjitha mallrave të tjera dhe shërben si ndërmjetës për shkëmbimin e tyre.
functional-matter;['likker tenxhere', 'pijeve tenxhere'];Përqendrimi i veprimtarisë psikike te dikush a te diçka. drejtimi i mendjes, i shikimit a i dëgjimit te dikush a te diçka.
geographical-object;['bighorn river'];Një fëmijë qe është femer.
information-encoding-system;['mënyra e të folurit'];Veprimi i arritjes së diçkaje.
information-encoding-system;['mënyra e të folurit'];Një përshkrim e asaj cfare ka ndodhur ne te shkuarën.
information-object;['bilabial', 'bashkëtingëllore bilabial'];Fletë e madhe dhe e hollë letre, llamarine etj.. fletë e madhe letre për të shkruar, e palosur më dysh..
information-object;['bashkëtingëllore të lëngët', 'bashkëtingëlloreve të lëngshme'];Veprimi i gjykimit të një personi apo të një situate.
information-object;['la', 'lah'];Te pyesësh per diçka qe nuk di apo qe dyshon.
information-object;['la', 'lah'];Një person qe regjistrohet ne një klasë ose kurs.
information-realization;['tridhjetë e dytë shënim', 'demisemiquaver'];Një ndryshim për më të mirën si rezultat i korrektimit të abuzimeve.
information-realization;['thurje thur'];(psikologji) bashkimi i veprimeve ose përgjigjeve ose levizjeve qe kryen ne çdo lloj situatë.
information-realization;['shprehje idiomatike', 'frazë', 'idiom', 'idiom frazeologjike', 'strukture frazë', 'idioma frazore', 'shprehjeve', 'vendosur fraza'];Njeri që ka autoritet te pergjithshem mbi te tjeret.
information-realization;['idiolect'];Një person i punësuar per te pare nese ndodh diçka.
language;['kuvi'];Bregu i një deti ose oqeani.
language;['koine'];Dikush i cili ka si biznes furnizimin me një shërbim apo produkt të caktuar.
language;['koine'];Veprimi i furnizimit apo pajisjes me diçka.
language;['gjuha kurde', 'gjuhët kurde', 'kurd'];Bjeri i cili ushtron autoritet mbi çështje civile.
locative-role;['lund'];Pjesë a gjë e hollësishme e diçkaje. e dhënë a rrethanë e hollësishme për një ngjarje a për diçka tjetër.
locative-role;['lund'];Një pjese e vogël qe duhet konsideruar vecante te gjithës.
locative-role;['gjeneva', 'genf', 'genev', 'geneva', 'genevra', 'genève', 'ginevra', 'gjenevë', 'zheneva', 'geneve'];Njësi matëse e temperaturës.
locative-role;['gjeneva', 'genf', 'genev', 'geneva', 'genevra', 'genève', 'ginevra', 'gjenevë', 'zheneva', 'geneve'];Një karakteristikë e lidhur me kohën.
locative-role;['laborator', 'hulumtimi laborator', 'institucion kërkimor', 'institutet kërkimore', 'kërkimore laboratorike', 'pajisjeve laboratorike', 'shkenca lab', 'shkenca laboratorike', 'teknikë laboratorike'];Një burrë i rafinuar.
locative-role;['labrador'];Pjesë e sipërme e një dritareje, dere, muri etj., e ndërtuar si gjysmërreth a me trajtë të lakuar. pjesë e një ndërtimi, e përkulur dhe e mbështetur mbi shtylla, mbi këmbët e urës etj., e cila shërben për të mbajtur peshën e asaj që është më lart ose si zbukurim..
non-agentive-physical-object;['spot mëlçisë'];Një kerkese per te qene pjesëmarrjes ne një event.
non-agentive-physical-object;['trikotazh'];Fakti i ekzistencës.
non-physical-collection;['fantazmë', 'fantazmat', 'wraith'];Zgjedh dhe përvetësoj . një teori , ide , strategji dhe plane.
non-physical-collection;['fantazmë', 'fantazmat', 'wraith'];Të rritesh në vlerë dhe përqindje.
non-physical-collection;['fantazmë', 'fantazmat', 'wraith'];Merr përsipër një rrezik me shpresën se diçka e mirë do të vij.
non-physical-collection;['fantazmë', 'fantazmat', 'wraith'];Tërheq vëmendje.
non-physical-collection;['sundimi i shumicës', 'sundimit të shumicës'];Veprimi i të nuhaturit të aromës së diçkaje.
phenomenon;['lunching'];Predhë e madhe në trajtë të zgjatur dhe e pajisur me motor dhe një mekanizëm drejtues, që lëshohet nën ujë për të goditur një anije a nëndetëse.
phenomenon;['lëngu', 'fazën lëngshme', 'gjendje të lëngët', 'lëngjeve', 'të lëngshme'];Kerkese per një informacion te panjohur.
phenomenon;['lëngu', 'fazën lëngshme', 'gjendje të lëngët', 'lëngjeve', 'të lëngshme'];Një nga anët në të cilat na paraqitet ose e vështrojmë një send, një dukuri, një çështje etj.. anë. pikëpamje, vështrim.
phenomenon;['lëngu', 'fazën lëngshme', 'gjendje të lëngët', 'lëngjeve', 'të lëngshme'];Shprehja e fytyrës së një personi.
phenomenon;['lëngu', 'fazën lëngshme', 'gjendje të lëngët', 'lëngjeve', 'të lëngshme'];Sulm fizik kërcënues i shkaktuar nga një person i aftë për të shkaktuar lëndim të fortë të trupit në rast se nuk ndalohet.
phenomenon;['lëngu', 'fazën lëngshme', 'gjendje të lëngët', 'lëngjeve', 'të lëngshme'];Një grup njerëzish ne një vend te përbashkët.
phenomenon;['lëngu', 'fazën lëngshme', 'gjendje të lëngët', 'lëngjeve', 'të lëngshme'];Veprim shoqëror i një asambleje.
physical-body;['delta ray'];Një person qe ka lidhje familjare me te tjerë.
physical-object;['motoçikletë', 'motor', 'motorrë'];Një bisht i dukshëm.
physical-object;['shkop kontrollit', 'joysticks', 'levë', 'shkop'];Një kerkese urgjente qe kërkon zgjidhje te shpejtë.
physical-object;['hekurudhor tretë', 'tretë hekurudhor'];Qoshe e jashtme e një dhome , ndërtese.
physical-object;['trikotazh'];Fakti i ekzistencës.
political-geographic-object;['lund'];Pjesë a gjë e hollësishme e diçkaje. e dhënë a rrethanë e hollësishme për një ngjarje a për diçka tjetër.
political-geographic-object;['lund'];Një pjese e vogël qe duhet konsideruar vecante te gjithës.
political-geographic-object;['gjeneva', 'genf', 'genev', 'geneva', 'genevra', 'genève', 'ginevra', 'gjenevë', 'zheneva', 'geneve'];Njësi matëse e temperaturës.
political-geographic-object;['gjeneva', 'genf', 'genev', 'geneva', 'genevra', 'genève', 'ginevra', 'gjenevë', 'zheneva', 'geneve'];Një karakteristikë e lidhur me kohën.
political-geographic-object;['luiziana', 'louisiana', 'pelikani shtetit'];Lëndë që prodhohet nga gjëndrat me sekrecion të brendshëm dhe që ushtron një ndikim të rëndësishëm në proceset e ndryshme të organizmit.
political-geographic-object;['luiziana', 'louisiana', 'pelikani shtetit'];Veprimi i një miratimi.
political-geographic-object;['luiziana', 'louisiana', 'pelikani shtetit'];Çdo grup njerëzish armiqësor.
political-geographic-object;['kuala lumpur'];Veprimi shkeljes. cënimi i një ligji, apo etike kryesore morale.
political-geographic-object;['lubjana', 'lubljana', 'lubjanë', 'ljubljana'];Çdo material e cila përdoret për të ngjyrosur.
quality;['standardi i arit'];Mënyra si rron dhe si e rregullon jetën një njeri, një grup shoqëror, një shoqëri etj.. tërësia e parimeve, e zakoneve ose e kërkesave vetjake e shoqërore që rregullojnë jetën e një njeriu a të një shoqërie.
quality;['standardi i arit'];Rrjedhja e ekzistencës . veprimet dhe ngjarjet që ndeshen gjatë jetës.
quality;['standardi i arit'];Koha sa zgjat jeta e një njeriu a e një qenieje tjetër të gjallë ose e një sendi a diçka tjetër.
quality;['standardi i arit'];Periudha midis lindjes dhe kohës së tashmes.
quality;['jolikuide', 'jolikuidetit'];Veprimtari serioze dhe e ndërgjegjshme për të kryer apo përfunduar diçka.
quality;['bigness'];Lëndë që bëhet prej fijesh të holla, të forta e të epshme bimore, minerale ose artificiale dhe që përdoret zakonisht në vend të lëkurës për valixhe, kuti etj., për veçim etj.
region;['kwanza'];Një dobësim ose humbje e fuqive të trupit nga një sëmundje.
region;['kwanza'];Një dobësim i madh i papritur i biznesit.
region;['kwanza'];Tendë prej pëlhure të trashë, e nderë mbi hunj: gjatë dhe e mbyllur anash, që shërben për të banuar përkohësisht.
region;['kwanza'];Pjesa e sipërme e palltos, e këmishës etj., zakonisht e palosur, që rrethon qafën dhe që nga ana e përparme përgjithësisht është e hapur. qafëz e një veshjeje.
region;['muaj hënor', 'muaji sinodik'];Një ngjarje qe shkatërron gjithçka.
relation;['kundërti'];Veprimi i mbështetje se një shtresë qe ka nevoje.
simple-collection;['sallon suite', 'set sallon'];A person with an unusual or odd personality.
situation;['liste', 'listimi'];Një instruksion autoritar per te bere diçka.
situation;['liste', 'listimi'];Një tentativë për të marrë diçka.
situation;['kuru'];Orendi me përmasa të ndryshme, që është si një arkë e vendosur me këmbë e zakonisht me dy kanate dhe që shërben për të vënë brenda rroba.
situation;['bighead'];Një person qe është një element i një grupi.
situation;['likuidim vullnetar', 'likuiduar'];Element i thjeshtë kimik, helmues, që gjendet në disa minerale, në kocka, në indet e bimëve e të kafshëve etj. dhe që ndrit në errësirë e ndizet lehtë (simboli P.). lëndë me ngjyrë si të kuqe, që përmban këtë element dhe që përdoret për të bërë shkrepëse.
situation;['goldbricking', 'goofing off', 'shmangien nga', 'slacking'];Njërëz te vendosur njëri pas tjetrit.
situation;['goldbricking', 'goofing off', 'shmangien nga', 'slacking'];Njësi matëse e gjatësisë.
situation;['tregjet e punës', 'punës', 'tregun punës', 'tregut të punës'];Pjese e një programi te madh.
social-role;['aksioneve të kontrollit'];Persona qe përdorin dijet per te zgjidhur problemet.
socially-constructed-person;['baseman tretë', 'basemen tretë', 'sacker tretë'];Një sistem që përcakton me përpikëri vendin ku ndodhet një pikë në rrafsh ose në hapësirë.
socially-constructed-person;['demetra', 'demeter'];Madhesia relative e dy sasive.
socially-constructed-person;['llew llaw gyffes'];E di a e njoh mirë diçka, e kam përvetësuar si duhet.
socially-constructed-person;['gotfried leibniz', 'gotfrid lajbnici', 'lajbnici', 'gottfried wilhelm leibnitz', 'gottfried wilhelm leibniz', 'leibnitz', 'leibniz'];Stina e çeljes së luleve.
socially-constructed-person;['tamplier'];(biologji) njësia bazë funksionale dhe ndërtimore e gjithë organizmave . qelizat mund të ekzistojnë si njësi të pavarura jete (psh : një qelizor) ose mund të krijojnë koloni ose inde si tek bimët e zhvilluara dhe kafshët.
socially-constructed-person;['ministër', 'ministër i qeverisë', 'ministri'];Stina më e ngrohtë e vitit.
socially-constructed-person;['fanatik', 'fanatizmit'];Një grua e re.
socially-constructed-person;['zot', 'saklas', 'yaldabaoth'];Një truall i madh ne siperfaqen e tokës.
socially-constructed-person;['joshëse', 'femme fatale', 'femme zgjohu'];Periudhë kohore e barabartë me 1/24 e një dite.
socially-constructed-person;['ghostwriter', 'ghostwrite', 'ghostwriting', 'shkrimtar fantazmë'];Të kesh një emocion ose një efekt njohës.
socially-constructed-person;['ghostwriter', 'ghostwrite', 'ghostwriting', 'shkrimtar fantazmë'];Të deklarosh ose konfirmosh solemnisht dhe formalisht një të vërtetë.
socially-constructed-person;['ghostwriter', 'ghostwrite', 'ghostwriting', 'shkrimtar fantazmë'];I them po.
socially-constructed-person;['ghostwriter', 'ghostwrite', 'ghostwriting', 'shkrimtar fantazmë'];Shkaku i prodhimit nga një burim.
socially-constructed-person;['ghostwriter', 'ghostwrite', 'ghostwriting', 'shkrimtar fantazmë'];Trajtoj , apo shprehem apo flas tepër me ashpërsi.
socially-constructed-person;['ghostwriter', 'ghostwrite', 'ghostwriting', 'shkrimtar fantazmë'];Të bashkosh ose të përzjesh sëbashku.
socially-constructed-person;['ghostwriter', 'ghostwrite', 'ghostwriting', 'shkrimtar fantazmë'];T'i bësh më mirë gjërat.
socially-constructed-person;['ghostwriter', 'ghostwrite', 'ghostwriting', 'shkrimtar fantazmë'];Të bëhesh më mirë.
socially-constructed-person;['ghoul', 'ghouls', 'vampir'];Pas një analizë llogaritëse, investiguese apo eksperimentale , ose pas studimit.
socially-constructed-person;['ghoul', 'ghouls', 'vampir'];Atribut . Veti thelbësore, e domosdoshme dhe e përhershme e një sendi a e një dukurie. cilësi që karakterizon një send a një dukuri.
socially-constructed-person;['ghoul', 'ghouls', 'vampir'];Pyes rreth diçkaje.
socially-constructed-person;['ghoul', 'ghouls', 'vampir'];E konsideroj si të detyrueshme. kërkoj dhe pres.
socially-constructed-person;['ghoul', 'ghouls', 'vampir'];Shtim ose rritje e mundësisë.
socially-constructed-person;['ghoul', 'ghouls', 'vampir'];Bën një lidhje logjike.
socially-constructed-person;['i çmendur', 'lunatics', 'çmendur'];Vend i veçantë (ndërtesë a kthinë e mbyllur) ku ruhen në sasi të mëdha e zakonisht për një kohë të gjatë prodhime, mallra e lëndë të ndryshme.
socially-constructed-person;['kublai khan', 'kubla khan', 'kublai kaan'];Shteg nga ku mund të kalohet më tej, drejtimi nëpër të cilën mund të dilet nga një vend i mbyllur.
socially-constructed-person;['kublai khan', 'kubla khan', 'kublai kaan'];Ndjenja qe diçka ka pe te ndodhur.
socially-constructed-person;['kublai khan', 'kubla khan', 'kublai kaan'];Dukuri fizike e lidhur me gjendjen gjendjen në prehje apo lëvizje të elektroneve dhe protoneve.
socially-constructed-person;['ai që thur'];Lojë me letra me dy lojtarë gjithësej , të cilët përpiqen të mbledhin sa më shumë grumbuj letrash duke pyetur kundërshtarin për letra të veçanta.
state;['delírium tremens', 'tremens jerm', 'dts'];Një koncept i përgjithshëm i formuar nga nxjerrja e tipareve kryesore të një shembulli specifik.
state;['delírium tremens', 'tremens jerm', 'dts'];Trajtim mizor, jo njerëzor.
subject;['shkenca politike', 'shkencat politike', 'analist politik', 'politologu', 'politology', 'shkencëtar politik'];Grup që refuzon të punoj me pagë të ulet dhe kushte të këqija në punë.
subject;['shkenca politike', 'shkencat politike', 'analist politik', 'politologu', 'politology', 'shkencëtar politik'];Një sekuencë e rregulluar gjerash ose eventesh ne te cilën çdo pjesëtar është i lidhur me paraardhës e tij.
taxonomic-collective;['balena beluga', 'balenë beluga', 'delphinapterus', 'gjini delphinapterus'];Një hapësirë ku dikush shtrinë një çështje ose një nivel.
taxonomic-collective;['balena beluga', 'balenë beluga', 'delphinapterus', 'gjini delphinapterus'];Hapësira a sipërfaqja që zë ose ku vepron dikush a diçka.
technique;['njohuri teknike', 'know-how', 'njohuri'];Mënyrë e lidhjes ose e bashkimit të dy a më shumë fijeve, rripave, degëve, thuprave etj .Gjë e thurur, send i thurur, diçka që është bërë, duke u thurur, thurimë.
